# lambda        U1          U2           U3           U4
#
  5690.9   0.00001665   0.00001331   0.00001125   0.00002097 
  5696.1   0.00001595   0.00002371  -0.00000111   0.00004005 
  5701.4   0.00001761   0.00004411   0.00000652   0.00001358 
  5706.7   0.00002356   0.00003353   0.00000902   0.00001113 
  5712.0   0.00002252   0.00001885   0.00000412   0.00002323 
  5717.2   0.00002003   0.00002444   0.00000230   0.00002623 
  5722.5   0.00001576   0.00001470   0.00000168   0.00001351 
  5727.8   0.00003702   0.00000448   0.00000288   0.00001830 
  5733.1   0.00003760   0.00002077   0.00000538   0.00002173 
  5738.3   0.00001513   0.00002370   0.00001178   0.00000634 
  5743.6   0.00002008   0.00001097   0.00001265   0.00001666 
  5748.9   0.00001608   0.00001344   0.00000326   0.00002367 
  5754.1   0.00003184   0.00001458   0.00000071   0.00000520 
  5759.4   0.00002553   0.00001593   0.00000064   0.00001008 
  5764.7   0.00002288   0.00001921   0.00000458   0.00001075 
  5769.9   0.00001982   0.00001499   0.00000498   0.00000722 
  5775.2   0.00000810   0.00000315   0.00000132   0.00001473 
  5780.5   0.00003053   0.00000642   0.00001220   0.00001687 
  5785.8   0.00001120   0.00001159   0.00001157   0.00001112 
  5791.0   0.00002736   0.00001016  -0.00000138   0.00001353 
  5796.3   0.00003904   0.00001706   0.00000347   0.00001575 
  5801.6   0.00000092   0.00002718   0.00000675   0.00001108 
  5806.9   0.00003064   0.00002001   0.00000903   0.00000685 
  5812.1   0.00002195   0.00001305   0.00001303   0.00001413 
  5817.4   0.00001897   0.00001650   0.00000754   0.00003442 
  5822.7   0.00002578   0.00002137   0.00000427   0.00002041 
  5827.9   0.00002132   0.00001697   0.00000950   0.00001943 
  5833.2   0.00003242   0.00001415   0.00001550   0.00003520 
  5838.5   0.00002258   0.00001528   0.00000448   0.00001690 
  5843.8   0.00001595   0.00001391   0.00000217   0.00002075 
  5849.0   0.00001017   0.00001805   0.00000970   0.00002317 
  5854.3   0.00000713   0.00002203   0.00001344   0.00000764 
  5859.6   0.00002207   0.00002798   0.00000486   0.00001212 
  5864.9   0.00000599   0.00001674   0.00001062   0.00002122 
  5870.1   0.00002325   0.00000835   0.00000611   0.00002439 
  5875.4   0.00002688   0.00000682   0.00000422   0.00001888 
  5880.7   0.00001736   0.00001644   0.00000930   0.00002230 
  5885.9   0.00001697   0.00001684  -0.00000057   0.00001467 
  5891.2   0.00001124   0.00001922   0.00000352   0.00001963 
  5896.5   0.00002075   0.00002769   0.00001045   0.00002608 
  5901.8   0.00001406   0.00001526   0.00001356   0.00001668 
  5907.0   0.00002725   0.00000719   0.00000154   0.00001951 
  5912.3   0.00002912   0.00001198   0.00000899   0.00003092 
  5917.6   0.00001469   0.00002568   0.00001372   0.00002463 
  5922.8   0.00001234   0.00002831   0.00001016   0.00003218 
  5928.1   0.00002840   0.00001544   0.00001011   0.00001398 
  5933.4   0.00001310   0.00002471   0.00000544   0.00000559 
  5938.7   0.00000629   0.00003380   0.00000242   0.00001553 
  5943.9   0.00003828   0.00001750   0.00000465   0.00002596 
  5949.2   0.00004137   0.00001593   0.00001200   0.00002237 
  5954.5   0.00002558   0.00001001   0.00000792   0.00001724 
  5959.8   0.00003649   0.00002289   0.00000321   0.00002556 
  5965.0   0.00002698   0.00002582   0.00000745   0.00000938 
  5970.3   0.00001714   0.00002834   0.00000722   0.00000979 
  5975.6   0.00002756   0.00007313  -0.00000065   0.00001411 
  5980.8   0.00001524   0.00011988   0.00001555   0.00002024 
  5986.1   0.00001374   0.00016673   0.00002014   0.00003276 
  5991.4   0.00002672   0.00021348   0.00000520   0.00002208 
  5996.7   0.00002356   0.00026023   0.00001139   0.00000595 
