# lambda        U1          U2           U3           U4
#
  3866.8   0.19649400   0.21544975   0.09534177   0.21291015 
  3872.0   0.19113500   0.21601335   0.09207316   0.21392677 
  3877.3   0.18491300   0.21607110   0.08820863   0.21440968 
  3882.6   0.17720400   0.21531092   0.08385737   0.21463226 
  3887.8   0.16821500   0.21392675   0.07885003   0.21424097 
  3893.1   0.15788000   0.21176761   0.07307219   0.21301674 
  3898.4   0.14635300   0.20875254   0.06664242   0.21092826 
  3903.7   0.13315400   0.20478146   0.05909287   0.20823323 
  3908.9   0.11847800   0.19975002   0.05242441   0.20457853 
  3914.2   0.10245600   0.19355317   0.04431743   0.19975005 
  3919.5   0.08477740   0.18609716   0.03237161   0.19371276 
  3924.7   0.06563580   0.17725038   0.02123086   0.18676183 
  3930.0   0.04514570   0.16691528   0.01207018   0.17836283 
  3935.3   0.02591110   0.15497052   0.00884975   0.16859414 
  3940.6   0.01681320   0.14130508   0.00588092   0.15764556 
  3945.8   0.01071880   0.12583397   0.00417327   0.14526582 
  3951.1   0.00759853   0.10843378   0.00309091   0.13137752 
  3956.4   0.00547116   0.08891492   0.00216131   0.11600314 
  3961.6   0.00417587   0.06758209   0.00146330   0.09941843 
  3966.9   0.00290445   0.04277153   0.00106653   0.08137541 
  3972.2   0.00209790   0.02182460   0.00082173   0.06224639 
  3977.5   0.00174151   0.01214291   0.00062328   0.04115946 
  3982.7   0.00111049   0.00803435   0.00040469   0.02264941 
  3988.0   0.00077081   0.00525844   0.00023887   0.01331615 
  3993.3   0.00055459   0.00352767   0.00017718   0.00842999 
  3998.6   0.00033668   0.00245511   0.00012593   0.00554789 
  4003.8   0.00021939   0.00166237   0.00009980   0.00401544 
  4009.1   0.00015844   0.00103722   0.00006924   0.00262635 
  4014.4   0.00012075   0.00068231   0.00003180   0.00174944 
  4019.6   0.00009597   0.00052686   0.00002099   0.00118855 
  4024.9   0.00007812   0.00032926   0.00002994   0.00074318 
  4030.2   0.00007810   0.00020413   0.00003528   0.00046144 
  4035.5   0.00006186   0.00016347   0.00001791   0.00037712 
  4040.7   0.00005880   0.00017079   0.00000779   0.00026954 
  4046.0   0.00006833   0.00011086   0.00001125   0.00014955 
  4051.3   0.00002079   0.00008603   0.00000959   0.00012058 
  4056.5   0.00005142   0.00008404   0.00000870   0.00009441 
  4061.8   0.00004739   0.00007064   0.00000465   0.00008249 
  4067.1   0.00002820   0.00005955   0.00001325   0.00005515 
  4072.4   0.00003243   0.00006226   0.00002457   0.00006724 
  4077.6   0.00004690   0.00002739   0.00001104   0.00005829 
  4082.9   0.00004166   0.00003288   0.00002391   0.00007024 
  4088.2   0.00004014   0.00002599   0.00002991   0.00007864 
  4093.5   0.00006341   0.00003573   0.00001864   0.00004836 
  4098.7   0.00002373   0.00004748   0.00000897   0.00003504 
  4104.0   0.00000860   0.00004534   0.00000616   0.00003044 
  4109.3   0.00000852   0.00004482   0.00000131   0.00003646 
  4114.5   0.00001720   0.00004858   0.00000398   0.00003369 
  4119.8   0.00004145   0.00006840   0.00001042   0.00002788 
  4125.1   0.00001917   0.00005825   0.00001832   0.00004308 
  4130.4   0.00002468   0.00004429   0.00001407   0.00003886 
  4135.6   0.00000940   0.00002654   0.00000674   0.00002113 
  4140.9   0.00003318   0.00002056   0.00000727   0.00003772 
  4146.2   0.00000746   0.00001663   0.00000712   0.00004711 
  4151.4   0.00003746   0.00001610   0.00001388   0.00003988 
  4156.7   0.00002282   0.00001985   0.00002571   0.00000953 
  4162.0   0.00004720   0.00001676   0.00002571   0.00002861 
  4167.2   0.00001411   0.00003185   0.00000912   0.00003518 
  4172.5   0.00002137   0.00003315   0.00000515   0.00003750 
  4177.8   0.00001575   0.00001563   0.00000141   0.00006281 
  4183.1   0.00002783   0.00002146   0.00000466   0.00005600 
  4188.3   0.00002038   0.00004538   0.00000722   0.00003905 
  4193.6   0.00003030   0.00002631   0.00000382   0.00002144 
  4198.9   0.00004593   0.00001974   0.00000470   0.00002072 
  4204.2   0.00004413   0.00003720   0.00000322   0.00003103 
  4209.4   0.00002356   0.00003306   0.00001126   0.00002614 
  4214.7   0.00002117   0.00003081   0.00000705   0.00001575 
  4220.0   0.00001110   0.00003590   0.00000199   0.00002602 
  4225.2   0.00002751   0.00001423   0.00000041   0.00003949 
  4230.5   0.00003920   0.00002124   0.00000276   0.00003074 
  4235.8   0.00001834   0.00002331   0.00000239   0.00001887 
  4241.1   0.00002067   0.00002464   0.00000300   0.00002815 
  4246.3   0.00003306   0.00002968   0.00001402   0.00003189 
  4251.6   0.00003284   0.00001960   0.00001358   0.00002235 
  4256.9   0.00002898   0.00002756   0.00000357   0.00002554 
  4262.2   0.00004041   0.00001544   0.00001032   0.00001676 
  4267.4   0.00002190   0.00002086   0.00000580   0.00000845 
  4272.7   0.00002946   0.00001675   0.00000564   0.00001774 
  4278.0   0.00004089   0.00000669   0.00000503   0.00001442 
  4283.2   0.00002464   0.00002395   0.00000946   0.00003343 
  4288.5   0.00001244   0.00004267   0.00000913   0.00004274 
  4293.8   0.00002219   0.00003773  -0.00000248   0.00003380 
  4299.1   0.00001909   0.00002976   0.00000518   0.00002949 
  4304.3   0.00004623   0.00006170   0.00001197   0.00000698 
  4309.6   0.00005015   0.00003757   0.00001119   0.00001224 
  4314.9   0.00005951   0.00002594   0.00001113   0.00003879 
  4320.1   0.00004719   0.00004822   0.00001741   0.00001934 
  4325.4   0.00002546   0.00003249   0.00002480   0.00002197 
  4330.7   0.00002195   0.00003706   0.00000700   0.00003851 
  4336.0   0.00003131   0.00000698   0.00000537   0.00002114 
  4341.2   0.00003627   0.00003591   0.00001400   0.00002096 
  4346.5   0.00002566   0.00005692   0.00001554   0.00003843 
  4351.8   0.00002606   0.00001475   0.00001239   0.00004800 
  4357.1   0.00004649   0.00004165   0.00001533   0.00000401 
  4362.3   0.00001663   0.00003933   0.00001003   0.00001292 
  4367.6   0.00001775   0.00000752   0.00000532   0.00002444 
  4372.9   0.00001159   0.00003008   0.00000772   0.00002895 
  4378.1   0.00003303   0.00003562   0.00000709   0.00001735 
  4383.4   0.00002338   0.00002736   0.00000910   0.00002350 
  4388.7   0.00004870   0.00002460   0.00000239   0.00002215 
  4393.9   0.00001838   0.00002565   0.00000490   0.00002378 
  4399.2   0.00003766   0.00002498   0.00000452   0.00002346 
  4404.5   0.00002348   0.00001762   0.00000254   0.00000854 
  4409.8   0.00001600   0.00001540   0.00000233   0.00001491 
  4415.0   0.00001739   0.00000843   0.00000830   0.00002170 
  4420.3   0.00003991   0.00001476   0.00001875   0.00003811 
  4425.6   0.00002927   0.00001980   0.00001244   0.00002421 
  4430.9   0.00003761   0.00001658   0.00001052   0.00001095 
  4436.1   0.00001283   0.00000701   0.00001713   0.00002942 
  4441.4   0.00001504   0.00002312   0.00000645   0.00002172 
  4446.7   0.00001627   0.00003367   0.00000283   0.00001942 
  4451.9   0.00001692   0.00002132   0.00001236   0.00002750 
  4457.2   0.00003949   0.00001419   0.00000559   0.00001870 
  4462.5   0.00002164   0.00000868   0.00000747   0.00001442 
  4467.8   0.00002093   0.00001427   0.00001576   0.00002346 
  4473.0   0.00003811   0.00001869   0.00000811   0.00002152 
  4478.3   0.00001686   0.00000787   0.00001062   0.00001968 
  4483.6   0.00001391   0.00000593   0.00001446   0.00001545 
  4488.9   0.00001616   0.00001449   0.00000828   0.00001959 
  4494.1   0.00002215   0.00001714   0.00000237   0.00003365 
  4499.4   0.00004749   0.00000843   0.00001076   0.00003450 
  4504.7   0.00001708   0.00002667   0.00001209   0.00002549 
  4509.9   0.00002031   0.00002812   0.00000706   0.00003044 
  4515.2   0.00003322   0.00001295   0.00000229   0.00003857 
  4520.5   0.00002407   0.00002006   0.00001240   0.00001844 
  4525.8   0.00001795   0.00001247   0.00001047   0.00001841 
  4531.0   0.00001859   0.00001186   0.00000244   0.00000961 
  4536.3   0.00002566   0.00001601   0.00000843   0.00001579 
  4541.6   0.00001719   0.00000840   0.00001217   0.00002818 
  4546.8   0.00002726   0.00001001   0.00000388   0.00002838 
  4552.1   0.00002420   0.00002229   0.00000634   0.00003477 
  4557.4   0.00002539   0.00002231   0.00001516   0.00003390 
  4562.7   0.00001150   0.00002361   0.00000968   0.00002227 
  4567.9   0.00001394   0.00002131   0.00000558   0.00000594 
  4573.2   0.00000781   0.00001389   0.00000478   0.00002086 
  4578.5   0.00001272   0.00000522   0.00000333   0.00002713 
  4583.7   0.00001580   0.00001471   0.00000536   0.00002303 
  4589.0   0.00000826   0.00001211   0.00000312   0.00002015 
  4594.3   0.00001506   0.00000515   0.00000846   0.00001611 
  4599.6   0.00001222   0.00001895   0.00002137   0.00003123 
  4604.8   0.00002577   0.00001358   0.00001600   0.00001868 
  4610.1   0.00001559   0.00000975   0.00000507   0.00001860 
  4615.4   0.00001086   0.00001501   0.00000508   0.00003538 
  4620.7   0.00002349   0.00001757   0.00000533   0.00002023 
  4625.9   0.00002019   0.00001506   0.00000318   0.00002102 
  4631.2   0.00001568   0.00001612   0.00000458   0.00003939 
  4636.5   0.00001206   0.00001571   0.00000685   0.00001890 
  4641.7   0.00002857   0.00001661   0.00000670   0.00002455 
  4647.0   0.00002143   0.00001432   0.00000679   0.00002263 
  4652.3   0.00002355   0.00000819   0.00000649   0.00002616 
  4657.6   0.00001332   0.00000988   0.00000618   0.00001818 
  4662.8   0.00001637   0.00001395   0.00000918   0.00001259 
  4668.1   0.00001444   0.00001184   0.00000400   0.00001246 
  4673.4   0.00000590   0.00000228   0.00000343   0.00001788 
  4678.6   0.00001243   0.00000415   0.00000092   0.00002559 
  4683.9   0.00001037   0.00001380   0.00000334   0.00002263 
  4689.2   0.00001616   0.00001360   0.00000693   0.00000784 
  4694.5   0.00002742   0.00001368   0.00000982   0.00001058 
  4699.7   0.00000890   0.00001524   0.00001434   0.00002537 
  4705.0   0.00000956   0.00000742   0.00000374   0.00002316 
  4710.3   0.00001281   0.00000589   0.00000073   0.00001794 
  4715.6   0.00000990   0.00001044  -0.00000053   0.00001095 
  4720.8   0.00001866   0.00001328   0.00000416   0.00001285 
  4726.1   0.00002038   0.00002943   0.00001072   0.00001258 
  4731.4   0.00001295   0.00003274   0.00000773   0.00001340 
  4736.6   0.00001279   0.00002703   0.00000245   0.00001631 
  4741.9   0.00000372   0.00002111   0.00000572   0.00001490 
