#wave   V1            V2         V3          V4
#
3300 0.000274183 0.000587126 0.000255437 0.000405617
3305.27 0.000462376 0.000411943 0.000543702 0.000390657
3310.54 0.000467913 0.000565486 0.000484891 0.000452878
3315.82 0.000420262 0.000504702 0.000556124 0.000429166
3321.09 0.00042355 0.000278732 0.000684128 0.000450838
3326.36 0.000394181 0.000461628 0.000483997 0.000490918
3331.63 0.000442133 0.000561038 0.000285809 0.00048669
3336.9 0.000522588 0.000392162 0.000474001 0.000389773
3342.18 0.000534107 0.00056216 0.000215602 0.000350611
3347.45 0.000470703 0.000444687 0.00026394 0.000350523
3352.72 0.00035983 0.000538562 0.000410219 0.000209875
3357.99 0.000336627 0.000375852 0.000210844 0.000222378
3363.26 0.000234812 0.000423078 0.000213343 0.000358743
3368.54 0.000471836 0.000237303 0.000249927 0.000215129
3373.81 0.000321624 0.000385564 0.000315846 0.000299909
3379.08 0.000219145 0.000184611 0.000258326 0.000441082
3384.35 0.000264211 0.000519699 0.000206225 0.000307126
3389.62 0.000259274 0.000234041 0.00020123 0.000445946
3394.9 0.000452499 0.000337768 0.00019968 0.000326945
3400.17 0.00022574 0.000128656 0.000187982 0.000264234
3405.44 0.000592991 0.000168545 0.000173004 0.000157098
3410.71 0.000254221 0.000343455 0.000131724 0.00017387
3415.98 0.000344081 0.000214391 0.000227369 0.000359518
3421.26 0.000258518 0.000212038 0.000181854 0.000358204
3426.53 0.000252226 0.000210512 0.000265753 0.000430921
3431.8 0.000289221 0.000122398 0.000232171 0.000285018
3437.07 0.000449522 0.000137347 0.000252337 0.000386204
3442.34 0.000291711 0.000176459 0.000226632 0.00023199
3447.62 0.000337864 0.000194669 6.56968e-05 0.000273785
3452.89 0.00034138 0.000198215 0.000289116 0.000268492
3458.16 0.000248137 0.000320922 0.000169209 0.000270902
3463.43 0.000258674 0.000210844 0.000295458 0.00011236
3468.71 0.000240284 0.000172157 0.000368893 0.000146321
3473.98 0.000181726 0.000202974 0.000169359 0.00018173
3479.25 0.000266286 7.97716e-05 0.000132318 0.000176573
3484.52 0.000246439 0.000219721 0.000142013 0.000189787
3489.79 0.000344482 0.00013459 0.000157862 0.000216263
3495.07 0.000211782 0.000143569 0.000144747 0.000203018
3500.34 0.0002986 0.000181545 0.000132287 0.000363688
3505.61 0.000279667 9.41505e-05 0.000122256 0.000262045
3510.88 0.000327342 0.000173361 4.52165e-05 0.000243741
3516.15 0.000233633 0.000130316 0.000119735 0.000278557
3521.43 0.000131701 0.000180369 0.000213661 0.000234037
3526.7 0.000176207 7.50503e-05 0.000253423 0.000155797
3531.97 0.000262085 0.000193364 0.000293568 7.65171e-05
3537.24 0.000159028 0.000190698 0.000132519 9.44852e-05
3542.51 9.30616e-05 0.000174125 0.000129268 0.000183087
3547.79 0.000121153 0.000352048 0.000202623 0.00019688
3553.06 0.000157204 0.000141323 0.000124955 0.000229564
3558.33 0.00021882 0.000125898 0.000200116 0.000124168
3563.6 0.000305405 0.000131451 0.00016366 0.000145218
3568.87 0.000175443 0.00011686 0.000177156 0.000283245
3574.15 0.000160824 0.00011819 0.000150007 0.000195411
3579.42 0.000230999 6.77529e-05 0.000194628 0.000238641
3584.69 0.000168477 4.25667e-05 0.000149151 0.000137688
3589.96 0.000132598 0.000145776 0.000134468 0.000276219
3595.23 8.90555e-05 0.000191286 0.000106587 0.000202411
3600.51 0.000138086 0.000138279 8.91296e-05 8.868e-05
3605.78 0.000229929 0.000170575 0.000134138 0.00010074
3611.05 0.000117282 0.000253649 9.7026e-05 0.00012705
3616.32 0.00012272 0.000148189 9.59416e-05 0.000106467
3621.59 0.000100603 0.000175686 0.000179205 0.000141261
3626.87 0.000214922 0.000230958 0.000107395 0.000225578
3632.14 0.000311076 0.000203239 0.000122668 0.000128554
3637.41 0.000104943 0.000167389 0.000175429 0.000121227
3642.68 0.000148716 0.000116757 0.000116901 0.000123375
3647.95 0.000196148 0.000202283 8.4611e-05 0.0002235
3653.23 0.000178884 7.26111e-05 9.59651e-05 0.000166667
3658.5 0.000136901 0.00018065 0.000137398 0.00010184
3663.77 0.000217127 0.000144848 0.000132296 0.000153806
3669.04 0.000285151 0.000244998 0.000110309 0.000136902
3674.31 0.000172658 0.000192205 0.000129805 0.000172891
3679.59 8.46967e-05 0.000206806 8.61185e-05 0.000228333
3684.86 0.000129937 5.91678e-05 2.53711e-05 0.000171619
3690.13 0.000167924 0.000118557 0.000116954 0.00012532
3695.4 0.000199647 0.000195089 0.000160816 0.000161423
3700.67 0.000138859 0.000306342 8.78988e-05 0.000179838
3705.95 0.000141315 0.000163219 0.000124155 0.000221488
3711.22 0.000177623 9.63658e-05 0.000205791 0.000160105
3716.49 0.000152663 0.00014887 0.000124613 0.000133254
3721.76 0.000165449 0.000172134 9.27592e-05 0.000119261
3727.03 0.00014268 0.000188823 5.54974e-05 0.0002163
3732.31 8.49878e-05 0.000148672 7.67634e-05 0.000175642
3737.58 0.000188541 8.98862e-05 0.000169132 7.35901e-05
3742.85 0.000138421 0.00017768 0.000193916 0.00016868
3748.12 0.000175743 0.000129652 6.92368e-05 0.000193499
3753.4 0.000146074 0.000141029 0.000130539 0.000154146
3758.67 0.000124035 8.7222e-05 0.000140535 0.000176522
3763.94 0.00015669 0.000226304 6.64467e-05 0.00014524
3769.21 0.000150539 0.00010304 0.000114208 0.000132937
3774.48 0.000135663 0.000108628 0.000113226 0.000106635
3779.76 0.000123019 0.000127155 8.54243e-05 0.000119617
3785.03 0.000139401 0.000120644 7.85636e-05 0.000139648
3790.3 0.000126647 0.000118631 5.80178e-05 0.000227696
3795.57 0.000139474 0.000112151 9.42767e-05 0.00013406
3800.84 0.000136583 0.000212948 0.00017612 0.000138564
3806.12 0.00011113 0.000159285 8.64424e-05 0.000166706
3811.39 0.000189302 8.96789e-05 3.97036e-05 6.52218e-05
3816.66 0.000187638 0.000115827 0.000159566 0.000107281
3821.93 0.000132016 0.000162358 0.000166907 0.000124396
3827.2 0.000132835 6.90456e-05 0.000121535 0.000121183
3832.48 0.000175575 7.98467e-05 3.80205e-05 5.8265e-05
3837.75 0.000251087 0.000176982 3.68546e-05 0.000144768
3843.02 0.000106969 0.000181697 0.000140614 5.95551e-05
3848.29 3.50621e-05 0.000172807 7.1887e-05 0.000133836
3853.56 6.34588e-05 0.000147397 7.757e-05 0.000103783
3858.84 6.49999e-05 0.00010172 8.0235e-05 0.000136879
3864.11 9.12385e-05 6.95287e-05 7.05727e-05 0.000135767
3869.38 9.72022e-05 0.000171878 9.24913e-05 8.4822e-05
3874.65 0.000105952 0.000112596 3.36794e-05 0.000107448
3879.92 0.000104701 6.98159e-05 6.41886e-05 0.000129327
3885.2 8.50718e-05 0.000108285 0.000105991 0.000164241
3890.47 0.000128978 9.78765e-05 0.000128135 6.89269e-05
3895.74 0.000167057 0.000169036 4.74076e-05 0.000137613
3901.01 0.000132716 8.68784e-05 0.000145498 0.0001445
3906.28 0.000146842 3.42153e-05 0.000108517 0.000160179
3911.56 0.000136428 0.000108201 0.000143776 8.64468e-05
3916.83 0.000138432 0.000138312 0.000106726 9.76726e-05
3922.1 0.00010616 0.000118829 7.66942e-05 0.000171163
3927.37 8.56502e-05 0.000137853 5.80752e-05 0.000134338
3932.64 0.000105282 0.000108712 6.73964e-05 8.61471e-05
3937.92 0.000199468 6.37811e-05 9.42489e-05 6.08155e-05
3943.19 0.000109988 0.00014185 8.65394e-05 0.000125452
3948.46 0.000184536 0.000212706 8.21924e-05 5.53483e-05
3953.73 9.26634e-05 0.000127652 0.000107501 0.000147731
3959 7.16073e-05 6.02955e-05 0.000144559 8.23827e-05
3964.28 9.82722e-05 0.000160798 3.17666e-05 9.22509e-05
3969.55 5.62068e-05 9.88064e-05 4.34133e-05 0.000107495
3974.82 0.000103247 0.000102963 0.000111006 8.29801e-05
3980.09 0.000101613 3.63196e-05 5.64042e-05 6.24789e-05
