# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: I SET a                       "
# "DATE: ""10/ 7/92"   "TIME: ""11:11:37"
# " CWL= "  8816.91A  "FWHM= " 3135.51A  "TMAX= "96.19 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 531     "DISP= "10.00A/INTERVAL
   9670.00    76.160
   9680.00    75.925
   9690.00    75.615
   9700.00    75.325
   9710.00    75.080
   9720.00    74.815
   9730.00    74.560
   9740.00    74.300
   9750.00    74.010
   9760.00    73.685
   9770.00    73.440
   9780.00    73.090
   9790.00    72.815
   9800.00    72.530
   9810.00    72.225
   9820.00    71.945
   9830.00    71.600
   9840.00    71.260
   9850.00    70.980
   9860.00    70.675
   9870.00    70.335
   9880.00    70.005
   9890.00    69.675
   9900.00    69.340
   9910.00    69.010
   9920.00    68.680
   9930.00    68.295
   9940.00    67.895
   9950.00    67.540
   9960.00    67.230
   9970.00    66.835
   9980.00    66.465
   9990.00    66.150
  10000.00    65.770
  10010.00    65.380
  10020.00    65.005
  10030.00    64.620
  10040.00    64.240
  10050.00    63.880
  10060.00    63.420
  10070.00    63.080
  10080.00    62.705
  10090.00    62.325
  10100.00    61.895
  10110.00    61.480
  10120.00    61.065
  10130.00    60.635
  10140.00    60.250
  10150.00    59.790
  10160.00    59.400
  10170.00    58.900
  10180.00    58.505
  10190.00    58.030
  10200.00    57.620
  10210.00    57.185
  10220.00    56.695
  10230.00    56.275
  10240.00    55.815
  10250.00    55.380
  10260.00    54.890
  10270.00    54.425
  10280.00    53.955
  10290.00    53.485
  10300.00    53.005
  10310.00    52.530
  10320.00    52.065
  10330.00    51.570
  10340.00    51.080
  10350.00    50.600
  10360.00    50.120
  10370.00    49.615
  10380.00    49.120
  10390.00    48.635
  10400.00    48.105
  10410.00    47.595
  10420.00    47.130
  10430.00    46.650
  10440.00    46.090
  10450.00    45.655
  10460.00    45.150
  10470.00    44.615
  10480.00    44.175
  10490.00    43.615
  10500.00    43.050
  10510.00    42.555
  10520.00    42.095
  10530.00    41.580
  10540.00    41.085
  10550.00    40.540
  10560.00    40.055
  10570.00    39.565
  10580.00    38.985
  10590.00    38.510
  10600.00    37.950
  10610.00    37.530
  10620.00    36.985
  10630.00    36.465
  10640.00    35.955
  10650.00    35.435
  10660.00    34.945
  10670.00    34.390
  10680.00    33.830
  10690.00    33.310
  10700.00    32.825
  10710.00    32.395
  10720.00    31.850
  10730.00    31.355
  10740.00    30.840
  10750.00    30.360
  10760.00    29.850
  10770.00    29.310
  10780.00    28.855
  10790.00    28.430
  10800.00    27.865
  10810.00    27.360
  10820.00    26.920
  10830.00    26.470
  10840.00    26.010
  10850.00    25.510
  10860.00    25.040
  10870.00    24.555
  10880.00    24.095
  10890.00    23.670
  10900.00    23.215
  10910.00    22.730
  10920.00    22.325
  10930.00    21.910
  10940.00    21.440
  10950.00    21.020
  10960.00    20.555
  10970.00    20.145
  10980.00    19.690
  10990.00    19.325
  11000.00    18.915
  11010.00    18.435
  11020.00    18.115
  11030.00    17.690
  11040.00    17.245
  11050.00    16.950
  11060.00    16.495
  11070.00    16.140
  11080.00    15.730
  11090.00    15.415
  11100.00    15.050
  11110.00    14.640
  11120.00    14.350
  11130.00    13.935
  11140.00    13.615
  11150.00    13.275
  11160.00    12.975
  11170.00    12.605
  11180.00    12.285
  11190.00    11.970
  11200.00    11.720
  11210.00    11.425
  11220.00    11.110
  11230.00    10.775
  11240.00    10.510
  11250.00    10.240
  11260.00     9.995
  11270.00     9.705
  11280.00     9.420
  11290.00     9.145
  11300.00     8.815
  11310.00     8.765
  11320.00     8.430
  11330.00     8.110
  11340.00     7.850
  11350.00     7.650
  11360.00     7.405
  11370.00     7.300
  11380.00     7.080
  11390.00     6.820
  11400.00     6.610
  11410.00     6.415
  11420.00     6.225
  11430.00     6.010
  11440.00     5.830
  11450.00     5.695
  11460.00     5.590
  11470.00     5.360
  11480.00     5.080
  11490.00     5.120
  11500.00     4.835
  11510.00     4.700
  11520.00     4.680
  11530.00     4.390
  11540.00     4.275
  11550.00     4.175
  11560.00     3.970
  11570.00     3.795
  11580.00     3.650
  11590.00     3.520
  11600.00     3.370
  11610.00     3.270
  11620.00     3.180
  11630.00     3.090
  11640.00     2.945
  11650.00     2.910
  11660.00     2.795
  11670.00     2.680
  11680.00     2.615
  11690.00     2.485
  11700.00     2.305
  11710.00     2.245
  11720.00     2.275
  11730.00     2.165
  11740.00     2.140
  11750.00     2.025
  11760.00     1.945
  11770.00     1.880
  11780.00     1.785
  11790.00     1.755
  11800.00     1.690
  11810.00     1.610
  11820.00     1.595
  11830.00     1.510
  11840.00     1.440
  11850.00     1.395
  11860.00     1.280
  11870.00     1.250
  11880.00     1.155
