#  Table ccd.tab  Fri 15:08:38 04-Apr-97
#
#      WAVELENGTH      THROUGHPUT
#       angstroms                
#
         1480.819    9.149355E-19
         1482.491    9.156372E-19
         1484.166    9.163355E-19
         1485.842    9.170301E-19
          1487.52    9.177214E-19
           1489.2    9.184084E-19
         1490.881    9.190476E-19
         1492.565    9.196421E-19
         1494.251    9.202324E-19
         1495.939    9.208189E-19
         1497.628    9.214008E-19
          1499.32    9.219783E-19
         1501.012    9.229631E-19
         1502.707    9.242193E-19
         1504.404    9.254694E-19
         1506.104    9.267137E-19
         1507.805    9.279511E-19
         1509.508    9.291821E-19
         1511.213    9.303756E-19
         1512.918    9.315490E-19
         1514.628    9.327163E-19
         1516.339    9.338760E-19
         1518.051    9.350284E-19
         1519.765    9.361738E-19
         1521.482    9.360141E-19
           1523.2    9.356442E-19
          1524.92    9.352696E-19
         1526.642    9.348907E-19
         1528.366    9.345074E-19
         1530.092    9.341177E-19
         1531.821    9.336944E-19
          1533.55    9.332667E-19
         1535.282    9.328340E-19
         1537.016    9.323966E-19
         1538.752    9.319545E-19
          1540.49    9.315518E-19
          1542.23    9.312577E-19
         1543.972    9.309583E-19
         1545.715    9.306539E-19
          1547.46    9.303438E-19
         1549.209    9.300283E-19
         1550.958    9.800325E-17
          1552.71    2.749255E-16
         1554.464    4.514035E-16
         1556.219    6.274353E-16
         1557.977    8.030306E-16
         1559.736    9.781634E-16
         1561.497    1.650918E-13
         1563.261    3.577010E-13
         1565.026    5.498186E-13
         1566.794    7.414688E-13
         1568.563    9.326358E-13
         1570.335    4.084201E-11
         1572.108    2.510418E-10
         1573.884    4.607434E-10
         1575.662    6.700592E-10
         1577.441    8.787853E-10
         1579.222     1.086892E-9
         1581.005     1.303046E-7
         1582.791     3.589993E-7
         1584.579     5.873295E-7
         1586.369     8.150273E-7
          1588.16     1.042246E-6
         1589.954     1.268953E-6
         1591.749     2.442326E-4
         1593.547     4.933606E-4
         1595.347     7.418967E-4
         1597.149     9.899569E-4
         1598.952     0.001237522
         1600.758     0.001390015
         1602.566     0.001411534
         1604.376     0.001433012
         1606.188     0.001454451
         1608.001     0.001475851
         1609.817      0.00149721
         1611.636     0.001520821
         1613.456     0.001544631
