     2.550 -29.5604 -29.5722 -29.5853 -29.5999 -29.6163 -29.6349 -29.6560 -29.6802 -29.7079 -29.7397 -29.7763 -29.8180 -29.8652 -29.9181 -29.9766 -30.0404 -30.1087 -30.1806 -30.2552 -30.3313 -30.4077 -30.4836 -30.5581 -30.6303 -30.6999 -30.7665 -30.8296 -30.8893 -30.9454 -30.9979 -31.0470 -31.0926 -31.1350 -31.1743 -31.2106 -31.2442 -31.2751 -31.3037 -31.3300 -31.3542 -31.3765 -31.3970 -31.4159 -31.4333 -31.4494 -31.4642 -31.4779 -31.4905 -31.5023 -31.5131 -31.5232 -31.5326 -31.5413 -31.5494 -31.5570 -31.5641 -31.5707 -31.5769 -31.5827 -31.5882 -31.5934 -31.5983 -31.6028 -31.6072
     2.591 -29.5278 -29.5396 -29.5527 -29.5673 -29.5837 -29.6023 -29.6234 -29.6476 -29.6753 -29.7072 -29.7437 -29.7854 -29.8326 -29.8855 -29.9441 -30.0078 -30.0761 -30.1481 -30.2226 -30.2987 -30.3751 -30.4510 -30.5255 -30.5978 -30.6674 -30.7339 -30.7970 -30.8567 -30.9128 -30.9653 -31.0144 -31.0600 -31.1024 -31.1417 -31.1780 -31.2116 -31.2426 -31.2711 -31.2974 -31.3216 -31.3439 -31.3644 -31.3833 -31.4007 -31.4168 -31.4316 -31.4453 -31.4580 -31.4697 -31.4805 -31.4906 -31.5000 -31.5087 -31.5168 -31.5244 -31.5315 -31.5381 -31.5443 -31.5502 -31.5556 -31.5608 -31.5657 -31.5703 -31.5746
     2.631 -29.5399 -29.5517 -29.5648 -29.5794 -29.5958 -29.6144 -29.6355 -29.6597 -29.6874 -29.7193 -29.7558 -29.7975 -29.8447 -29.8976 -29.9561 -30.0199 -30.0882 -30.1601 -30.2347 -30.3108 -30.3872 -30.4631 -30.5375 -30.6098 -30.6794 -30.7460 -30.8091 -30.8688 -30.9249 -30.9774 -31.0265 -31.0721 -31.1145 -31.1538 -31.1901 -31.2237 -31.2546 -31.2832 -31.3095 -31.3337 -31.3560 -31.3765 -31.3954 -31.4128 -31.4289 -31.4437 -31.4574 -31.4700 -31.4818 -31.4926 -31.5027 -31.5121 -31.5208 -31.5289 -31.5365 -31.5436 -31.5502 -31.5564 -31.5622 -31.5677 -31.5729 -31.5778 -31.5823 -31.5867
     2.671 -29.5200 -29.5317 -29.5448 -29.5594 -29.5759 -29.5944 -29.6156 -29.6397 -29.6675 -29.6993 -29.7358 -29.7775 -29.8248 -29.8777 -29.9362 -29.9999 -30.0682 -30.1402 -30.2148 -30.2908 -30.3673 -30.4432 -30.5176 -30.5899 -30.6595 -30.7260 -30.7892 -30.8488 -30.9049 -30.9575 -31.0065 -31.0522 -31.0946 -31.1339 -31.1702 -31.2037 -31.2347 -31.2632 -31.2895 -31.3137 -31.3360 -31.3566 -31.3755 -31.3929 -31.4089 -31.4238 -31.4374 -31.4501 -31.4618 -31.4727 -31.4828 -31.4921 -31.5008 -31.5090 -31.5165 -31.5236 -31.5303 -31.5365 -31.5423 -31.5478 -31.5530 -31.5578 -31.5624 -31.5668
     2.712 -29.5317 -29.5435 -29.5566 -29.5712 -29.5876 -29.6062 -29.6274 -29.6515 -29.6793 -29.7111 -29.7476 -29.7893 -29.8365 -29.8895 -29.9480 -30.0117 -30.0800 -30.1520 -30.2265 -30.3026 -30.3791 -30.4550 -30.5294 -30.6017 -30.6713 -30.7378 -30.8010 -30.8606 -30.9167 -30.9693 -31.0183 -31.0640 -31.1064 -31.1456 -31.1820 -31.2155 -31.2465 -31.2750 -31.3013 -31.3255 -31.3478 -31.3683 -31.3872 -31.4047 -31.4207 -31.4355 -31.4492 -31.4619 -31.4736 -31.4845 -31.4946 -31.5039 -31.5126 -31.5208 -31.5283 -31.5354 -31.5420 -31.5483 -31.5541 -31.5596 -31.5647 -31.5696 -31.5742 -31.5785
     2.752 -29.5995 -29.6112 -29.6243 -29.6389 -29.6553 -29.6739 -29.6951 -29.7192 -29.7470 -29.7788 -29.8153 -29.8570 -29.9042 -29.9572 -30.0157 -30.0794 -30.1477 -30.2197 -30.2943 -30.3703 -30.4468 -30.5227 -30.5971 -30.6694 -30.7390 -30.8055 -30.8687 -30.9283 -30.9844 -31.0370 -31.0860 -31.1317 -31.1741 -31.2133 -31.2497 -31.2832 -31.3142 -31.3427 -31.3690 -31.3932 -31.4155 -31.4360 -31.4549 -31.4724 -31.4884 -31.5033 -31.5169 -31.5296 -31.5413 -31.5522 -31.5623 -31.5716 -31.5803 -31.5885 -31.5960 -31.6031 -31.6098 -31.6160 -31.6218 -31.6273 -31.6324 -31.6373 -31.6419 -31.6462
     2.792 -29.5852 -29.5970 -29.6101 -29.6247 -29.6411 -29.6597 -29.6809 -29.7050 -29.7328 -29.7646 -29.8011 -29.8428 -29.8900 -29.9430 -30.0015 -30.0652 -30.1335 -30.2055 -30.2800 -30.3561 -30.4326 -30.5085 -30.5829 -30.6552 -30.7248 -30.7913 -30.8545 -30.9141 -30.9702 -31.0228 -31.0718 -31.1175 -31.1599 -31.1991 -31.2355 -31.2690 -31.3000 -31.3285 -31.3548 -31.3790 -31.4013 -31.4218 -31.4407 -31.4582 -31.4742 -31.4890 -31.5027 -31.5154 -31.5271 -31.5380 -31.5480 -31.5574 -31.5661 -31.5743 -31.5818 -31.5889 -31.5955 -31.6018 -31.6076 -31.6131 -31.6182 -31.6231 -31.6277 -31.6320
     2.832 -29.6030 -29.6148 -29.6279 -29.6425 -29.6589 -29.6775 -29.6986 -29.7228 -29.7505 -29.7824 -29.8189 -29.8606 -29.9078 -29.9607 -30.0192 -30.0830 -30.1513 -30.2232 -30.2978 -30.3739 -30.4503 -30.5262 -30.6007 -30.6729 -30.7425 -30.8091 -30.8722 -30.9319 -30.9880 -31.0405 -31.0896 -31.1352 -31.1776 -31.2169 -31.2532 -31.2868 -31.3177 -31.3463 -31.3726 -31.3968 -31.4191 -31.4396 -31.4585 -31.4759 -31.4920 -31.5068 -31.5205 -31.5332 -31.5449 -31.5557 -31.5658 -31.5752 -31.5839 -31.5920 -31.5996 -31.6067 -31.6133 -31.6195 -31.6254 -31.6308 -31.6360 -31.6409 -31.6455 -31.6498
     2.872 -29.6091 -29.6209 -29.6340 -29.6486 -29.6650 -29.6836 -29.7047 -29.7289 -29.7566 -29.7885 -29.8250 -29.8667 -29.9139 -29.9668 -30.0253 -30.0891 -30.1574 -30.2293 -30.3039 -30.3800 -30.4564 -30.5323 -30.6067 -30.6790 -30.7486 -30.8152 -30.8783 -30.9380 -30.9941 -31.0466 -31.0957 -31.1413 -31.1837 -31.2230 -31.2593 -31.2929 -31.3238 -31.3524 -31.3787 -31.4029 -31.4252 -31.4457 -31.4646 -31.4820 -31.4981 -31.5129 -31.5266 -31.5392 -31.5510 -31.5618 -31.5719 -31.5813 -31.5900 -31.5981 -31.6057 -31.6128 -31.6194 -31.6256 -31.6314 -31.6369 -31.6421 -31.6470 -31.6515 -31.6559
     2.912 -29.6300 -29.6418 -29.6549 -29.6695 -29.6859 -29.7045 -29.7256 -29.7498 -29.7775 -29.8094 -29.8459 -29.8876 -29.9348 -29.9877 -30.0463 -30.1100 -30.1783 -30.2503 -30.3248 -30.4009 -30.4774 -30.5532 -30.6277 -30.7000 -30.7696 -30.8361 -30.8993 -30.9589 -31.0150 -31.0676 -31.1166 -31.1623 -31.2046 -31.2439 -31.2803 -31.3138 -31.3448 -31.3733 -31.3996 -31.4238 -31.4461 -31.4666 -31.4855 -31.5029 -31.5190 -31.5338 -31.5475 -31.5602 -31.5719 -31.5828 -31.5928 -31.6022 -31.6109 -31.6190 -31.6266 -31.6337 -31.6403 -31.6465 -31.6524 -31.6579 -31.6630 -31.6679 -31.6725 -31.6768
