1.75000 -18.3466 -18.0294 -18.0699 -17.4297 -16.5709 -16.4114 -18.9845 -19.0769 -18.6903 -18.1161 -17.4413 -16.4695 -16.4939 -18.4929 -18.7779 -17.6262
1.81250 -18.4029 -18.1019 -18.1658 -17.5679 -16.6928 -16.4984 -19.0406 -19.1330 -18.7464 -18.1726 -17.5809 -16.5808 -16.5557 -18.5403 -18.8871 -17.6684
1.87500 -18.4555 -18.1680 -18.2531 -17.7006 -16.8096 -16.5798 -19.0932 -19.1856 -18.7990 -18.2254 -17.7152 -16.6869 -16.6124 -18.5819 -18.9904 -17.7058
1.93750 -18.5046 -18.2282 -18.3320 -17.8265 -16.9205 -16.6557 -19.1422 -19.2346 -18.8480 -18.2747 -17.8431 -16.7873 -16.6641 -18.6186 -19.0872 -17.7390
2.00000 -18.5503 -18.2828 -18.4025 -17.9444 -17.0250 -16.7260 -19.1879 -19.2803 -18.8937 -18.3206 -17.9632 -16.8816 -16.7111 -18.6509 -19.1773 -17.7683
2.06250 -18.5928 -18.3322 -18.4652 -18.0535 -17.1225 -16.7909 -19.2302 -19.3227 -18.9361 -18.3631 -18.0748 -16.9694 -16.7540 -18.6794 -19.2604 -17.7944
2.12500 -18.6321 -18.3769 -18.5208 -18.1528 -17.2127 -16.8506 -19.2695 -19.3619 -18.9754 -18.4025 -18.1768 -17.0507 -16.7930 -18.7045 -19.3365 -17.8176
2.18750 -18.6684 -18.4175 -18.5700 -18.2422 -17.2954 -16.9054 -19.3059 -19.3983 -19.0117 -18.4389 -18.2689 -17.1256 -16.8284 -18.7268 -19.4058 -17.8384
2.25000 -18.7020 -18.4542 -18.6136 -18.3216 -17.3708 -16.9557 -19.3394 -19.4318 -19.0453 -18.4725 -18.3510 -17.1943 -16.8608 -18.7466 -19.4688 -17.8570
2.31250 -18.7330 -18.4876 -18.6523 -18.3914 -17.4390 -17.0018 -19.3704 -19.4628 -19.0762 -18.5035 -18.4234 -17.2570 -16.8902 -18.7643 -19.5258 -17.8738
2.37500 -18.7615 -18.5180 -18.6867 -18.4524 -17.5006 -17.0441 -19.3989 -19.4913 -19.1048 -18.5321 -18.4867 -17.3141 -16.9172 -18.7803 -19.5772 -17.8889
2.43750 -18.7878 -18.5456 -18.7174 -18.5053 -17.5559 -17.0829 -19.4252 -19.5176 -19.1311 -18.5584 -18.5418 -17.3660 -16.9420 -18.7946 -19.6237 -17.9027
