2689.65	 22.806
2695.63	 21.354
2701.62	 21.237
2707.61	 21.977
2713.60	 22.857
2719.59	 19.032
2725.57	 18.608
2731.56	 20.225
2737.55	 20.000
2743.54	 18.984
2749.53	 19.317
2755.51	 18.544
2761.50	 19.764
2767.49	 19.549
2773.48	 19.184
2779.47	 18.395
2785.45	 18.486
2791.44	 19.720
2797.43	 17.625
2803.41	 19.341
2809.40	 18.795
2815.39	 17.782
2821.38	 18.586
2827.36	 19.423
2833.35	 16.278
2839.34	 17.921
2845.33	 19.050
2851.31	 18.303
2857.30	 17.788
2863.29	 14.602
2869.27	 18.303
2875.26	 17.277
2881.25	 16.733
2887.23	 15.705
2893.22	 18.291
2899.21	 17.151
2905.19	 16.544
2911.18	 15.054
2917.16	 18.377
2923.15	 15.940
2929.14	 16.630
2935.12	 16.885
2941.11	 16.360
2947.10	 15.418
2953.08	 15.061
2959.07	 15.080
2965.05	 15.981
2971.04	 15.553
2977.03	 16.288
2983.01	 15.567
2989.00	 16.693
2994.98	 15.018
3000.97	 15.545
3006.95	 15.941
3012.94	 14.477
3018.92	 15.310
3024.91	 16.321
3030.90	 14.706
3036.88	 15.423
3042.87	 14.828
3048.85	 14.777
3054.84	 15.385
3060.82	 16.277
3066.81	 14.840
3072.79	 14.543
3078.78	 15.536
3084.76	 16.102
3090.75	 14.962
3096.73	 14.421
3102.72	 13.979
3108.70	 14.412
3114.69	 13.683
3120.67	 14.452
3126.66	 13.140
3132.64	 14.734
3138.62	 13.245
3144.61	 14.144
3150.59	 12.595
3156.58	 13.893
3162.56	 14.323
3168.55	 13.459
3174.53	 13.145
3180.51	 13.741
3186.50	 14.140
3192.48	 12.623
3198.47	 11.512
3204.45	 13.753
3210.43	 11.980
3216.42	 12.362
3222.40	 11.316
3228.39	 12.886
3234.37	 12.520
3240.35	 12.906
3246.34	 11.163
3252.32	 12.104
3258.30	 11.847
3264.29	 12.095
3270.27	 11.938
3276.25	 11.674
3282.24	 11.511
3288.22	 12.014
3294.20	 11.329
3300.19	 10.810
3306.17	 10.099
3312.15	 11.174
3318.13	 10.197
3324.12	  9.836
3330.10	 10.193
3336.08	  9.558
3342.07	  9.899
3348.05	  9.973
3354.03	 10.166
3360.01	  8.445
3365.99	  8.554
3371.98	  9.053
3377.96	  8.356
3383.94	  8.725
3389.92	  7.987
3395.91	  7.874
3401.89	  7.683
3407.87	  7.509
3413.85	  7.010
3419.83	  6.848
3425.82	  6.650
3431.80	  6.993
3437.78	  6.744
3443.76	  6.020
3449.74	  6.274
3455.72	  5.971
3461.71	  5.637
3467.69	  5.512
3473.67	  5.066
3479.65	  5.654
3485.63	  4.314
3491.61	  4.637
3497.60	  4.520
3503.58	  3.984
3509.56	  4.040
3515.54	  3.862
3521.52	  3.564
3527.50	  3.870
3533.48	  3.372
3539.46	  3.404
3545.44	  3.352
3551.42	  3.333
3557.41	  2.793
3563.39	  2.995
3569.37	  2.897
3575.35	  2.717
3581.33	  2.586
3587.31	  2.440
3593.29	  2.441
3599.27	  2.414
3605.25	  2.195
3611.23	  2.159
3617.21	  1.846
3623.19	  1.973
3629.17	  1.728
3635.15	  1.653
3641.13	  1.562
3647.11	  1.685
3653.09	  1.616
3659.07	  1.576
3665.05	  1.534
3671.03	  1.403
3677.01	  1.256
3682.99	  1.325
3688.97	  1.245
3694.95	  1.197
3700.93	  1.042
3706.91	  1.042
3712.89	  1.027
3718.87	  0.902
3724.85	  0.819
3730.83	  0.828
