# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: KP1421 HARRIS V TEMP=72       "
# "DATE: "" 7/28/93"   "TIME: ""14: 9:11"
# " CWL= "  5397.35A  "FWHM= " 1058.83A  "TMAX= "87.60 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 901     "DISP= "10.00A/INTERVAL
   5950.00    39.365
   5960.00    38.255
   5970.00    37.155
   5980.00    36.060
   5990.00    34.960
   6000.00    33.890
   6010.00    32.820
   6020.00    31.745
   6030.00    30.720
   6040.00    29.685
   6050.00    28.675
   6060.00    27.670
   6070.00    26.665
   6080.00    25.660
   6090.00    24.720
   6100.00    23.770
   6110.00    22.820
   6120.00    21.945
   6130.00    21.040
   6140.00    20.165
   6150.00    19.310
   6160.00    18.495
   6170.00    17.685
   6180.00    16.885
   6190.00    16.135
   6200.00    15.395
   6210.00    14.650
   6220.00    13.960
   6230.00    13.275
   6240.00    12.610
   6250.00    11.975
   6260.00    11.370
   6270.00    10.770
   6280.00    10.200
   6290.00     9.640
   6300.00     9.125
   6310.00     8.600
   6320.00     8.115
   6330.00     7.660
   6340.00     7.210
   6350.00     6.775
   6360.00     6.380
   6370.00     5.995
   6380.00     5.610
   6390.00     5.275
   6400.00     4.920
   6410.00     4.605
   6420.00     4.305
   6430.00     4.015
   6440.00     3.745
   6450.00     3.490
   6460.00     3.250
   6470.00     3.015
   6480.00     2.800
   6490.00     2.600
   6500.00     2.405
   6510.00     2.235
   6520.00     2.060
   6530.00     1.905
   6540.00     1.755
   6550.00     1.620
   6560.00     1.500
   6570.00     1.370
   6580.00     1.265
   6590.00     1.165
   6600.00     1.065
   6610.00      .980
   6620.00      .890
   6630.00      .810
   6640.00      .750
   6650.00      .680
   6660.00      .615
   6670.00      .570
   6680.00      .515
   6690.00      .465
   6700.00      .425
   6710.00      .385
   6720.00      .350
   6730.00      .315
   6740.00      .285
   6750.00      .260
   6760.00      .230
   6770.00      .205
   6780.00      .185
   6790.00      .170
   6800.00      .150
   6810.00      .135
   6820.00      .120
   6830.00      .110
   6840.00      .095
   6850.00      .085
   6860.00      .075
   6870.00      .065
   6880.00      .060
   6890.00      .050
   6900.00      .010
   6910.00      .040
   6920.00      .035
   6930.00      .030
   6940.00      .025
   6950.00      .025
   6960.00      .020
   6970.00      .015
   6980.00      .015
   6990.00      .010
   7000.00      .010
   7010.00      .010
   7020.00      .005
   7030.00      .005
   7040.00      .000
   7050.00      .000
   7060.00      .000
   7070.00      .000
   7080.00     -.005
   7090.00      .000
   7100.00      .000
   7110.00     -.005
   7120.00     -.005
   7130.00     -.005
   7140.00     -.005
   7150.00     -.005
   7160.00     -.005
   7170.00     -.005
   7180.00     -.005
   7190.00     -.005
   7200.00     -.005
   7210.00     -.010
   7220.00     -.010
   7230.00     -.010
   7240.00     -.010
   7250.00     -.010
   7260.00     -.005
   7270.00     -.005
   7280.00     -.005
   7290.00     -.005
   7300.00     -.005
   7310.00     -.005
   7320.00     -.010
   7330.00     -.005
   7340.00     -.010
   7350.00     -.005
   7360.00     -.005
   7370.00     -.005
   7380.00     -.005
   7390.00     -.005
   7400.00     -.010
   7410.00     -.010
   7420.00     -.005
   7430.00     -.010
   7440.00     -.010
   7450.00     -.005
   7460.00     -.010
   7470.00     -.010
   7480.00     -.005
   7490.00     -.010
   7500.00     -.010
   7510.00     -.005
   7520.00     -.010
   7530.00     -.010
   7540.00     -.005
   7550.00     -.005
   7560.00     -.005
   7570.00     -.005
   7580.00     -.005
   7590.00     -.005
   7600.00     -.010
   7610.00     -.005
   7620.00     -.005
   7630.00     -.005
   7640.00     -.005
   7650.00     -.005
   7660.00     -.005
   7670.00     -.005
   7680.00     -.005
   7690.00     -.005
   7700.00     -.010
   7710.00     -.005
   7720.00     -.005
   7730.00     -.005
   7740.00     -.005
   7750.00     -.005
   7760.00     -.005
   7770.00     -.010
   7780.00     -.010
   7790.00     -.005
   7800.00     -.005
   7810.00     -.005
   7820.00     -.005
   7830.00     -.005
   7840.00     -.005
   7850.00     -.005
   7860.00     -.005
   7870.00     -.005
   7880.00     -.005
   7890.00     -.005
   7900.00     -.005
   7910.00     -.005
   7920.00     -.005
   7930.00     -.005
   7940.00     -.005
   7950.00     -.005
   7960.00     -.010
   7970.00     -.010
   7980.00      .000
   7990.00     -.005
   8000.00      .000
   8010.00     -.005
   8020.00     -.005
   8030.00     -.005
   8040.00     -.005
   8050.00      .000
   8060.00     -.005
   8070.00     -.005
   8080.00     -.005
   8090.00     -.010
   8100.00     -.020
   8110.00      .000
   8120.00     -.010
   8130.00     -.005
   8140.00      .000
   8150.00     -.010
   8160.00     -.005
   8170.00      .000
   8180.00     -.005
   8190.00     -.010
   8200.00     -.010
   8210.00      .000
   8220.00      .005
   8230.00      .000
   8240.00      .000
   8250.00      .000
   8260.00      .000
   8270.00     -.005
   8280.00     -.010
   8290.00      .000
   8300.00     -.005
   8310.00      .000
   8320.00     -.005
   8330.00     -.005
   8340.00      .000
   8350.00     -.005
   8360.00     -.005
   8370.00     -.005
   8380.00      .005
   8390.00      .000
   8400.00     -.005
   8410.00     -.005
   8420.00     -.010
   8430.00      .000
   8440.00      .005
   8450.00     -.005
   8460.00     -.005
   8470.00      .005
   8480.00     -.010
   8490.00      .005
   8500.00     -.005
   8510.00      .005
   8520.00      .000
   8530.00      .000
   8540.00      .000
   8550.00      .000
   8560.00      .000
   8570.00      .000
   8580.00      .005
   8590.00      .005
   8600.00     -.015
   8610.00     -.100
   8620.00     -.050
   8630.00     -.030
   8640.00     -.040
   8650.00     -.090
   8660.00     -.015
   8670.00     -.070
   8680.00     -.055
   8690.00     -.070
   8700.00     -.070
   8710.00     -.095
   8720.00     -.070
   8730.00     -.040
   8740.00     -.060
   8750.00     -.090
   8760.00     -.070
   8770.00     -.055
   8780.00     -.015
   8790.00     -.095
   8800.00     -.035
   8810.00     -.045
   8820.00     -.070
   8830.00     -.055
   8840.00     -.035
   8850.00     -.055
   8860.00     -.070
   8870.00     -.080
   8880.00     -.015
   8890.00     -.080
   8900.00     -.040
   8910.00      .000
   8920.00     -.070
   8930.00     -.060
   8940.00     -.075
   8950.00     -.050
   8960.00     -.085
   8970.00     -.050
   8980.00     -.040
   8990.00     -.085
   9000.00     -.105
   9010.00     -.020
   9020.00     -.050
   9030.00     -.075
   9040.00     -.045
   9050.00     -.045
   9060.00     -.075
   9070.00     -.080
   9080.00     -.065
   9090.00     -.075
   9100.00     -.050
   9110.00     -.065
   9120.00     -.075
   9130.00     -.035
   9140.00     -.050
   9150.00     -.080
   9160.00     -.070
   9170.00     -.065
   9180.00     -.080
   9190.00     -.070
   9200.00     -.065
   9210.00     -.080
   9220.00      .000
   9230.00     -.100
   9240.00     -.055
   9250.00     -.045
   9260.00     -.080
   9270.00      .020
   9280.00     -.065
   9290.00     -.070
   9300.00     -.070
   9310.00     -.105
   9320.00     -.110
   9330.00     -.080
   9340.00     -.075
   9350.00     -.125
   9360.00     -.045
   9370.00     -.045
   9380.00     -.080
   9390.00     -.080
   9400.00     -.030
   9410.00     -.085
   9420.00     -.060
   9430.00     -.085
   9440.00     -.080
   9450.00     -.085
   9460.00     -.110
   9470.00     -.035
   9480.00     -.020
   9490.00     -.090
   9500.00      .005
   9510.00     -.065
   9520.00     -.060
   9530.00     -.080
   9540.00     -.025
   9550.00     -.085
   9560.00     -.085
   9570.00     -.045
   9580.00     -.045
   9590.00     -.055
   9600.00     -.030
   9610.00     -.030
   9620.00     -.075
   9630.00     -.080
   9640.00     -.055
   9650.00     -.045
   9660.00     -.070
   9670.00     -.090
   9680.00     -.045
   9690.00     -.055
   9700.00     -.030
   9710.00     -.045
   9720.00     -.085
   9730.00     -.090
   9740.00     -.095
   9750.00     -.030
   9760.00     -.040
   9770.00     -.090
   9780.00     -.040
   9790.00     -.050
   9800.00     -.065
   9810.00     -.080
   9820.00     -.040
   9830.00     -.085
   9840.00     -.050
   9850.00     -.060
   9860.00     -.090
   9870.00     -.035
   9880.00     -.065
   9890.00     -.080
   9900.00     -.030
   9910.00     -.085
   9920.00     -.125
   9930.00     -.025
   9940.00     -.075
   9950.00     -.060
   9960.00     -.125
   9970.00     -.090
   9980.00     -.090
   9990.00     -.050
  10000.00     -.050
  10010.00     -.040
  10020.00     -.080
  10030.00     -.050
  10040.00     -.080
  10050.00     -.070
  10060.00     -.020
  10070.00     -.100
  10080.00     -.065
  10090.00     -.065
  10100.00     -.055
  10110.00     -.045
  10120.00     -.075
  10130.00     -.045
  10140.00     -.045
  10150.00     -.075
  10160.00     -.050
  10170.00     -.075
  10180.00     -.060
  10190.00     -.060
  10200.00     -.100
  10210.00     -.035
  10220.00     -.050
  10230.00     -.040
  10240.00     -.050
  10250.00     -.065
  10260.00     -.030
  10270.00     -.055
  10280.00     -.055
  10290.00     -.060
  10300.00     -.090
  10310.00     -.100
  10320.00     -.065
  10330.00     -.115
  10340.00     -.065
  10350.00     -.010
  10360.00     -.070
  10370.00     -.030
  10380.00     -.060
  10390.00     -.105
  10400.00     -.075
  10410.00     -.020
  10420.00     -.035
  10430.00     -.080
  10440.00     -.075
  10450.00     -.040
  10460.00     -.030
  10470.00     -.105
  10480.00     -.005
  10490.00     -.030
  10500.00     -.090
  10510.00     -.105
  10520.00     -.050
  10530.00     -.080
  10540.00     -.070
  10550.00     -.070
  10560.00     -.115
  10570.00     -.050
  10580.00     -.050
  10590.00     -.050
  10600.00     -.100
  10610.00      .015
  10620.00     -.030
  10630.00     -.045
  10640.00     -.065
  10650.00     -.045
  10660.00     -.050
  10670.00     -.075
  10680.00     -.085
  10690.00     -.065
  10700.00     -.085
  10710.00     -.060
  10720.00     -.100
  10730.00     -.075
  10740.00     -.100
  10750.00     -.105
  10760.00     -.050
  10770.00     -.055
  10780.00     -.055
  10790.00     -.015
  10800.00     -.080
  10810.00     -.090
  10820.00     -.105
  10830.00     -.050
  10840.00     -.050
  10850.00     -.095
  10860.00     -.040
  10870.00     -.055
  10880.00     -.065
  10890.00     -.050
  10900.00     -.020
  10910.00     -.085
  10920.00     -.115
  10930.00     -.040
  10940.00     -.015
  10950.00     -.070
  10960.00     -.070
  10970.00     -.130
  10980.00     -.085
  10990.00     -.025
  11000.00      .005
  11010.00     -.020
  11020.00     -.060
  11030.00     -.120
  11040.00     -.100
  11050.00     -.090
  11060.00      .045
  11070.00     -.050
  11080.00     -.025
  11090.00     -.065
  11100.00     -.085
  11110.00     -.045
  11120.00     -.050
  11130.00     -.020
  11140.00     -.045
  11150.00     -.025
  11160.00     -.015
  11170.00     -.050
  11180.00     -.075
  11190.00     -.075
  11200.00     -.145
  11210.00     -.070
  11220.00     -.025
  11230.00     -.070
  11240.00     -.090
  11250.00     -.055
  11260.00      .025
  11270.00      .000
  11280.00      .005
  11290.00     -.015
  11300.00     -.020
  11310.00     -.095
  11320.00     -.165
  11330.00     -.110
  11340.00     -.100
  11350.00      .000
  11360.00     -.100
  11370.00      .030
  11380.00     -.060
  11390.00     -.040
  11400.00     -.055
  11410.00     -.015
  11420.00     -.095
  11430.00     -.040
  11440.00     -.015
  11450.00     -.060
  11460.00      .005
  11470.00     -.085
  11480.00     -.065
  11490.00     -.020
  11500.00     -.055
  11510.00     -.045
  11520.00     -.040
  11530.00     -.045
  11540.00     -.070
  11550.00     -.095
  11560.00     -.125
  11570.00     -.140
  11580.00     -.115
  11590.00     -.085
  11600.00     -.100
  11610.00     -.095
  11620.00      .010
  11630.00     -.085
  11640.00     -.030
  11650.00     -.025
  11660.00     -.065
  11670.00     -.095
  11680.00     -.065
  11690.00     -.115
  11700.00     -.045
  11710.00     -.010
  11720.00     -.045
  11730.00     -.045
  11740.00     -.075
  11750.00     -.075
  11760.00     -.125
  11770.00     -.150
  11780.00     -.015
  11790.00     -.085
  11800.00     -.055
  11810.00     -.080
  11820.00     -.020
  11830.00      .025
  11840.00     -.035
  11850.00     -.075
  11860.00     -.020
  11870.00     -.100
  11880.00     -.115
  11890.00     -.225
  11900.00     -.145
  11910.00     -.040
  11920.00     -.065
  11930.00     -.065
  11940.00     -.025
  11950.00     -.080
  11960.00     -.095
  11970.00     -.080
  11980.00     -.045
  11990.00     -.040
  12000.00     -.010
