2013.39	 -3.703
2016.36	 -1.961
2019.33	  9.434
2022.30	 -0.000
2025.26	 -3.721
2028.23	  5.825
2031.19	 11.443
2034.16	  0.926
2037.13	  3.704
2040.10	 -7.389
2043.06	 -6.468
2046.03	  2.765
2049.00	 -2.884
2051.96	 -7.000
2054.93	 -3.432
2057.90	  0.943
2060.86	  0.000
2063.83	 -6.633
2066.80	 -1.352
2069.76	  1.415
2072.73	 -1.786
2075.70	  3.482
2078.67	  5.023
2081.63	  1.896
2084.60	 -7.583
2087.57	  1.383
2090.54	  1.266
2093.50	  2.691
2096.47	 -4.145
2099.44	  5.023
2102.40	  4.331
2105.37	 -2.804
2108.34	  2.184
2111.31	  3.965
2114.27	  2.110
2117.24	  8.085
2120.21	 10.096
2123.18	  1.383
2126.14	-17.757
2129.11	 -2.542
2132.08	  6.494
2135.05	  8.145
2138.01	 -0.913
2140.98	 -4.186
2143.95	-15.247
2146.92	  3.333
2149.89	  9.091
2152.85	-13.021
2155.82	  1.288
2158.79	  3.516
2161.76	 -0.855
2164.73	 -2.137
2167.69	  7.059
2170.66	  5.738
2173.63	  0.000
2176.60	  1.181
2179.57	  2.822
2182.53	  0.000
2185.50	  7.175
2188.47	  6.612
2191.44	 -6.452
2194.41	  1.154
2197.38	 -1.640
2200.35	  2.092
2203.31	  5.395
2206.28	 -5.668
2209.25	  5.417
2212.22	  3.371
2215.19	-12.971
2218.16	 -6.391
2221.12	  1.444
2224.09	  3.891
2227.06	  3.448
2230.03	 -3.101
2233.00	 -5.051
2235.97	 -0.000
2238.94	 -1.454
2241.90	  5.195
2244.87	 -5.351
2247.84	  4.225
2250.81	  5.638
2253.78	 -2.769
2256.75	 -0.000
2259.72	 -0.804
2262.69	 -0.000
2265.66	  2.778
2268.63	  1.217
2271.60	  0.362
2274.56	 -1.910
2277.53	 -2.359
2280.50	 -0.287
2283.47	  1.023
2286.44	  1.792
2289.41	 -2.383
2292.38	 -1.816
2295.35	  0.086
2298.32	 -1.830
2301.29	 -0.139
2304.26	  0.439
2307.23	 -0.283
2310.20	 -0.563
2313.16	 -1.422
2316.13	  0.042
2319.11	 -0.352
