12 36 37.77 +62 12 35.1 23.87 0.485  1 E  Cal
12 36 45.30 +62 11 42.9 24.00 0.558  1 E  St0, Cal
12 36 47.17 +62 13 41.7 23.93 1.313  1 EA Daw
12 36 43.84 +62 12 41.5 25.21 4.540 11 E  Stern
12 36 44.66 +62 11 50.2 26.50 4.580 11 E  Stern
