ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
3-0.0           1762.0  125.0 36:56.200 13:29.22  28.02  28.34    ...  >1.31  -0.20   8.05   0.05  0.08   0.43   55         BS
3-1.0           1029.0  130.0 36:52.379 13:17.41 >29.85 >29.85 >-0.54 <-0.50  >0.97   5.59   0.08  0.11   0.45   95         BS
3-2.0           1304.0  131.0 36:53.819 13:21.74 >29.90 >29.90  -1.72 <-0.62  >1.38   7.60   0.08  0.09   0.77   24         BS
3-3.0           1604.0  136.0 36:55.399 13:26.32 >30.05 >30.05  -1.37 <-0.31  >1.05   3.43   0.05  0.11   0.41   56         BS
3-4.0           1244.0  138.0 36:53.521 13:20.53  28.45  28.83 >-0.26   0.19 <-0.59   7.12   0.06  0.08   0.84  179         BS
3-5.0            966.0  133.0 36:52.057 13:16.30  27.17  27.62 >-0.05   0.45  -0.50   9.19   0.21  0.23   0.43   26         BS
3-6.0            230.0  143.0 36:48.232 13:04.26  29.01  29.32    ...  >0.41 <-0.21   4.12   0.05  0.08   0.55  169         BS
3-7.0            917.0  146.0 36:51.830 13:15.05  29.55  29.52    ...  >0.04   0.58   4.80   0.06  0.12   0.44  115          S
3-8.0            274.0  145.0 36:48.467 13:04.88  26.58  26.65   0.15   0.16   0.69  29.27   0.29  0.13   0.74  178         BS
3-9.0            771.0  148.0 36:51.071 13:12.66  28.12  28.43 >-0.74   0.58   0.25   7.13   0.16  0.16   0.42   69          S
3-10.0          1466.0  147.0 36:54.702 13:23.73  27.89  28.08  >0.02  -0.01   0.38   8.73   0.20  0.16   0.92  128          S
3-11.0            99.0  151.0 36:47.565 13:01.88  28.03  28.30 >-0.83   1.12  -0.78   7.90   0.08  0.15   0.35   66         BS
3-12.0           301.0  156.0 36:48.633 13:04.91  28.93  29.31    ...  >0.35   0.47   5.55   0.08  0.12   0.63   76         BS
3-13.0          1660.0  147.0 36:55.717 13:26.80  25.44  25.51   0.95   0.15   0.18  46.25   0.57  0.17   0.79   81         BS
3-14.0           620.0  159.0 36:50.307 13:09.86  29.01  29.32 >-0.85   0.50 <-0.34   4.72   0.06  0.09   0.68   73          S
3-15.0          1280.0  155.0 36:53.748 13:20.48  27.18  27.26  >0.69   0.09  -0.17  14.85   0.28  0.17   0.51   93          S
3-16.0           289.0  161.0 36:48.581 13:04.54  29.97  30.03    ... >-0.18   1.13   4.99   0.06  0.10   0.70  114         BS
3-17.0           334.0  146.0 36:48.782 13:05.80  26.02  26.15  >0.17   1.32   0.45  30.93   0.57  0.28   0.38  135         BS
3-18.0          1231.0  155.0 36:53.492 13:19.71  28.12  28.33  -0.33  -0.08   0.51  11.01   0.14  0.13   0.53   15          S
3-19.0          1037.0  160.0 36:52.489 13:16.45  29.34  29.69    ...  >0.27   0.21   4.21   0.06  0.12   0.66   97          S
3-20.0          1172.0  160.0 36:53.195 13:18.59  29.26  29.90    ...  >0.18 <-0.02   3.40   0.04  0.10   0.36  145          S
3-21.0          1324.0  158.0 36:53.985 13:21.07  26.68  26.81  >0.66   0.29  -0.10  16.54   0.45  0.29   0.28   96          S
3-22.0           181.0  158.0 36:48.010 13:02.93  27.26  27.20    ...  >1.17   1.04  13.86   0.61  0.45   0.29  122          B
3-22.1           175.0  147.0 36:47.954 13:03.24  28.12  28.25    ...  >0.89   1.05  10.76   0.18  0.22   0.76  109         BS
3-22.2           181.0  158.0 36:48.010 13:02.93  27.92  28.05 <-1.06  >1.14   0.72  11.63   0.17  0.16   0.66  130          S
3-23.0           814.0  163.0 36:51.330 13:12.80  28.32  28.37    ...  >1.11   0.35  11.02   0.12  0.11   0.70  131          S
3-24.0           946.0  163.0 36:52.020 13:14.89  26.11  26.15   0.93   0.21   0.21  38.02   0.47  0.19   0.57   77          S
3-25.0          1777.0  166.0 36:56.372 13:27.97  29.30  29.77    ...  >0.04   0.98   5.31   0.07  0.10   0.72   61          S
3-26.0           172.0  167.0 36:47.983 13:02.46  29.30  29.63 >-0.28  -0.19 <-0.15   5.01   0.05  0.08   0.59   81          S
3-27.0          1627.0  171.0 36:55.599 13:25.40  29.18  29.05 >-0.05  -0.14   0.06   6.86   0.08  0.11   0.47  131          S
3-29.0           657.0  180.0 36:50.548 13:09.68  28.34  28.66  >0.25  -0.08  -0.24   8.38   0.11  0.11   0.59   70          S
3-30.0           594.0  181.0 36:50.221 13:08.65  28.77  29.18  -0.45   0.32   0.20   6.39   0.08  0.11   0.50   88          S
3-31.0           712.0  184.0 36:50.844 13:10.41  29.83  30.52    ... >-0.19   0.73   3.87   0.04  0.11   0.40   30          S
3-32.0          1623.0  185.0 36:55.610 13:24.83  29.27  29.44    ...  >0.61  -0.25   5.61   0.06  0.09   0.73   56          S
3-33.0           267.0  180.0 36:48.509 13:03.49  27.18  27.26 >-0.00   0.80   0.56  20.81   0.38  0.20   0.81  168          S
3-34.0           124.0  198.0 36:47.803 13:00.57  28.70  29.08 >-0.82   0.47 <-0.48   4.73   0.09  0.14   0.67   38          S
3-35.0           738.0  195.0 36:51.005 13:10.42  29.24  29.66    ...  >0.29   0.89   6.54   0.10  0.12   0.64  174          S
3-36.0          1798.0  190.0 36:56.536 13:27.42  26.12  26.15   0.18   0.08   0.43  50.69   0.41  0.14   0.78  102          S
3-37.0           496.0  175.0 36:49.695 13:07.31  24.90  24.95   0.21   0.26   0.69  65.91   1.72  0.34   0.69  172          S
3-38.0          1592.0  198.0 36:55.477 13:23.86  28.98  29.20 >-0.62   0.50   0.42   7.91   0.09  0.11   0.71   90          S
3-39.0          1534.0  203.0 36:55.185 13:22.76  29.83  30.21    ...  >0.08   0.83   5.10   0.05  0.08   0.69   41          S
3-40.0          1664.0  205.0 36:55.869 13:24.75  30.17  30.78    ... >-0.42   0.89   3.45   0.04  0.08   0.41  114          S
3-41.0          1231.0  204.0 36:53.603 13:17.92  26.04  26.06  >2.19   0.03  -0.03  51.86   0.38  0.13   0.89  106          S
3-42.0          1458.0  210.0 36:54.803 13:21.30  28.71  29.00    ...  >0.84   0.06   7.28   0.12  0.15   0.52   24          S
3-43.0           156.0  205.0 36:47.986 13:00.82  26.74  26.83   0.41  -0.00   0.54  27.18   0.46  0.21   0.54  126          S
3-44.0          1354.0  215.0 36:54.271 13:19.47  29.31  29.22    ...  >0.24   1.67  10.96   0.20  0.23   0.31  117          S
3-45.0           368.0  203.0 36:49.089 13:04.26  27.79  27.90   0.02   0.08  -0.13  13.50   0.23  0.27   0.30  164          S
