ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
4-203.2         1470.0  473.0 36:48.817 12:08.35  28.24  28.27   0.26   0.02  -0.22  12.98   0.15  0.12   0.72  111          S
4-203.11        1485.0  461.0 36:48.913 12:07.98  26.29  26.42   0.51   0.80   0.59  58.11   0.35  0.17   0.57  151          S
4-203.12        1488.0  444.0 36:49.009 12:08.14  27.72  27.84   0.78   0.28   0.02  21.73   0.13  0.12   0.58   55          S
4-204.0         1216.0  474.0 36:48.249 12:17.65  28.59  28.78  >0.05   0.26  -0.75   8.48   0.10  0.10   0.68   54          S
4-205.0         1965.0  476.0 36:49.898 11:50.14  29.58  30.06    ...  >0.19   0.55   4.66   0.06  0.10   0.65   51          S
4-206.0         1556.0  479.0 36:48.976 12:05.10  29.13  29.29  >0.04   0.19  -0.79   6.55   0.06  0.08   0.95   35          S
4-207.0          360.0  481.0 36:46.313 12:48.95  28.60  28.81  >0.05   0.34  -0.23   9.52   0.09  0.11   0.64   12          S
4-208.0          276.0  480.0 36:46.132 12:52.05  28.68  28.93 >-0.03   0.15   0.19   8.43   0.11  0.12   0.63   77          S
4-209.0         2020.0  478.0 36:50.010 11:48.09  28.10  28.51 >-0.10  -0.00   0.94   8.66   0.17  0.22   0.50  131         BS
4-210.0          472.0  471.0 36:46.614 12:44.99  27.09  27.16  >0.18   0.90   0.68  24.20   0.44  0.25   0.42   50           
4-210.1          472.0  471.0 36:46.614 12:44.99  27.53  27.79 >-0.79   1.82   0.83  24.50   0.17  0.14   0.72   86          S
4-210.2          476.0  483.0 36:46.560 12:44.66  28.29  28.56  >0.71   0.09   0.07  14.86   0.07  0.09   0.93   99          S
4-211.0         1824.0  479.0 36:49.570 11:55.27  28.72  28.93 >-0.08   0.12   0.34   8.13   0.13  0.17   0.44  102          S
4-212.0         1037.0  481.0 36:47.815 12:24.11  26.64  26.61   0.03  -0.09   0.26  33.54   0.45  0.21   0.53   56          S
4-213.0         1137.0  490.0 36:47.989 12:20.30  29.45  30.34 >-0.06  -0.77   0.50   4.38   0.05  0.10   0.53   17          S
4-214.0          574.0  493.0 36:46.725 12:40.91  28.84  29.09  >0.32  -0.17  -0.04   8.10   0.08  0.10   0.55  129          S
4-215.0         1680.0  496.0 36:49.162 12:00.29  29.57  29.85    ...  >0.47   0.35   5.61   0.06  0.08   0.58   40          S
4-216.0          786.0  496.0 36:47.179 12:33.09  28.33  28.32    ...  >1.50   0.19  15.64   0.11  0.10   0.76  106          S
4-217.0         1622.0  494.0 36:49.044 12:02.45  27.20  27.29   0.62   0.06   0.12  24.58   0.27  0.17   0.45  122          S
4-218.0          453.0  495.0 36:46.446 12:45.32  28.58  28.84  >0.08  -0.12   0.46   8.20   0.17  0.19   0.37    6          S
4-219.0          491.0  497.0 36:46.520 12:43.89  27.36  27.39   0.75  -0.06  -0.08  21.86   0.22  0.15   0.42   81          S
4-220.0          516.0  495.0 36:46.586 12:43.01  28.72  28.99    ...  >0.78   0.55   8.13   0.14  0.21   0.25  134          S
4-221.0          411.0  500.0 36:46.327 12:46.78  30.22  30.66    ... >-0.29   1.06   3.86   0.05  0.10   0.41  117          S
4-222.0          251.0  502.0 36:45.961 12:52.62  27.97  28.08  -0.13   0.09   0.32  15.78   0.17  0.12   0.91   67          S
4-223.0         1652.0  503.0 36:49.063 12:01.21  28.78  29.25 >-0.58   0.68   0.19   8.58   0.07  0.09   0.85  101          S
4-224.0          492.0  507.0 36:46.470 12:43.70  29.62  30.65    ... >-0.15   0.89   4.13   0.04  0.08   0.67  113          S
4-227.0         1730.0  512.0 36:49.189 11:58.20  27.13  27.28  >0.08   1.09   0.28  22.67   0.31  0.19   0.61   49          S
4-228.0         1447.0  523.0 36:48.503 12:08.42  29.08  29.43 >-0.12   0.10  -0.16   6.97   0.06  0.09   0.68   99          S
4-229.0         1469.0  510.0 36:48.620 12:07.81  26.43  26.49   0.27   0.10   0.46  43.48   0.44  0.17   0.56   51          S
4-230.0         1588.0  522.0 36:48.821 12:03.26  27.04  27.09   0.60  -0.08  -0.03  30.48   0.23  0.12   0.87   97          S
4-231.0         1074.0  525.0 36:47.666 12:22.07  28.45  28.46  >0.35   0.26   0.28  13.45   0.12  0.10   0.90  114          S
4-232.0          846.0  503.0 36:47.276 12:30.78  23.16  23.19   0.37   0.79   0.41 234.69   3.86  0.52   0.37  177          F
4-232.1          846.0  503.0 36:47.276 12:30.78  23.18  23.31   0.38   0.76   0.40 322.87   1.98  0.43   0.40  179           
4-232.2          893.0  511.0 36:47.338 12:28.93  27.56  27.69   0.16   0.89   0.50  31.59   0.10  0.14   0.34  104          S
4-232.11         854.0  494.0 36:47.341 12:30.62  26.53  27.18   0.21   0.76   0.42  77.26   0.04  0.07   0.82   99          S
4-232.12         846.0  503.0 36:47.276 12:30.78  23.23  23.88   0.38   0.71   0.37 406.69   0.45  0.25   0.39  175          S
4-233.0          304.0  521.0 36:45.979 12:50.38  25.00  25.02   1.53   1.28   0.70 153.78   0.51  0.11   0.92   84          S
4-234.0          215.0  528.0 36:45.745 12:53.54  27.44  27.53  >1.06  -0.06   0.21  20.34   0.24  0.15   0.91   12          S
4-235.0         1813.0  518.0 36:49.341 11:55.07  23.80  23.82   0.08  -0.01   0.43 262.38   1.13  0.17   0.85  103          S
4-236.0         1173.0  534.0 36:47.838 12:18.30  27.99  28.33  >0.28   0.00   0.07  10.47   0.23  0.31   0.25   76          S
4-237.0         1429.0  532.0 36:48.416 12:08.94  28.74  28.84  -0.61  -0.11   0.94  10.25   0.16  0.13   0.64    3          S
4-238.0          371.0  538.0 36:46.038 12:47.66 >30.93 >30.93    ...    ...  >1.10   3.04   0.04  0.13   0.29  161          S
4-240.0          248.0  537.0 36:45.771 12:52.19  28.44  28.64    ...  >1.21   0.57  12.01   0.12  0.10   0.75  148          S
4-241.0          666.0  524.0 36:46.766 12:37.05  21.27  21.29   0.68   0.78   0.58 589.96  14.33  1.74   0.30   96         FS
4-241.1          689.0  481.0 36:47.043 12:36.88  21.40  21.57   0.66   0.77   0.42 946.21   4.60  0.46   0.81  143         FS
4-241.2          732.0  503.0 36:47.023 12:34.96  26.42  26.59   0.45   0.24   0.66  68.09   0.19  0.15   0.76   44         FS
4-241.3          666.0  524.0 36:46.766 12:37.05  23.69  23.86  >2.93   1.56   1.45 654.76   0.42  0.11   0.90   94         FS
4-242.0         1980.0  520.0 36:49.701 11:48.91  26.02  26.08   0.23  -0.04   0.41  29.96   1.17  0.41   0.82  122         FS
4-243.0          223.0  539.0 36:45.705 12:53.07  27.39  27.46   1.18   0.04  -0.11  22.79   0.18  0.12   0.89  133          S
4-244.0         1612.0  539.0 36:48.785 12:02.11  27.30  27.32  -0.09   0.63   1.22  33.74   0.34  0.15   0.68    6          S
4-245.0         1694.0  533.0 36:48.998 11:59.20  26.08  26.28  >0.09   1.32   0.48  30.22   1.07  0.40   0.51  133         FS
4-246.0         1647.0  545.0 36:48.831 12:00.74  29.42  29.85    ...  >0.50   0.07   5.00   0.05  0.08   0.71  143          S
4-247.0         1140.0  548.0 36:47.691 12:19.29  28.18  28.30  -0.36   0.22  -0.10  14.54   0.12  0.10   0.75   22          S
4-248.0          484.0  550.0 36:46.226 12:43.33  29.74  30.45    ... >-0.09  <0.15   2.81   0.04  0.09   0.75    3          S
4-249.0         1798.0  550.0 36:49.140 11:55.12  29.34  29.63    ...  >0.63  -0.14   5.91   0.05  0.08   0.75  113          S
4-250.0         1002.0  551.0 36:47.370 12:24.31  29.26  29.53    ...  >0.82  -0.45   6.34   0.05  0.07   0.86  179          S
4-251.0         1821.0  553.0 36:49.175 11:54.23  29.05  29.49    ...  >0.47   0.72   6.87   0.09  0.11   0.64  178          S
4-252.0          178.0  542.0 36:45.589 12:54.68  26.31  26.40   1.46   0.07   0.04  29.33   0.58  0.24   0.69   54          S
4-253.0         1698.0  554.0 36:48.897 11:58.73  28.82  29.21 >-0.48   0.51   0.09   6.63   0.09  0.11   0.51   58          S
4-254.0          404.0  535.0 36:46.127 12:46.50  23.85  23.90   1.22   1.27   1.52 201.98   3.97  0.37   0.83  157          S
4-255.0         1672.0  560.0 36:48.808 11:59.59  29.14  29.57    ...  >0.68  -0.19   5.83   0.06  0.08   0.56  139          S
4-256.0          492.0  559.0 36:46.197 12:42.89  28.93  29.08 >-0.30   0.50   0.15   8.24   0.08  0.08   0.72  132          S
4-257.0         1555.0  555.0 36:48.575 12:03.96  26.29  26.34  -0.01   0.25   0.81  55.34   0.47  0.15   0.81  113          S
4-258.0         2043.0  561.0 36:49.625 11:45.96  27.72  28.19    ...  >1.06   0.55   8.46   0.10  0.20   0.19   36         BS
4-259.0          142.0  564.0 36:45.394 12:55.66  29.04  29.17    ...  >0.52  -0.07   5.38   0.07  0.10   0.84   41          S
4-260.0         1271.0  521.0 36:48.124 12:14.90  23.05  23.09   0.28   0.37   0.79 164.32   9.65  1.67   0.44  112           
4-260.1         1271.0  521.0 36:48.124 12:14.90  23.23  23.27   0.30   0.39   0.81 166.95   7.73  1.33   0.52  134           
4-260.2         1324.0  441.0 36:48.661 12:14.20  25.10  25.14   0.19   0.33   0.60  84.13   1.42  0.39   0.42   64         FS
4-260.11        1271.0  521.0 36:48.124 12:14.90  23.23  23.42   0.29   0.39   0.80 200.65   4.98  1.26   0.49  136           
4-260.111       1307.0  514.0 36:48.240 12:13.69  23.52  23.82   0.32   0.32   0.85 190.46   3.21  0.71   0.54   37         FS
4-260.112       1271.0  521.0 36:48.124 12:14.90  24.83  25.13   0.15   0.65   0.49 148.61   0.44  0.18   0.57   12          S
4-261.0          261.0  565.0 36:45.652 12:51.28  30.49  30.72    ... >-0.40   1.34   4.31   0.05  0.09   0.48  136          S
4-262.0          636.0  570.0 36:46.458 12:37.44 >30.90 >30.90    ...    ...  >1.56   3.74   0.04  0.08   0.38   74          S
4-263.0          578.0  569.0 36:46.335 12:39.58  27.01  27.14  >0.28   0.95   0.12  23.97   0.33  0.23   0.54    4           
4-263.1          578.0  569.0 36:46.335 12:39.58  27.50  27.85  >0.15   0.95   0.21  21.95   0.13  0.13   0.48   73          S
4-263.2          570.0  565.0 36:46.338 12:39.94  28.11  28.46  >0.32   0.60   0.04  17.56   0.06  0.08   0.79  117          S
4-264.0         1916.0  564.0 36:49.328 11:50.57  24.95  24.98   0.24   0.11   0.63  83.66   1.47  0.37   0.44  116           
4-264.1         1916.0  564.0 36:49.328 11:50.57  25.10  25.25   0.16   0.10   0.65 107.68   0.67  0.27   0.62  115          S
4-264.2         1934.0  550.0 36:49.441 11:50.13  27.15  27.29   1.27   0.19   0.15  33.95   0.13  0.12   0.53  158          S
4-265.0         1422.0  582.0 36:48.138 12:08.42  28.89  29.08 >-0.00   0.10   0.08   8.93   0.09  0.10   0.67   75          S
4-266.0          920.0  581.0 36:47.030 12:26.85  28.26  28.31  >0.00   0.45  -0.28  10.83   0.17  0.16   0.56   91          S
4-267.0         1280.0  584.0 36:47.813 12:13.60  29.29  29.57 >-0.71   0.32   0.65   6.37   0.09  0.14   0.53   45          S
4-268.0          485.0  587.0 36:46.034 12:42.72  30.33  30.55 >-0.75  -0.34   1.51   5.46   0.05  0.08   0.97  132          S
4-269.0         1868.0  594.0 36:49.064 11:51.87  29.31  29.57    ...  >0.51   0.42   6.89   0.07  0.09   0.83   37          S
4-270.0         1720.0  596.0 36:48.725 11:57.27  29.44  29.56 >-0.29   0.20   0.20   6.75   0.06  0.08   0.59  124          S
4-271.0         1575.0  594.0 36:48.414 12:02.62  29.91  30.28    ...  >0.08   0.50   4.75   0.04  0.10   0.36   66          S
4-272.0          377.0  602.0 36:45.716 12:46.45  29.31  29.66    ...  >0.64  -0.51   5.29   0.05  0.10   0.83  169          S
4-273.0          154.0  600.0 36:45.231 12:54.66  27.17  27.25  -0.25   0.89   0.38  18.48   0.30  0.18   0.73  134          S
4-274.0         1902.0  599.0 36:49.113 11:50.54  25.83  25.88  >1.62   0.47   0.39  57.21   0.66  0.20   0.59  137          S
4-275.0         2038.0  602.0 36:49.399 11:45.51  26.74  26.72  -0.03   0.80   0.48  23.67   0.24  0.17   0.88   99         BS
4-276.0          711.0  610.0 36:46.415 12:34.07  29.37  30.16    ...  >0.15   0.27   4.34   0.05  0.09   0.55  120          S
4-277.0         1837.0  604.0 36:48.943 11:52.85  27.17  27.24    ...  >2.02   1.07  33.03   0.33  0.14   0.66    0          S
4-278.0          279.0  604.0 36:45.488 12:50.01  27.29  27.44   0.19   0.08   0.17  17.72   0.35  0.21   0.50  128          S
4-279.0          456.0  607.0 36:45.865 12:43.47  28.70  28.95 >-0.30   0.38   0.70   9.02   0.12  0.12   0.72   31          S
4-280.0          820.0  607.0 36:46.672 12:30.12  27.12  27.17    ...  >2.08   0.29  27.91   0.28  0.15   0.84   46          S
4-281.0         1106.0  620.0 36:47.238 12:19.42  29.67  30.06    ...  >0.33   0.28   4.71   0.05  0.08   0.73  110          S
4-282.0         1876.0  619.0 36:48.950 11:51.19  30.15  30.40    ... >-0.13   0.91   4.07   0.06  0.12   0.39  132          S
4-283.0         1296.0  619.0 36:47.665 12:12.47  27.59  27.69  >1.08   0.10   0.04  21.87   0.16  0.11   0.74   73          S
4-284.0         1961.0  599.0 36:49.244 11:48.38  24.12  24.16   0.63   0.74   1.17 171.28   2.63  0.38   0.62   11          S
4-285.0          630.0  623.0 36:46.167 12:36.84  28.79  28.98 >-0.15   0.35  -0.68   8.03   0.08  0.09   0.67   32          S
4-286.0         1633.0  624.0 36:48.386 12:00.02  28.26  28.35  >0.96  -0.33  -0.07  13.36   0.12  0.10   0.86  165          S
4-287.0          160.0  626.0 36:45.108 12:54.03  28.21  28.31 >-0.61   0.65   0.82  10.69   0.20  0.20   0.44  161          S
4-288.0          603.0  626.0 36:46.091 12:37.78  28.94  29.13 >-0.22   0.28   0.04   8.11   0.09  0.10   0.55  168          S
4-289.0          932.0  602.0 36:46.947 12:26.08  25.17  25.20  >2.49   0.24  -0.01  80.66   0.79  0.23   0.49   77          S
4-290.0         1669.0  626.0 36:48.455 11:58.67  28.79  28.94 >-0.54   0.74   0.20   9.37   0.10  0.10   0.80   90          S
4-291.0         1248.0  629.0 36:47.506 12:14.07  29.28  29.38 >-0.21   0.08   1.19  10.69   0.08  0.09   0.74   62          S
4-292.0          433.0  634.0 36:45.672 12:43.89  27.46  27.78 >-0.10   0.68   0.59  15.09   0.36  0.24   0.69   64          S
4-293.0          630.0  636.0 36:46.098 12:36.64  28.99  29.08  -0.14   0.27   0.52   9.67   0.08  0.09   0.88  150          S
4-294.0          670.0  630.0 36:46.219 12:35.26  27.95  28.19 >-0.51   0.95   0.32  12.61   0.22  0.18   0.44   33          S
4-295.0         1002.0  634.0 36:46.934 12:23.02  27.36  27.47   0.74  -0.00   0.76  23.71   0.36  0.27   0.28   28           
4-295.1         1002.0  634.0 36:46.934 12:23.02  27.74  28.08   0.66   0.00   0.73  23.73   0.13  0.13   0.53   34          S
4-295.2          994.0  624.0 36:46.969 12:23.47  28.68  29.02   0.20   0.07   0.55  13.86   0.06  0.09   0.66   39          S
4-296.0         1073.0  636.0 36:47.081 12:20.38  29.56  29.93    ...  >0.27   0.07   4.87   0.05  0.17   0.32  106          S
4-297.0         1375.0  638.0 36:47.740 12:09.27  29.93  30.01    ...  >0.42   0.09   5.63   0.04  0.10   0.38   41          S
4-298.0         1194.0  640.0 36:47.328 12:15.88  27.05  27.11  >1.50  -0.03   0.19  30.19   0.25  0.14   0.52  145           
4-298.1         1194.0  640.0 36:47.328 12:15.88  27.11  27.17  >1.69   0.01  -0.06  34.27   0.16  0.10   0.84   81          S
4-298.2         1204.0  639.0 36:47.356 12:15.53  30.36  30.43    ... >-0.17   2.00   7.61   0.06  0.09   0.72   92          S
4-299.0          683.0  647.0 36:46.158 12:34.52  29.15  29.14    ...  >0.79   1.03  11.06   0.09  0.09   0.84    6          S
4-300.0          715.0  640.0 36:46.266 12:33.46  25.97  26.01   0.18   0.41   0.88  64.63   0.61  0.21   0.51   37          S
4-301.0         1377.0  653.0 36:47.666 12:08.97  28.43  28.45  -0.27  -0.07  -0.03  10.78   0.16  0.15   0.64  165          S
4-302.0          287.0  652.0 36:45.253 12:48.97  27.46  27.60 >-0.12   1.13   0.26  19.47   0.24  0.17   0.54  109          S
4-303.0          858.0  658.0 36:46.489 12:27.93  29.00  29.12  >0.17  -0.10   0.24   8.73   0.08  0.09   0.75   27          S
4-304.0         1472.0  657.0 36:47.855 12:05.42  27.90  27.97  >0.35   0.33   0.90  21.34   0.20  0.12   0.80  120          S
4-305.0          580.0  642.0 36:45.956 12:38.38  26.65  26.74   0.60   0.29   0.84  36.59   0.55  0.25   0.41   35          S
4-306.0         1713.0  660.0 36:48.374 11:56.53  29.55  29.84    ...  >0.57  -0.04   5.42   0.04  0.07   0.75  107          S
4-307.0          478.0  657.0 36:45.651 12:41.89  26.81  26.93  >0.04   1.22   1.04  34.90   0.49  0.21   0.70   88          S
4-308.0         1394.0  660.0 36:47.667 12:08.23  27.48  27.59  >1.12  -0.01  -0.26  18.35   0.20  0.14   0.59   91          S
4-309.0         1892.0  666.0 36:48.739 11:49.87  28.39  28.68 >-0.47   0.65   0.33   9.18   0.16  0.21   0.31   96          S
4-310.0          335.0  671.0 36:45.260 12:46.91  29.99  30.00    ...  >0.00   1.69   7.44   0.08  0.11   0.70   43          S
4-311.0          659.0  674.0 36:45.963 12:34.98  29.08  29.27  -0.31  -0.06  -0.18   7.72   0.07  0.10   0.57  103          S
4-312.0          446.0  675.0 36:45.485 12:42.78  29.29  29.38 >-0.11   0.13  -0.37   7.16   0.06  0.07   0.78   73          S
4-313.0          278.0  679.0 36:45.092 12:48.88  29.83  30.43 >-0.19  -0.65   0.75   4.56   0.04  0.07   0.78  102          S
4-314.0         1589.0  680.0 36:47.994 12:00.77  29.04  29.08    ...  >0.57   1.77  13.48   0.18  0.13   0.84   17          S
4-315.0         1313.0  662.0 36:47.477 12:11.17  25.30  25.41   0.49   0.02   0.12  59.23   1.14  0.40   0.25   45           
4-315.1         1313.0  662.0 36:47.477 12:11.17  25.59  26.27   0.51   0.04   0.09  71.02   0.19  0.22   0.22   40          S
4-315.2         1315.0  673.0 36:47.423 12:10.93  26.88  27.57   0.63   0.04   0.00  36.75   0.07  0.09   0.72   44          S
4-316.0          233.0  661.0 36:45.086 12:50.81  24.25  24.28   1.59   0.13   0.16  95.71   2.57  0.62   0.40  120         FS
4-317.0         1944.0  686.0 36:48.750 11:47.65  26.16  26.21  >2.08   0.14  -0.07  52.19   0.35  0.13   0.89   31          S
4-318.0         1042.0  695.0 36:46.702 12:20.60  29.36  29.58 >-0.40   0.37 <-0.70   5.93   0.05  0.07   0.87  160          S
4-319.0         1375.0  694.0 36:47.446 12:08.40  27.05  27.10  -0.07   0.36   0.58  28.22   0.40  0.20   0.76   10          S
4-320.0          240.0  699.0 36:44.902 12:49.96  27.44  27.46   0.86  -0.09  -0.05  21.28   0.21  0.14   0.57   15          S
4-321.0          561.0  699.0 36:45.614 12:38.19  29.27  29.80    ...  >0.29   0.32   4.82   0.07  0.11   0.57   80          S
4-322.0          827.0  699.0 36:46.205 12:28.43  24.55  24.62   0.91   0.18   0.25 100.48   1.76  0.53   0.32   19           
4-322.1          814.0  685.0 36:46.249 12:29.12  25.21  25.65   0.91   0.18   0.18 104.78   0.32  0.23   0.38   65          S
4-322.2          827.0  699.0 36:46.205 12:28.43  25.39  25.83   1.17   0.20   0.33 120.29   0.18  0.12   0.79  162          S
4-323.0          623.0  702.0 36:45.736 12:35.87  28.47  28.57  >0.47   0.06   0.22  13.10   0.10  0.09   0.91   83          S
4-324.0         1366.0  703.0 36:47.379 12:08.59  29.50  29.76    ...  >0.58 <-0.49   4.91   0.05  0.08   0.58   82          S
4-325.0          334.0  703.0 36:45.090 12:46.45  27.08  27.19  >0.58   0.56   0.70  27.18   0.36  0.18   0.56   44          S
4-326.0          738.0  710.0 36:45.949 12:31.52  27.51  27.58   0.42  -0.02  -0.04  20.95   0.21  0.13   0.66   99          S
4-327.0          923.0  710.0 36:46.360 12:24.74  26.73  26.78  >1.38   0.12   0.18  31.37   0.42  0.19   0.76   34          S
4-328.0         1944.0  714.0 36:48.603 11:47.22  30.10  30.43    ...  >0.02   0.83   4.60   0.04  0.09   0.46   86          S
4-329.0          387.0  709.0 36:45.176 12:44.42  26.75  26.79  >1.35   0.38   0.09  32.31   0.32  0.14   0.76   38          S
4-330.0          516.0  713.0 36:45.441 12:39.62  28.31  28.44   0.22  -0.21   0.41  12.06   0.16  0.16   0.40   41          S
4-331.0          848.0  719.0 36:46.146 12:27.35  28.25  28.28  >0.04   0.62  -0.19  12.74   0.13  0.12   0.70  158          S
4-332.0         1254.0  714.0 36:47.073 12:12.53  24.87  24.94  -0.02   0.30   0.45 103.41   1.12  0.48   0.27   88           
4-332.1         1254.0  714.0 36:47.073 12:12.53  25.24  25.31   0.02   0.38   0.48  94.20   0.77  0.22   0.60  135          S
4-332.2         1264.0  687.0 36:47.237 12:12.58  26.22  26.29  -0.08   0.12   0.35  59.20   0.33  0.14   0.74   59          S
4-333.0         1424.0  720.0 36:47.418 12:06.20  28.78  28.93  >0.00   0.20   0.04   8.31   0.10  0.12   0.75   75          S
4-334.0         1114.0  720.0 36:46.731 12:17.57  27.49  27.67  -0.59   0.87   0.82  22.96   0.25  0.15   0.57  169          S
4-335.0         1355.0  730.0 36:47.213 12:08.58  27.53  27.57  -0.02   0.20   0.39  23.01   0.21  0.14   0.84  166          S
4-336.0         1147.0  734.0 36:46.731 12:16.15  27.49  27.58  >0.77   0.06   0.30  17.83   0.30  0.20   0.40   50          S
4-337.0          807.0  745.0 36:45.919 12:28.45  29.52  29.59 >-0.39   0.25  -0.18   6.72   0.05  0.08   0.56   17          S
4-338.0         1845.0  743.0 36:48.231 11:50.40  28.61  28.82  >0.08   0.19   0.19   9.14   0.10  0.11   0.59   62          S
4-339.0         1973.0  739.0 36:48.536 11:45.76  27.72  27.92  -0.63   0.73   0.63  14.57   0.29  0.18   0.76   62          S
4-340.0          293.0  742.0 36:44.794 12:47.35  27.93  28.10 >-0.46   1.22   0.33  15.95   0.17  0.12   0.65   78          S
4-341.0          961.0  742.0 36:46.276 12:22.85  27.81  27.99 >-0.06   0.78   0.01  14.23   0.20  0.14   0.73   22          S
4-342.0          531.0  744.0 36:45.312 12:38.59  26.98  27.13   0.22   0.01   0.25  24.89   0.30  0.15   0.73  179          S
4-343.0          820.0  751.0 36:45.916 12:27.88  29.40  29.62    ...  >0.50   0.54   6.06   0.08  0.10   0.66  139          S
4-344.0          638.0  751.0 36:45.512 12:34.56  27.08  27.16   0.15   0.11   0.29  25.77   0.34  0.19   0.49  148          S
4-345.0          665.0  752.0 36:45.567 12:33.55  27.25  27.28   0.74  -0.01   0.16  28.52   0.22  0.12   0.79   94          S
4-346.0         1514.0  740.0 36:47.513 12:02.59  25.36  25.39  -0.05   0.21   0.89  76.82   1.28  0.34   0.61   98          S
4-347.0         2007.0  756.0 36:48.522 11:44.25  28.27  28.38  >0.21   0.33  -0.14   9.87   0.09  0.09   0.83   60          S
4-348.0         1752.0  760.0 36:47.936 11:53.55  29.33  29.90    ...  >0.36  -0.06   4.64   0.06  0.10   0.65   11          S
4-349.0         1948.0  753.0 36:48.407 11:46.46  26.25  26.25   0.61   0.44   0.94  53.51   0.55  0.18   0.76    8          S
4-350.0         1151.0  763.0 36:46.587 12:15.55  28.16  28.24  >0.55   0.13   0.56  15.33   0.15  0.11   0.77   16          S
4-351.0          413.0  767.0 36:44.929 12:42.56  27.89  28.02  >0.59   0.06   0.19  13.68   0.21  0.16   0.45  152          S
4-352.0         1929.0  766.0 36:48.296 11:46.96  27.57  27.70  >0.36   0.48   0.68  19.16   0.27  0.16   0.59  136          S
4-353.0          922.0  770.0 36:46.043 12:23.84  27.47  27.50  >0.83   0.27  -0.02  22.22   0.23  0.13   0.83   33          S
4-354.0         1766.0  771.0 36:47.909 11:52.86  26.96  27.04  >1.00   0.45   0.03  28.32   0.28  0.14   0.65   95          S
4-355.0          298.0  777.0 36:44.621 12:46.63  29.82  30.69    ... >-0.28   1.01   3.91   0.04  0.10   0.29   50          S
4-356.0         1552.0  775.0 36:47.413 12:00.65  27.92  27.96   0.42  -0.03   0.24  18.17   0.16  0.12   0.67    1          S
4-357.0         1825.0  771.0 36:48.040 11:50.70  25.81  25.86   0.89   0.11   0.29  54.11   0.66  0.21   0.52  142          S
4-358.0         1604.0  785.0 36:47.476 11:58.59  29.00  29.25    ...  >0.77   0.10   7.71   0.08  0.10   0.74   81          S
4-359.0          118.0  783.0 36:44.190 12:53.14  29.76  29.98    ... >-0.18   1.07   2.85   0.05  0.12   0.29   31         BS
4-360.0         1309.0  785.0 36:46.822 12:09.41  28.32  28.40  -0.22   0.21   0.08  13.63   0.12  0.10   0.68   80          S
4-361.0         1930.0  785.0 36:48.199 11:46.63  28.30  28.36   0.26  -0.16  -0.19  11.47   0.13  0.11   0.62   49          S
4-362.0         1017.0  779.0 36:46.206 12:20.22  27.67  27.82  >0.04   0.70   0.24  15.96   0.27  0.23   0.38  107           
4-362.1         1017.0  779.0 36:46.206 12:20.22  28.17  28.47 >-0.48   1.06   0.44  14.64   0.12  0.12   0.68  154          S
4-362.2         1010.0  786.0 36:46.154 12:20.37  28.76  29.05 >-0.22   0.63  -0.31   9.90   0.06  0.10   0.58  173          S
4-363.0         1955.0  776.0 36:48.302 11:45.85  25.05  25.22  >1.71   0.70   0.16  65.31   1.13  0.31   0.45  137          S
4-364.0         2003.0  785.0 36:48.361 11:43.95  27.58  27.75  >0.53   0.59  -0.03  18.05   0.12  0.10   0.78   62          S
4-365.0          147.0  784.0 36:44.250 12:52.06  25.69  25.75   0.90   0.19   0.28  36.15   0.81  0.25   0.80   81          S
4-366.0         1907.0  790.0 36:48.122 11:47.39  29.28  29.52    ...  >0.47   0.63   6.99   0.08  0.11   0.81  110          S
4-367.0          162.0  794.0 36:44.230 12:51.35  29.74  30.09    ...  >0.14 <-0.04   3.70   0.04  0.08   0.63   97          S
4-368.0          647.0  785.0 36:45.354 12:33.70  26.18  26.26   1.30   0.27   0.23  41.43   0.56  0.19   0.87   81          S
4-369.0         1858.0  796.0 36:47.982 11:49.10  29.21  29.29 >-0.65   0.71  -0.07   7.28   0.07  0.09   0.47   27          S
4-370.0          228.0  796.0 36:44.366 12:48.90  29.01  29.28    ...  >0.74  -0.20   6.09   0.08  0.10   0.54  100          S
4-371.0          828.0  796.0 36:45.698 12:26.89  28.63  28.93 >-0.05   0.16  -0.08   7.57   0.12  0.16   0.32   13          S
4-372.0         1131.0  792.0 36:46.391 12:15.83  27.01  27.05   0.34   0.53   0.60  29.82   0.42  0.21   0.45  111          S
4-373.0         1695.0  803.0 36:47.583 11:54.97  29.56  30.10 >-0.80   0.34  -0.08   4.66   0.04  0.08   0.53  139          S
4-375.0         1385.0  809.0 36:46.865 12:06.25  29.33  29.59    ...  >0.66  -0.46   5.66   0.06  0.09   0.60   77          S
4-376.0          195.0  811.0 36:44.214 12:49.88 >30.77 >30.77    ...    ...    ...   2.69   0.04  0.09   0.61  103          S
4-377.0          369.0  810.0 36:44.606 12:43.51  29.54  30.34    ...  >0.01  <0.10   3.22   0.04  0.08   0.48  116          S
4-378.0          487.0  772.0 36:45.067 12:39.77  24.47  24.50   0.41   0.12   0.49  78.80   3.38  0.80   0.56   96         FS
4-379.0          711.0  809.0 36:45.370 12:30.98  28.42  28.64 >-0.55   0.87   0.49  11.41   0.14  0.11   0.75   39          S
4-380.0         1075.0  817.0 36:46.135 12:17.50  28.82  29.08    ...  >1.03  -0.30   8.26   0.08  0.08   0.92   51          S
