ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
4-52.12          322.0  161.0 36:47.909 12:55.31  25.90  26.27  >0.87   0.91   0.37  41.57   0.32  0.24   0.54   35          B
4-52.111         298.0  187.0 36:47.720 12:55.79  25.09  26.10  >1.56   0.84   0.26  68.48   0.14  0.13   0.61  107          S
4-52.112         290.0  200.0 36:47.634 12:55.88  26.02  27.02  >1.25   0.59   0.15  39.68   0.08  0.11   0.75   45          S
4-52.121         322.0  161.0 36:47.909 12:55.31  26.15  26.62  >0.72   0.99   0.32  38.16   0.19  0.19   0.43   61          S
4-52.122         314.0  156.0 36:47.918 12:55.68  27.58  28.05  >0.29   0.52   0.53  18.49   0.08  0.11   0.61   65         BS
4-54.0          1547.0  204.0 36:50.400 12:09.70  27.11  27.12  >0.68   0.58   0.18  24.05   0.29  0.15   0.90  141          S
4-56.0          1653.0  213.0 36:50.587 12:05.67  29.25  29.70    ...  >0.34   0.21   5.03   0.08  0.11   0.63   51          S
4-58.0           472.0  216.0 36:47.953 12:48.95  29.25  29.40    ...  >0.55   0.44   6.98   0.08  0.12   0.45   79          S
4-60.0           151.0  219.0 36:47.225 13:00.68  29.49  30.21    ... >-0.23   0.90   3.60   0.05  0.10   0.37   97          S
4-62.0          1468.0  222.0 36:50.130 12:12.32  29.42  29.57 >-0.24  -0.01  -0.33   5.72   0.07  0.09   0.70  169          S
4-63.0          1608.0  225.0 36:50.425 12:07.13  28.57  28.78 >-0.35   0.61   0.11   9.13   0.11  0.14   0.52  142          S
4-64.0           123.0  226.0 36:47.127 13:01.60 >30.34 >30.34    ...    ...  >1.34   3.03   0.04  0.17   0.30  123         BS
4-65.0          2006.0  224.0 36:51.312 11:52.55  28.26  28.24  >0.48  -0.13   0.73  10.90   0.14  0.12   0.78  155          S
4-67.0           406.0  226.0 36:47.754 12:51.22  28.35  28.57 >-0.06   0.33   0.01   9.13   0.16  0.16   0.63   15          S
4-68.0           912.0  224.0 36:48.887 12:32.69  29.00  29.30 >-0.07  -0.16   0.21   6.33   0.11  0.15   0.53   46          S
4-69.0          1003.0  228.0 36:49.068 12:29.29  28.30  28.25  -0.07   0.60   1.01  18.03   0.16  0.11   0.68  139          S
4-70.0          1426.0  218.0 36:50.058 12:13.92  27.27  27.39   0.29   0.25   0.08  17.06   0.37  0.29   0.23   30          S
4-71.0          1779.0  221.0 36:50.825 12:00.92  26.26  26.33  -0.23   0.72   0.38  38.72   0.59  0.25   0.52   23          S
4-72.0          1553.0  235.0 36:50.250 12:09.00  29.01  29.45    ...  >0.47   0.82   7.23   0.10  0.13   0.55   88          S
4-73.0           452.0  236.0 36:47.804 12:49.38  27.82  27.94   0.20   0.08   0.09  15.28   0.18  0.13   0.56   30          S
4-74.0          1193.0  235.0 36:49.452 12:22.21  27.21  27.36  >0.81   0.21   0.09  18.29   0.39  0.30   0.55   32          S
4-75.0          1483.0  240.0 36:50.069 12:11.49  26.87  26.95  >1.43   0.22  -0.11  26.96   0.27  0.22   0.35  161          S
4-76.0           838.0  247.0 36:48.602 12:35.04  27.91  27.99 >-0.12   0.64   0.41  14.82   0.25  0.30   0.20  156           
4-76.1           823.0  247.0 36:48.569 12:35.59  28.74  28.81 >-0.72   0.85   0.58  10.96   0.12  0.15   0.44  159          S
4-76.2           838.0  247.0 36:48.602 12:35.04  28.59  28.66 >-0.18   0.55   0.19  12.04   0.10  0.10   0.82    8          S
4-77.0           290.0  247.0 36:47.387 12:55.15  27.82  28.45 >-0.40   0.61   0.27   9.40   0.21  0.20   0.61  162          S
