ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
2-46.0           372.0  151.0 36:47.399 13:11.35  26.72  26.80   0.94  -0.14  -0.00  26.42   0.44  0.23   0.53   92          S
2-47.0           708.0  160.0 36:46.674 13:23.74  27.31  27.45  >0.23   0.85   0.52  22.64   0.29  0.15   0.92  124          S
2-48.0           822.0  164.0 36:46.433 13:27.95  29.01  29.24   0.32  -0.28  -0.42   7.29   0.06  0.07   0.82  124          S
2-49.0           137.0  163.0 36:48.001 13:02.98  27.35  27.51    ...  >0.98   0.59  11.06   0.32  0.34   0.34  115         BS
2-50.0          1367.0  163.0 36:45.175 13:47.79  28.96  29.15 >-0.56   0.68  -0.47   6.90   0.08  0.10   0.59  105          S
2-51.0          1902.0  169.0 36:43.976 14:07.38  29.15  29.68    ...  >0.46 <-0.41   4.88   0.05  0.08   0.76  149          S
2-52.0          1744.0  170.0 36:44.345 14:01.64  29.49  30.01    ...  >0.23   0.34   5.12   0.05  0.09   0.59  148          S
2-53.0           549.0  173.0 36:47.107 13:18.15  28.32  28.36  >0.48   0.06   0.00  11.26   0.15  0.15   0.34   52          S
2-54.0          1526.0  174.0 36:44.867 13:53.76  28.82  29.20  >0.08   0.01   0.11   7.27   0.09  0.10   0.76  157          S
2-55.0          1071.0  173.0 36:45.908 13:37.17  27.11  27.31  >0.94   0.08  -0.13  18.32   0.38  0.34   0.27  125          S
2-56.0          1727.0  176.0 36:44.415 14:01.12  28.76  29.28    ...  >0.61  -0.16   6.16   0.09  0.18   0.20  148          S
2-57.0          1455.0  177.0 36:45.046 13:51.22  29.53  29.82 >-0.11  -0.22  -0.02   5.30   0.05  0.08   0.67   13          S
2-58.0          1975.0  179.0 36:43.861 14:10.20  30.47  30.67    ... >-0.39   0.95   3.62   0.04  0.13   0.30   34          S
2-59.0          1786.0  186.0 36:44.332 14:03.43  27.05  27.14   1.21   0.11  -0.04  25.49   0.26  0.14   0.93   73          S
2-60.0          1135.0  187.0 36:45.834 13:39.73  27.38  27.57  >0.51   0.23   0.34  16.58   0.39  0.40   0.19  157           
2-60.1          1123.0  186.0 36:45.856 13:39.27  28.00  28.24  >0.14   0.38   0.36  13.47   0.19  0.20   0.42  143          S
2-60.2          1135.0  187.0 36:45.834 13:39.73  28.29  28.52  >0.23   0.20   0.35  12.44   0.13  0.15   0.41  163          S
2-61.0           997.0  182.0 36:46.125 13:34.62  25.75  25.83   0.24   0.40   0.52  66.71   0.58  0.16   0.76  177          S
2-62.0          1259.0  178.0 36:45.502 13:44.10  25.43  25.46   0.00   0.83   0.20  65.62   0.89  0.23   0.62   79          S
2-63.0           406.0  193.0 36:47.540 13:13.26  27.38  27.43  >0.42   0.40   0.76  20.21   0.41  0.21   0.59   77          S
2-64.0           821.0  197.0 36:46.607 13:28.45  27.68  27.83   0.02  -0.06   0.38  15.09   0.27  0.21   0.45   35          S
2-65.0           945.0  196.0 36:46.317 13:32.95  26.42  26.44   0.14   0.16   0.56  33.90   0.79  0.62   0.12  151           
2-65.1           967.0  194.0 36:46.256 13:33.72  26.86  27.47   0.36   0.37   0.63  32.27   0.17  0.24   0.18  151          S
2-65.2           945.0  196.0 36:46.317 13:32.95  27.62  28.24   0.08   0.02   0.16  21.33   0.07  0.10   0.54  165          S
2-66.0           713.0  203.0 36:46.887 13:24.61  29.01  29.29  -0.84   0.17  -0.22   7.38   0.07  0.08   0.82   33          S
2-67.0          1996.0  195.0 36:43.896 14:11.22  26.59  26.68   0.21  -0.06   0.24  31.86   0.33  0.15   0.65   81          S
