ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
1-0.0            348.0  109.0 36:46.328 12:58.33  28.02  27.94 >-0.68   0.12   0.21   6.24   0.08  0.11   0.53  121          S
1-1.0            524.0  117.0 36:45.390 12:55.85 >29.45 >29.45    ...    ...  >0.97   3.93   0.04  0.11   0.21  159          S
1-2.0            745.0  112.0 36:44.246 12:52.18  25.78  26.06  >0.03   0.40   0.29  16.35   0.37  0.20   0.83   89         BS
1-3.0            941.0  141.0 36:43.155 12:50.15 >29.64 >29.64    ...    ...  >1.07   3.36   0.04  0.13   0.21   23          S
1-4.0            812.0  101.0 36:43.920 12:50.72  23.76  24.81   0.35  -0.10   1.78  83.25   1.46  0.51   0.36  148          B
1-4.1            812.0  101.0 36:43.920 12:50.72  23.98  24.06   0.08   1.29   0.80  94.50   0.90  0.31   0.78  125         BS
1-4.2            816.0  137.0 36:43.818 12:51.98  25.60  25.69   0.50   0.07   0.73  33.82   0.40  0.21   0.69   29          S
1-5.0            519.0  146.0 36:45.351 12:56.99  27.65  27.75 >-0.23   0.39  -0.15  10.81   0.08  0.08   0.84    3          S
1-6.0            290.0  151.0 36:46.537 13:00.78  28.24  28.88    ...  >0.16   0.27   4.84   0.07  0.11   0.45   53          S
1-7.0            622.0  153.0 36:44.796 12:55.62  28.76  28.78    ...  >0.37   0.20   6.28   0.06  0.08   0.73   19          S
1-8.0            993.0  166.0 36:42.827 12:50.24 >29.31 >29.31    ...    ...    ...  -4.14   0.04  0.08   0.49   48         BD
1-9.0            611.0  175.0 36:44.804 12:56.60  28.06  28.27 >-0.34  -0.06   0.40   8.04   0.13  0.16   0.28   91          S
1-10.0           862.0  170.0 36:43.503 12:52.46  27.20  27.36    ...  >0.99   0.82  14.33   0.26  0.16   0.56  166          S
1-11.0           786.0  181.0 36:43.876 12:54.06  28.79  29.32    ...  >0.06   0.43   4.90   0.05  0.07   0.67  123          S
1-12.0           415.0  188.0 36:45.800 13:00.16  28.09  28.28 >-0.23   0.09   0.11   8.67   0.11  0.12   0.73  110          S
1-13.0           596.0  193.0 36:44.842 12:57.49  27.38  27.52 >-0.71   0.78   0.40  12.39   0.23  0.18   0.62   82          S
1-14.0           231.0  209.0 36:46.715 13:03.83  28.95  29.38    ... >-0.19   0.68   4.37   0.08  0.16   0.39   56          S
1-15.0           564.0  213.0 36:44.964 12:58.73  29.08  29.51 >-0.68  -0.30  -0.00   4.13   0.04  0.07   0.59   41          S
1-16.0           246.0  222.0 36:46.607 13:04.07  28.75  29.08 >-0.44  -0.29   0.44   5.56   0.06  0.13   0.27  165          S
1-17.0           715.0  226.0 36:44.146 12:56.82  28.46  28.69    ...  >0.56  -0.27   6.59   0.06  0.08   0.77  144          S
1-18.0           753.0  229.0 36:43.940 12:56.33  25.85  26.15   0.06   0.30   0.51  23.64   0.75  0.39   0.70   79          S
1-19.0           311.0  250.0 36:46.204 13:04.07  28.81  29.19    ...  >0.18   0.28   5.48   0.06  0.09   0.49  133          S
1-20.0           221.0  268.0 36:46.634 13:06.14  28.51  28.79 >-0.57   0.21   0.03   7.29   0.06  0.07   0.96   23          S
1-21.0           605.0  275.0 36:44.610 13:00.35  27.26  27.34 >-0.60   1.03   0.64  17.84   0.18  0.12   0.83   71          S
1-22.0           837.0  284.0 36:43.377 12:57.02  29.21  29.40    ...  >0.15   0.22   5.14   0.04  0.07   0.86   30          S
1-23.0           130.0  285.0 36:47.072 13:08.20  26.96  26.96    ...  >1.23   0.53  16.63   0.22  0.14   0.76  157          S
1-24.0           157.0  306.0 36:46.883 13:08.54  28.40  28.48 >-0.11  -0.21   0.17   7.58   0.08  0.10   0.52  169          S
1-25.0           330.0  317.0 36:45.954 13:06.22  26.78  26.89  >0.46   0.24   0.24  21.45   0.23  0.15   0.45  141          S
1-26.0           717.0  319.0 36:43.925 13:00.19  28.66  28.98 >-0.80   0.02   0.71   6.21   0.08  0.14   0.35  172          S
1-27.0           634.0  338.0 36:44.317 13:02.19  28.88  29.22    ...  >0.18   0.06   5.10   0.06  0.09   0.91  141          S
1-28.0           190.0  348.0 36:46.616 13:09.56 >30.19 >30.19    ...    ...  >1.32   3.65   0.04  0.09   0.45  124          S
1-29.0           397.0  365.0 36:45.495 13:06.91  29.37  29.64    ... >-0.12   0.50   4.23   0.05  0.08   0.53  154          S
1-30.0           319.0  393.0 36:45.840 13:09.17  26.54  26.62  >0.52   0.44  -0.03  25.24   0.25  0.16   0.44  128          S
1-31.0           489.0  407.0 36:44.919 13:07.00  28.62  29.17    ...  >0.08   0.06   5.09   0.06  0.10   0.48  118          S
1-32.0           142.0  405.0 36:46.739 13:12.40  24.21  24.28  -0.02   0.83   0.48  61.51   1.49  0.39   0.37   71          S
1-33.0          1011.0  416.0 36:42.169 12:59.10  28.22  28.17    ...  >1.58   1.01   6.20   0.05  0.07   0.82   69         BS
1-34.0           568.0  377.0 36:44.574 13:04.66  22.11  22.15   1.52   1.23   0.94 295.88   6.94  0.73   0.33   97           
1-34.1           568.0  377.0 36:44.574 13:04.66  22.20  22.31   1.64   1.40   0.98 404.48   3.73  0.57   0.37  103         FS
1-34.2           520.0  360.0 36:44.863 13:04.79  24.85  24.96   1.08   0.18   0.33  93.86   0.47  0.22   0.69  105          S
1-35.0           358.0  403.0 36:45.614 13:08.92  24.32  24.36   0.58   0.90   0.61 102.09   1.14  0.22   0.87  148          S
1-36.0           138.0  427.0 36:46.710 13:13.26  28.95  29.19 >-0.84  -0.06  -0.03   4.67   0.04  0.07   0.54   68          S
1-37.0           507.0  421.0 36:44.794 13:07.23  25.22  25.30   1.22   0.25   0.19  49.90   0.71  0.39   0.30   59           
1-37.1           507.0  421.0 36:44.794 13:07.23  25.65  25.74  >1.51   0.13   0.06  49.25   0.34  0.16   0.49  128          S
1-37.2           526.0  419.0 36:44.699 13:06.85  26.43  26.52  -0.05   0.65   0.42  29.52   0.30  0.18   0.46   36          S
1-38.0           399.0  433.0 36:45.331 13:09.37  28.35  28.57 >-0.68   0.12   0.60   7.58   0.11  0.11   0.63  122          S
1-39.0           301.0  433.0 36:45.844 13:10.91  27.47  27.56 >-0.52   0.61   0.72  14.63   0.21  0.14   0.72  119          S
1-40.0           802.0  446.0 36:43.195 13:03.49  28.03  28.14  >0.14  -0.18  -0.09   9.73   0.09  0.09   0.84   91          S
1-41.0           556.0  454.0 36:44.463 13:07.66  28.06  28.09  -0.28   0.06   0.19  11.86   0.08  0.08   0.82  157          S
1-42.0           629.0  473.0 36:44.038 13:07.20  28.87  29.44    ...  >0.10 <-0.21   4.03   0.04  0.10   0.33  142          S
1-43.0           755.0  461.0 36:43.407 13:04.78  26.62  26.87   0.18   0.37   0.46  21.46   0.28  0.19   0.44  161           
1-43.1           755.0  461.0 36:43.407 13:04.78  26.80  27.03   0.28   0.37   0.52  22.55   0.20  0.13   0.73  119          S
1-43.2           753.0  476.0 36:43.383 13:05.36  28.66  28.89 >-0.95   0.51  -0.11   6.63   0.05  0.09   0.54  134          S
