# K short	G0205
# scanned warm
# Wavelength (nm)	%T
3134	0.18603
3133	0.1938
3132	0.1067
3131	0.15317
3130	0.13775
3129	0.15991
3128	0.061808
3127	0.13915
3126	0.11073
3125	0.1233
3124	0.12675
3123	0.12126
3122	0.16399
3121	0.075649
3120	0.15261
3119	0.078586
3118	0.20134
3117	0.1195
3116	0.13508
3115	0.11339
3114	0.12048
3113	0.091044
3112	0.1185
3111	0.10929
3110	0.15192
3109	0.17803
3108	0.10638
3107	0.11698
3106	0.13524
3105	0.1112
3104	0.087568
3103	0.12777
3102	0.12639
3101	0.092326
3100	0.1385
3099	0.1121
3098	0.11472
3097	0.1699
3096	0.081313
3095	0.094454
3094	0.1073
3093	0.10962
3092	0.11887
3091	0.097729
3090	0.07046
3089	0.10266
3088	0.075806
3087	0.12326
3086	0.11591
3085	0.12759
3084	0.10447
3083	0.13174
3082	0.078036
3081	0.086645
3080	0.091928
3079	0.097144
3078	0.10229
3077	0.069023
3076	0.047881
3075	0.09086
3074	0.064166
3073	0.066444
3072	0.051781
3071	0.082061
3070	0.092527
3069	0.091801
3068	0.085498
3067	0.092841
3066	0.11888
3065	0.099193
3064	0.066837
3063	0.074057
3062	0.11237
3061	0.057358
3060	0.07233
3059	0.11724
3058	0.048455
3057	0.070531
3056	0.087277
3055	0.079163
3054	0.071269
3053	0.078103
3052	0.058155
3051	0.055382
3050	0.09027
3049	0.082563
3048	0.044823
3047	0.069728
3046	0.066946
3045	0.057431
3044	0.068116
3043	0.045332
3042	0.053823
3041	0.070922
3040	0.072582
3039	0.080548
3038	0.075725
3037	0.062292
3036	0.080916
3035	0.050908
3034	0.062995
3033	0.081065
3032	0.072326
3031	0.055509
3030	0.040959
3029	0.062693
3028	0.082137
3027	0.057826
3026	0.088765
3025	0.080306
3024	0.044972
3023	0.077256
3022	0.065224
3021	0.049649
3020	0.07932
3019	0.067668
3018	0.059745
3017	0.055632
3016	0.042452
3015	0.056596
3014	0.027504
3013	0.070078
3012	0.053669
3011	0.049814
3010	0.040704
3009	0.050851
3008	0.053942
3007	0.074116
3006	0.043031
3005	0.034302
3004	0.062534
3003	0.047108
3002	0.041867
3001	0.049795
3000	0.046252
2999	0.055542
2998	0.047089
2997	0.058015
2996	0.046446
2995	0.046205
2994	0.086568
2993	0.033095
2992	0.039024
2991	0.067947
2990	0.056773
