LRIS B FILTER, printed from ~mhc/keck/filters/filter_b.spc  
by mhc 9/8/97.


Column     Wavelength      Value
     175     4133.2598       6.77564740E-01
     176     4135.7500       6.80191278E-01
     177     4138.2402       6.81687832E-01
     178     4140.7300       6.89368010E-01
     179     4143.2202       6.84672594E-01
     180     4145.7100       6.87787652E-01
     181     4148.2002       6.89633012E-01
     182     4150.6899       6.93913698E-01
     183     4153.1802       6.88031435E-01
     184     4155.6699       6.94348812E-01
     185     4158.1602       6.96488023E-01
     186     4160.6499       7.00106502E-01
     187     4163.1401       6.92863524E-01
     188     4165.6299       6.89312577E-01
     189     4168.1201       7.02603102E-01
     190     4170.6099       6.91809535E-01
     191     4173.1001       6.97813511E-01
     192     4175.5898       6.93159461E-01
     193     4178.0801       7.00562835E-01
     194     4180.5698       6.97503865E-01
     195     4183.0601       7.03777134E-01
     196     4185.5498       7.04097152E-01
     197     4188.0400       7.03038752E-01
     198     4190.5298       7.02823758E-01
     199     4193.0200       7.01768279E-01
     200     4195.5098       7.07206368E-01
     201     4198.0000       7.00012922E-01
     202     4200.4902       7.01978862E-01
     203     4202.9800       7.09398329E-01
     204     4205.4702       7.00588942E-01
     205     4207.9600       7.07456231E-01
     206     4210.4502       6.99640870E-01
     207     4212.9399       7.04953551E-01
     208     4215.4302       7.06229389E-01
     209     4217.9199       6.99608862E-01
     210     4220.4102       7.01851964E-01
     211     4222.8999       7.06752658E-01
     212     4225.3901       7.09954143E-01
     213     4227.8799       7.03278720E-01
     214     4230.3701       7.06727624E-01
     215     4232.8599       7.07833529E-01
     216     4235.3501       7.00783372E-01
     217     4237.8398       7.05078125E-01
     218     4240.3301       7.06596017E-01
     219     4242.8198       7.05184340E-01
     220     4245.3101       7.08132923E-01
     221     4247.7998       7.10974216E-01
     222     4250.2900       7.09064007E-01
     223     4252.7798       7.08280981E-01
     224     4255.2700       7.11051106E-01
     225     4257.7598       7.09315479E-01
     226     4260.2500       7.12116480E-01
     227     4262.7402       7.08524466E-01
     228     4265.2300       7.09557772E-01
     229     4267.7202       7.09508061E-01
     230     4270.2100       7.10551202E-01
     231     4272.7002       7.02905059E-01
     232     4275.1899       7.07322240E-01
     233     4277.6802       6.99528456E-01
     234     4280.1699       7.10452557E-01
     235     4282.6602       7.01760173E-01
     236     4285.1499       7.04543233E-01
     237     4287.6401       7.03318715E-01
     238     4290.1299       7.04842269E-01
     239     4292.6201       7.03451157E-01
     240     4295.1099       7.02160478E-01
     241     4297.6001       7.08770037E-01
     242     4300.0898       7.06938148E-01
     243     4302.5801       6.97823703E-01
     244     4305.0698       7.06140816E-01
     245     4307.5601       7.05910563E-01
     246     4310.0498       7.06814170E-01
     247     4312.5400       7.00201571E-01
     248     4315.0298       7.07515121E-01
     249     4317.5200       7.07000136E-01
     250     4320.0098       7.01154053E-01
     251     4322.5000       7.01615810E-01
     252     4324.9902       7.03442097E-01
     253     4327.4800       7.07053304E-01
     254     4329.9702       7.03077674E-01
     255     4332.4600       6.98203862E-01
     256     4334.9502       7.04547286E-01
     257     4337.4399       7.01097846E-01
     258     4339.9302       7.05804110E-01
     259     4342.4199       7.01343417E-01
     260     4344.9102       6.99347734E-01
     261     4347.3999       7.03669608E-01
     262     4349.8901       7.03858554E-01
