WAVE	FLUX	T	QE	NU	STARToverNU	EXTINCT	THROUGHPUT	R	SOLGEL	WINDOW	TOTAL
8095.0	2.57134e+12	0.000114549	0.46824			0.979165	0.661863	0.853341	0.987381	0.990392	3.47603e-05
8100.0	2.24491e+12	0.000100211	0.4672			0.979219	0.661588	0.853182	0.987375	0.990389	3.03309e-05
8105.0	2.58632e+12	0.00011458	0.46616			0.979273	0.661314	0.853023	0.987369	0.990386	3.45904e-05
8110.0	2.46849e+12	0.000108974	0.46512			0.979328	0.661039	0.852864	0.987363	0.990383	3.28128e-05
8115.0	2.09297e+12	9.30202e-05	0.46408			0.979382	0.660762	0.852705	0.987356	0.990381	2.79362e-05
8120.0	2.35429e+12	0.000105044	0.46304			0.979436	0.660486	0.852545	0.98735	0.990378	3.14651e-05
8125.0	2.56714e+12	0.000114388	0.462			0.97949	0.660211	0.852386	0.987344	0.990375	3.41747e-05
8130.0	2.03019e+12	9.09893e-05	0.46096			0.979544	0.659933	0.852227	0.987337	0.990372	2.7113e-05
8135.0	1.78889e+12	8.08159e-05	0.45992			0.979598	0.659659	0.852068	0.987331	0.990369	2.40185e-05
8140.0	1.76839e+12	8.05803e-05	0.45888			0.979652	0.659386	0.851909	0.987325	0.990367	2.38858e-05
8145.0	2.12905e+12	9.81323e-05	0.45784			0.979707	0.659112	0.85175	0.987319	0.990364	2.90122e-05
8150.0	1.73537e+12	8.06705e-05	0.4568			0.979761	0.658838	0.851591	0.987313	0.990361	2.3787e-05
8155.0	1.75481e+12	8.17739e-05	0.45576			0.979815	0.65856	0.851432	0.987306	0.990358	2.40486e-05
8160.0	1.68605e+12	7.90323e-05	0.45472			0.979869	0.658287	0.851273	0.9873	0.990356	2.3181e-05
8165.0	1.80103e+12	8.55773e-05	0.45368			0.979923	0.658013	0.851114	0.987294	0.990353	2.50343e-05
8170.0	1.25315e+12	5.97769e-05	0.45264			0.979977	0.657735	0.850955	0.987287	0.99035	1.74403e-05
8175.0	1.47278e+12	7.03014e-05	0.4516			0.980031	0.65746	0.850795	0.987281	0.990347	2.04563e-05
8180.0	1.19619e+12	5.7483e-05	0.45056			0.980086	0.657186	0.850636	0.987275	0.990344	1.66819e-05
8185.0	9.93447e+11	4.80701e-05	0.44952			0.98014	0.656914	0.850477	0.987269	0.990342	1.3913e-05
8190.0	1.10337e+12	5.35202e-05	0.44848			0.980194	0.656641	0.850318	0.987263	0.990339	1.5449e-05
8195.0	1.05006e+12	5.1994e-05	0.44744			0.980248	0.656363	0.850159	0.987256	0.990336	1.49681e-05
8200.0	8.99877e+11	4.4487e-05	0.4464			0.980302	0.65609	0.85	0.98725	0.990333	1.27726e-05
8205.0	8.87552e+11	4.25055e-05	0.44536			0.980356	0.656406	0.850222	0.987244	0.990331	1.21818e-05
8210.0	8.78039e+11	4.15512e-05	0.44432			0.980411	0.656717	0.850444	0.987237	0.990328	1.18868e-05
8215.0	7.50463e+11	3.57389e-05	0.44328			0.980465	0.657033	0.850667	0.987231	0.990325	1.02056e-05
8220.0	5.15144e+11	2.51104e-05	0.44224			0.980519	0.657348	0.850889	0.987225	0.990322	7.15753e-06
8225.0	7.70791e+11	3.83726e-05	0.4412			0.980573	0.657663	0.851111	0.987219	0.990319	1.09179e-05
8230.0	8.01346e+11	4.06899e-05	0.44016			0.980627	0.657976	0.851333	0.987212	0.990317	1.15561e-05
8235.0	1.15226e+12	5.70797e-05	0.43912			0.980682	0.658293	0.851556	0.987206	0.990314	1.61813e-05
8240.0	8.57115e+11	4.14882e-05	0.43808			0.980736	0.658608	0.851778	0.9872	0.990311	1.17397e-05
8245.0	1.12091e+12	5.40001e-05	0.43704			0.98079	0.658923	0.852	0.987194	0.990308	1.5252e-05
8250.0	7.90592e+11	3.81373e-05	0.436			0.980844	0.659236	0.852222	0.987187	0.990306	1.07517e-05
8255.0	9.64496e+11	4.69612e-05	0.43496			0.980898	0.659551	0.852444	0.987181	0.990303	1.32148e-05
8260.0	1.09554e+12	5.31755e-05	0.43392			0.980953	0.659868	0.852667	0.987175	0.9903	1.49357e-05
8265.0	9.63367e+11	4.63509e-05	0.43288			0.981007	0.660184	0.852889	0.987169	0.990297	1.29946e-05
8270.0	1.06032e+12	5.12001e-05	0.43184			0.981061	0.660496	0.853111	0.987162	0.990294	1.43272e-05
8275.0	9.54119e+11	4.6969e-05	0.4308			0.981115	0.660813	0.853333	0.987156	0.990292	1.31185e-05
8280.0	6.76783e+11	3.36475e-05	0.42976			0.981169	0.66113	0.853556	0.98715	0.990289	9.38014e-06
8285.0	1.12101e+12	5.56864e-05	0.42872			0.981224	0.661446	0.853778	0.987144	0.990286	1.54948e-05
8290.0	1.38452e+12	6.90931e-05	0.42768			0.981278	0.661762	0.854	0.987138	0.990283	1.91888e-05
8295.0	5.96803e+11	2.98187e-05	0.42664			0.981332	0.662075	0.854222	0.987131	0.990281	8.26558e-06
8300.0	5.48217e+11	2.73867e-05	0.4256			0.981386	0.662391	0.854444	0.987125	0.990278	7.57697e-06
8305.0	5.39328e+11	2.70542e-05	0.42456			0.981441	0.662709	0.854667	0.987119	0.990275	7.47069e-06
8310.0	9.58565e+11	4.82074e-05	0.42352			0.981495	0.663025	0.854889	0.987113	0.990272	1.32863e-05
8315.0	7.81198e+11	3.93772e-05	0.42248			0.981549	0.663337	0.855111	0.987106	0.990269	1.08317e-05
8320.0	1.2463e+12	6.30567e-05	0.42144			0.981603	0.663654	0.855333	0.9871	0.990267	1.73119e-05
8325.0	4.61142e+11	2.34161e-05	0.4204			0.981658	0.663972	0.855556	0.987094	0.990264	6.41634e-06
8330.0	8.77831e+11	4.51003e-05	0.41936			0.981712	0.664289	0.855778	0.987088	0.990261	1.23341e-05
8335.0	1.00512e+12	5.20391e-05	0.41832			0.981766	0.664601	0.856	0.987081	0.990258	1.42039e-05
8340.0	1.14789e+12	5.94915e-05	0.41728			0.98182	0.664919	0.856222	0.987075	0.990256	1.62063e-05
8345.0	9.75751e+11	5.03221e-05	0.41624			0.981875	0.665235	0.856444	0.987069	0.990253	1.36815e-05
8350.0	1.26006e+12	6.41835e-05	0.4152			0.981929	0.66555	0.856667	0.987062	0.99025	1.74157e-05
8355.0	9.38836e+11	4.74618e-05	0.41416			0.981983	0.665866	0.856889	0.987056	0.990247	1.2853e-05
8360.0	2.15159e+11	1.09354e-05	0.41312			0.982037	0.666183	0.857111	0.98705	0.990244	2.95551e-06
