Transmission for IRAC band        3
 
Wavelength   Transmiss   Trans(P)    Trans(S)
   6.3180    0.217400    0.210000    0.224900
   6.3310    0.217200    0.210400    0.224000
   6.3440    0.215700    0.206400    0.225000
   6.3570    0.211800    0.198500    0.225000
   6.3700    0.205400    0.183400    0.227400
   6.3830    0.190100    0.155000    0.225300
   6.3960    0.168900    0.117000    0.220900
   6.4090    0.145400    0.076620    0.214900
   6.4220    0.124000    0.043840    0.204900
   6.4350    0.103200    0.021730    0.185200
   6.4480    0.079530    0.010170    0.149300
   6.4600    0.053120    0.004638    0.101900
   6.4730    0.029510    0.002011    0.057180
   6.4860    0.014170    0.000860    0.027610
   6.4990    0.005763    0.000330    0.011250
   6.5120    0.002472    0.000182    0.004776
   6.5250    0.001163    0.000119    0.002214
   6.5380    0.000589    0.000077    0.001104
   6.5510    0.000345    0.000101    0.000590
   6.5640    0.000166    0.000059    0.000274
   6.5770    0.000146    0.000102    0.000190
   6.5900    0.000200    0.000227    0.000173
   6.6030    0.000154    0.000145    0.000163
   6.6150    0.000128    0.000169    0.000086
   6.6280    0.000191    0.000150    0.000233
   6.6410    0.000145    0.000070    0.000220
   6.6540    0.000102    0.000072    0.000133
   6.6670    0.000128    0.000094    0.000161
   6.6800    0.000120    0.000108    0.000132
   6.6930    0.000031    0.000043    0.000019
   6.7060    0.000040    0.000010    0.000070
   6.7190    0.000062    0.000023    0.000101
   6.7320    0.000125    0.000076    0.000175
   6.7450    0.000068    0.000111    0.000025
   6.7580    0.000075    0.000045    0.000105
   6.7700    0.000183    0.000257    0.000108
   6.7830    0.000109    0.000169    0.000049
   6.7960    0.000146    0.000172    0.000119
   6.8090    0.000179    0.000321    0.000035
   6.8220    0.000073    0.000089    0.000056
   6.8350    0.000113    0.000155    0.000071
   6.8480    0.000116    0.000118    0.000114
   6.8610    0.000097    0.000065    0.000130
   6.8740    0.000081    0.000062    0.000101
   6.8870    0.000099    0.000109    0.000088
   6.9000    0.000138    0.000195    0.000081
   6.9120    0.000113    0.000142    0.000085
   6.9250    0.000093    0.000045    0.000142
   6.9380    0.000131    0.000098    0.000164
   6.9510    0.000149    0.000142    0.000156
   6.9640    0.000158    0.000160    0.000157
   6.9770    0.000143    0.000202    0.000083
