Transmission for IRAC band        4
 
Wavelength   Transmiss   Trans(P)    Trans(S)
----------   ---------   ---------   ---------
   5.6120    0.000352    0.000344    0.000355
   5.6360    0.000152    0.000091    0.000202
   5.6590    0.000141    0.000100    0.000174
   5.6830    0.000169    0.000137    0.000195
   5.7060    0.000147    0.000056    0.000223
   5.7290    0.000243    0.000128    0.000342
   5.7530    0.000179    0.000183    0.000174
   5.7760    0.000101    0.000184    0.000026
   5.8000    0.000187    0.000069    0.000295
   5.8230    0.000210    0.000173    0.000243
   5.8470    0.000197    0.000068    0.000318
   5.8700    0.000354    0.000323    0.000383
   5.8940    0.000265    0.000292    0.000239
   5.9170    0.000248    0.000253    0.000242
   5.9400    0.000383    0.000197    0.000567
   5.9640    0.000335    0.000160    0.000509
   5.9870    0.000071    0.000114    0.000027
   6.0110    0.000271    0.000205    0.000337
   6.0340    0.000590    0.000419    0.000760
   6.0580    0.000262    0.000324    0.000200
   6.0810    0.000343    0.000279    0.000407
   6.1040    0.000515    0.000484    0.000545
   6.1280    0.000303    0.000221    0.000383
   6.1510    0.000240    0.000363    0.000119
   6.1750    0.000271    0.000368    0.000176
   6.1980    0.000350    0.000600    0.000103
   6.2220    0.000243    0.000363    0.000125
   6.2450    0.000347    0.000305    0.000389
   6.2690    0.000495    0.000183    0.000803
   6.2920    0.000755    0.000387    0.001117
   6.3150    0.001001    0.000058    0.001926
   6.3390    0.002506    0.000776    0.004209
   6.3620    0.011680    0.000463    0.022690
   6.3860    0.045440    0.002664    0.087400
   6.4090    0.101000    0.014790    0.186000
   6.4330    0.162800    0.079590    0.244600
   6.4560    0.226300    0.192700    0.259300
   6.4800    0.250100    0.226200    0.273500
   6.5030    0.271600    0.240700    0.302000
   6.5260    0.295600    0.280300    0.310400
   6.5500    0.310800    0.305000    0.316300
   6.5730    0.315200    0.303500    0.326700
   6.5970    0.319200    0.308500    0.329600
   6.6200    0.318500    0.313000    0.323800
   6.6440    0.316000    0.312500    0.319300
   6.6670    0.312900    0.307300    0.318400
   6.6900    0.298500    0.283600    0.313100
   6.7140    0.301300    0.284600    0.317800
   6.7370    0.319900    0.308300    0.331200
   6.7610    0.323800    0.313600    0.333800
   6.7840    0.327500    0.316500    0.338200
   6.8080    0.336600    0.323800    0.349200
   6.8310    0.342800    0.327700    0.357700
   6.8550    0.344100    0.328100    0.360000
   6.8780    0.344500    0.329000    0.359700
   6.9010    0.344600    0.333600    0.355300
   6.9250    0.341300    0.328400    0.353900
   6.9480    0.339200    0.321600    0.356500
   6.9720    0.344400    0.331800    0.356600
   6.9950    0.343000    0.331900    0.353800
   7.0190    0.331900    0.313400    0.349900
   7.0420    0.329400    0.315200    0.343300
   7.0660    0.334900    0.331400    0.338200
