# lambda       B1            B2          B3           B4
#
  3837.8   0.17723500   0.16055600   0.17162300   0.16746200 
  3843.0   0.18030100   0.16577300   0.17264200   0.17271400 
  3848.3   0.18314400   0.17036200   0.17332300   0.17716600 
  3853.6   0.18529900   0.17438300   0.17416700   0.18136000 
  3858.8   0.18708800   0.17788900   0.17494200   0.18510400 
  3864.1   0.18856100   0.18093300   0.17565800   0.18844100 
  3869.4   0.19003900   0.18382400   0.17607900   0.19114800 
  3874.7   0.19102000   0.18608300   0.17670400   0.19379000 
  3879.9   0.19181300   0.18801000   0.17729500   0.19614000 
  3885.2   0.19272500   0.18964200   0.17785900   0.19823000 
  3890.5   0.19323900   0.19101300   0.17815400   0.19981400 
  3895.7   0.19365300   0.19215600   0.17867900   0.20146800 
  3901.0   0.19426700   0.19309900   0.17919100   0.20294300 
  3906.3   0.19455000   0.19386900   0.17944700   0.20398000 
  3911.6   0.19479400   0.19449000   0.17994500   0.20515900 
  3916.8   0.19528800   0.19498300   0.18043900   0.20621900 
  3922.1   0.19549700   0.19537000   0.18093200   0.20717600 
  3927.4   0.19570500   0.19566700   0.18117900   0.20776100 
  3932.6   0.19619300   0.19589100   0.18167500   0.20855500 
  3937.9   0.19642200   0.19605800   0.18217400   0.20928500 
  3943.2   0.19667000   0.19617900   0.18267600   0.20996200 
  3948.5   0.19694200   0.19626600   0.18293500   0.21030900 
  3953.7   0.19751300   0.19633000   0.18344600   0.21090600 
  3959.0   0.19783900   0.19638000   0.18396200   0.21147300 
  3964.3   0.19819400   0.19642400   0.18448100   0.21201800 
  3969.6   0.19885000   0.19646900   0.18475600   0.21225800 
  3974.8   0.19926100   0.19679400   0.18528200   0.21277000 
  3980.1   0.19970000   0.19685700   0.18581100   0.21327200 
  3985.4   0.20043500   0.19693400   0.18634200   0.21376600 
  3990.6   0.20092100   0.19703100   0.18662400   0.21397000 
  3995.9   0.20142600   0.19714900   0.18715600   0.21445700 
  4001.2   0.20222200   0.19729200   0.18768700   0.21494200 
  4006.5   0.20330700   0.19773400   0.18846800   0.21571300 
  4011.7   0.20440600   0.19820300   0.18950100   0.21677500 
  4017.0   0.20551600   0.19870000   0.19028000   0.21755100 
  4022.3   0.20663300   0.19922500   0.19105600   0.21832800 
  4027.5   0.20775500   0.20005600   0.19208400   0.21940000 
  4032.8   0.20887800   0.20063700   0.19285300   0.22018000 
  4038.1   0.20999900   0.20124500   0.19361600   0.22096100 
  4043.4   0.21111600   0.20188000   0.19463200   0.22203900 
  4048.6   0.21222400   0.20253900   0.19538200   0.22281900 
  4053.9   0.21332200   0.20322200   0.19612400   0.22359700 
  4059.2   0.21440700   0.20392700   0.19712100   0.22467300 
  4064.5   0.21547500   0.20465200   0.19784600   0.22544500 
  4069.7   0.21652600   0.20539600   0.19856000   0.22621100 
  4075.0   0.21755700   0.20615800   0.19926400   0.22697100 
  4080.3   0.21856700   0.20722300   0.20022500   0.22802900 
  4085.5   0.21955200   0.20801400   0.20090600   0.22877400 
  4090.8   0.22051400   0.20881600   0.20157600   0.22951000 
  4096.1   0.22144900   0.20962800   0.20250500   0.23054400 
  4101.4   0.22235700   0.21044800   0.20315100   0.23125800 
  4106.6   0.22323800   0.21127400   0.20378400   0.23195900 
  4111.9   0.22409100   0.21210400   0.20467900   0.23296000 
  4117.2   0.22491600   0.21293600   0.20528700   0.23363500 
  4122.4   0.22571300   0.21376800   0.20588200   0.23429500 
  4127.7   0.22648100   0.21489900   0.20674200   0.23525700 
  4133.0   0.22722200   0.21572800   0.20731200   0.23588700 
  4138.2   0.22793500   0.21655400   0.20786900   0.23650100 
  4143.5   0.22862200   0.21737300   0.20869400   0.23741700 
  4148.8   0.22928300   0.21818600   0.20922700   0.23799800 
  4154.1   0.22991900   0.21899000   0.20974700   0.23856200 
  4159.3   0.23053100   0.21978500   0.21054000   0.23943200 
  4164.6   0.23112000   0.22056900   0.21103800   0.23996200 
  4169.9   0.23168900   0.22134100   0.21152500   0.24047600 
  4175.2   0.23223700   0.22241200   0.21228800   0.24129800 
  4180.4   0.23276700   0.22316000   0.21275500   0.24177800 
  4185.7   0.23328000   0.22389300   0.21321100   0.24224200 
  4191.0   0.23377800   0.22461300   0.21365900   0.24269000 
  4196.2   0.23426200   0.22531700   0.21438800   0.24345100 
  4201.5   0.23473400   0.22600600   0.21481900   0.24386900 
  4206.8   0.23519500   0.22667900   0.21524200   0.24427200 
  4212.1   0.23564700   0.22733600   0.21595100   0.24499300 
  4217.3   0.23609100   0.22797600   0.21636100   0.24536900 
  4222.6   0.23652900   0.22860100   0.21676500   0.24573300 
  4227.9   0.23696300   0.22953000   0.21745900   0.24641900 
  4233.2   0.23739400   0.23012200   0.21785300   0.24676000 
  4238.4   0.23782200   0.23069900   0.21824200   0.24709000 
  4243.7   0.23825000   0.23126000   0.21892500   0.24774800 
  4249.0   0.23867900   0.23180600   0.21930800   0.24806000 
  4254.2   0.23910800   0.23233600   0.21968800   0.24836400 
  4259.5   0.23954100   0.23285200   0.22036500   0.24900000 
  4264.8   0.23997600   0.23335300   0.22074100   0.24929200 
  4270.1   0.24041600   0.23384000   0.22111600   0.24957700 
  4275.3   0.24086000   0.23464300   0.22179200   0.25019900 
  4280.6   0.24130900   0.23510500   0.22216600   0.25047700 
  4285.9   0.24176300   0.23555500   0.22253900   0.25075200 
  4291.1   0.24222200   0.23599400   0.22291300   0.25102400 
  4296.4   0.24268700   0.23642200   0.22359200   0.25163800 
