# lambda       B1            B2          B3           B4
#
  5614.4   0.00018434   0.00009672   0.00009704   0.00017085 
  5619.7   0.00013772   0.00011622   0.00009461   0.00007900 
  5625.0   0.00013657   0.00008467   0.00007603   0.00013389 
  5630.2   0.00012075   0.00010370   0.00015642   0.00013202 
  5635.5   0.00015227   0.00006977   0.00014280   0.00012429 
  5640.8   0.00012219   0.00011237   0.00009623   0.00008393 
  5646.1   0.00011091   0.00011290   0.00008276   0.00011899 
  5651.3   0.00011507   0.00006626   0.00011605   0.00018029 
  5656.6   0.00010717   0.00007263   0.00010294   0.00013413 
  5661.9   0.00012857   0.00005390   0.00015709   0.00008531 
  5667.1   0.00012726   0.00008920   0.00008025   0.00011725 
  5672.4   0.00013851   0.00012821   0.00014328   0.00016028 
  5677.7   0.00023357   0.00015841   0.00008046   0.00013395 
  5683.0   0.00018020   0.00008655   0.00007658   0.00015739 
  5688.2   0.00024238   0.00008150   0.00010222   0.00011973 
  5693.5   0.00007646   0.00007876   0.00011751   0.00007039 
  5698.8   0.00010725   0.00013580   0.00015953   0.00012044 
  5704.1   0.00017724   0.00010568   0.00012543   0.00009750 
  5709.3   0.00021447   0.00009355   0.00007794   0.00011927 
  5714.6   0.00020804   0.00006120   0.00006025   0.00019234 
  5719.9   0.00009686   0.00010854   0.00012300   0.00012255 
  5725.1   0.00017895   0.00010212   0.00015014   0.00005719 
  5730.4   0.00021891   0.00011460   0.00009287   0.00006804 
  5735.7   0.00016552   0.00010391   0.00008851   0.00008008 
  5740.9   0.00016627   0.00006892   0.00014232   0.00007937 
  5746.2   0.00011354   0.00014100   0.00014012   0.00009546 
  5751.5   0.00012191   0.00009022   0.00007862   0.00008776 
  5756.8   0.00004220   0.00012084   0.00007705   0.00006505 
  5762.0   0.00007750   0.00012895   0.00007466   0.00008974 
  5767.3   0.00020125   0.00009623   0.00011790   0.00010470 
  5772.6   0.00013967   0.00013686   0.00015076   0.00014896 
  5777.9   0.00015502   0.00010900   0.00014534   0.00013377 
  5783.1   0.00013820   0.00012554   0.00010075   0.00009298 
  5788.4   0.00020768   0.00011481   0.00012937   0.00009753 
  5793.7   0.00012466   0.00015362   0.00013322   0.00013625 
  5798.9   0.00015760   0.00009137   0.00011026   0.00014938 
  5804.2   0.00014928   0.00011987   0.00012773   0.00012188 
  5809.5   0.00010310   0.00015365   0.00010208   0.00010052 
  5814.8   0.00015435   0.00010584   0.00009761   0.00013049 
  5820.0   0.00006773   0.00011222   0.00015401   0.00011104 
  5825.3   0.00011749   0.00013977   0.00013413   0.00013762 
  5830.6   0.00014274   0.00010470   0.00009701   0.00010668 
  5835.9   0.00012844   0.00012795   0.00013753   0.00013759 
  5841.1   0.00009346   0.00008456   0.00012014   0.00012029 
  5846.4   0.00008981   0.00010568   0.00012621   0.00008984 
  5851.7   0.00016114   0.00012081   0.00013245   0.00016917 
  5856.9   0.00013590   0.00015124   0.00009295   0.00020016 
  5862.2   0.00018090   0.00014048   0.00017127   0.00010943 
  5867.5   0.00015973   0.00011356   0.00011948   0.00018275 
  5872.8   0.00016244   0.00012046   0.00015767   0.00014997 
  5878.0   0.00016734   0.00012371   0.00007724   0.00014651 
  5883.3   0.00017369   0.00012819   0.00008002   0.00010436 
  5888.6   0.00004958   0.00011278   0.00013590   0.00012054 
  5893.8   0.00017304   0.00014132   0.00014959   0.00010221 
  5899.1   0.00025967   0.00010474   0.00011359   0.00014177 
  5904.4   0.00020981   0.00007071   0.00011169   0.00012719 
  5909.7   0.00016529   0.00009260   0.00012173   0.00014758 
  5914.9   0.00006185   0.00014430   0.00021381   0.00014066 
  5920.2   0.00007954   0.00012188   0.00013356   0.00011725 
  5925.5   0.00018314   0.00011557   0.00018090   0.00009519 
  5930.8   0.00024325   0.00013061   0.00011255   0.00008158 
  5936.0   0.00022252   0.00014650   0.00008215   0.00011710 
  5941.3   0.00010799   0.00016042   0.00014855   0.00010178 
  5946.6   0.00018926   0.00013358   0.00012415   0.00013123 
  5951.8   0.00011235   0.00013572   0.00012961   0.00015966 
  5957.1   0.00014938   0.00011859   0.00012328   0.00011488 
  5962.4   0.00010393   0.00010797   0.00015531   0.00010561 
  5967.7   0.00021910   0.00014204   0.00018123   0.00011258 
  5972.9   0.00020764   0.00017534   0.00013839   0.00014814 
  5978.2   0.00009516   0.00010381   0.00008722   0.00012312 
  5983.5   0.00022223   0.00013327   0.00012642   0.00011507 
  5988.7   0.00025278   0.00013364   0.00013266   0.00012591 
  5994.0   0.00009314   0.00013312   0.00008554   0.00014912 
  5999.3   0.00011495   0.00015094   0.00010356   0.00008396 
