# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: KP1444 HARRIS I TEMP 70f      "
# "DATE: "" 7/22/93"   "TIME: ""15:19:26"
# " CWL= "  8268.49A  "FWHM= " 2110.58A  "TMAX= "86.82 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= "10 A
# 
# 
# 
# 
# "NPTS= " 361     "DISP= "10.00A/INTERVAL
   9870.00      .170
   9880.00      .150
   9890.00      .140
   9900.00      .110
   9910.00      .130
   9920.00      .140
   9930.00      .075
   9940.00      .075
   9950.00      .105
   9960.00      .060
   9970.00      .035
   9980.00      .005
   9990.00      .095
  10000.00      .005
  10010.00      .025
  10020.00     -.010
  10030.00      .040
  10040.00      .025
  10050.00      .055
  10060.00     -.025
  10070.00      .030
  10080.00     -.065
  10090.00     -.020
  10100.00     -.025
  10110.00     -.010
  10120.00     -.020
  10130.00     -.015
  10140.00     -.020
  10150.00     -.065
  10160.00     -.015
  10170.00      .005
  10180.00      .030
  10190.00     -.045
  10200.00     -.065
  10210.00     -.045
  10220.00     -.050
  10230.00     -.030
  10240.00     -.035
  10250.00     -.030
  10260.00     -.025
  10270.00     -.050
  10280.00     -.045
  10290.00     -.055
  10300.00     -.035
  10310.00     -.035
  10320.00     -.025
  10330.00     -.080
  10340.00     -.030
  10350.00     -.045
  10360.00     -.060
  10370.00     -.050
  10380.00     -.045
  10390.00     -.025
  10400.00     -.075
  10410.00     -.055
  10420.00     -.050
  10430.00     -.050
  10440.00      .005
  10450.00     -.045
  10460.00     -.065
  10470.00     -.060
  10480.00     -.035
  10490.00     -.060
  10500.00     -.110
