#  Table f606w_sys.tab  Mon 11:02:25 21-Aug-95
#      WAVELENGTH      THROUGHPUT
#       angstroms                
         5752.517       0.1190474
         5761.072       0.1191419
         5769.649       0.1194518
         5778.233       0.1198318
          5786.83       0.1204398
         5795.442       0.1212773
         5804.061       0.1223901
         5812.699       0.1237485
          5821.35       0.1251853
         5830.011        0.126608
         5838.684       0.1281794
         5847.371       0.1298502
          5856.07       0.1314902
         5864.789       0.1331125
         5873.514        0.134571
         5882.252       0.1359575
         5891.003         0.13724
         5899.768       0.1383563
         5908.548       0.1392578
         5917.342       0.1399118
         5926.146       0.1403517
         5934.962        0.140592
         5943.792       0.1407374
         5952.638       0.1406503
         5961.497       0.1404625
         5970.366       0.1402258
         5979.249       0.1398711
         5988.144        0.139504
         5997.053       0.1391408
         6005.981       0.1387913
         6014.917       0.1383722
         6023.866       0.1379681
         6032.828        0.137598
         6041.803       0.1373845
         6050.795       0.1374304
           6059.8       0.1376437
         6068.813       0.1379851
         6077.844       0.1383238
         6086.887       0.1387203
         6095.942       0.1392595
         6105.018       0.1399364
         6114.098       0.1406881
         6123.197       0.1414546
         6132.307       0.1421324
          6141.43       0.1428163
         6150.574       0.1434123
         6159.717        0.143971
         6168.888        0.144339
         6178.066       0.1445948
         6187.257        0.144663
         6196.466       0.1446034
         6205.681       0.1444262
         6214.917       0.1441113
         6224.167       0.1436078
         6233.427       0.1430312
           6242.7        0.142337
         6251.988       0.1415613
         6261.292       0.1407205
         6270.611       0.1399159
          6279.94       0.1390319
         6289.283       0.1382766
          6298.64       0.1374944
         6308.011       0.1368193
         6317.402       0.1361995
         6326.801       0.1357875
         6336.214       0.1354945
          6345.64       0.1353611
         6355.081       0.1353289
         6364.539       0.1353562
         6374.012       0.1355646
         6383.494        0.135939
         6392.991       0.1364085
         6402.502       0.1370227
         6412.031       0.1376721
         6421.571       0.1383103
         6431.128       0.1389018
         6440.692       0.1396364
         6450.278       0.1403333
         6459.874       0.1410123
         6469.488       0.1416049
         6479.117       0.1421219
         6488.752       0.1423949
          6498.41       0.1426082
         6508.078        0.142432
         6517.764        0.141975
          6527.46       0.1408683
         6537.171       0.1408754
           6546.9       0.1401109
         6556.641       0.1392487
         6566.399       0.1383588
         6576.168       0.1373582
         6585.952       0.1362619
          6595.75       0.1352679
         6605.566       0.1343378
         6615.394       0.1335543
         6625.239       0.1328105
         6635.092         0.13213
         6644.967       0.1314708
         6654.857       0.1309005
         6664.757       0.1305127
         6674.677       0.1303073
         6684.603        0.130293
         6694.552       0.1303533
         6704.515       0.1304192
          6714.49       0.1304968
         6724.479       0.1305203
         6734.483        0.130582
         6744.506       0.1304086
         6754.541       0.1301065
         6764.593       0.1295231
         6774.657       0.1286018
         6784.736       0.1273569
          6794.83       0.1256238
         6804.943       0.1234225
          6815.07       0.1206253
         6825.209       0.1173552
         6835.364       0.1136539
         6845.533       0.1099154
         6855.721       0.1059516
          6865.92       0.1018194
         6876.139      0.09756363
         6886.369      0.09322434
         6896.614      0.08898039
         6906.875      0.08490378
         6917.154      0.08120825
         6927.449      0.07800171
         6937.751        0.075327
         6948.076      0.07294669
         6958.414      0.07087873
          6968.77      0.06899611
         6979.141      0.06757215
         6989.521      0.06676481
         6999.923       0.0666495
         7010.337      0.06724676
         7020.771      0.06850276
         7031.211      0.07035131
         7041.676      0.07282083
         7052.156      0.07605543
         7062.648      0.08039307
         7073.155      0.08609218
         7083.682      0.09289939
         7094.217       0.1001601
         7104.775       0.1064741
         7115.349       0.1100811
         7125.935       0.1089354
         7136.537       0.1012096
         7147.154      0.08771858
         7157.791      0.07104577
         7168.444      0.05485019
         7179.108      0.04141293
         7189.789      0.03082033
         7200.486      0.02292069
         7211.202      0.01714077
         7221.931      0.01297075
         7232.679     0.009919479
         7243.439     0.007676349
         7254.216     0.006010424
         7265.008      0.00474595
          7275.82     0.003767323
         7286.649     0.003019944
         7297.485     0.002327424
         7308.346      0.00192142
         7319.219     0.001597942
         7330.112     0.001336851
         7341.022     0.001131739
         7351.939     0.001002426
         7362.881     8.517609E-4
         7373.835     7.266700E-4
         7384.806     6.228588E-4
         7395.796     5.365749E-4
         7406.799     4.643890E-4
         7417.819     4.033240E-4
         7428.858     3.510680E-4
         7439.911     3.063626E-4
         7450.983     2.687720E-4
         7462.064     2.366411E-4
          7473.17     2.091712E-4
         7484.292     1.856741E-4
         7495.427     1.653439E-4
