#  Table f814w_sys.tab  Mon 11:03:28 21-Aug-95
#      WAVELENGTH      THROUGHPUT
#       angstroms                
         6508.078     8.178066E-8
         6517.764     5.514374E-8
          6527.46     7.671576E-8
         6537.171     1.572090E-7
           6546.9     1.806405E-7
         6556.641     1.992409E-7
         6566.399     1.081909E-7
         6576.168     8.112441E-8
         6585.952     1.081245E-7
          6595.75     7.877099E-8
         6605.566     6.984194E-8
         6615.394     1.459185E-7
         6625.239     1.689319E-7
         6635.092     1.061760E-7
         6644.967     6.915663E-8
         6654.857     8.965679E-8
         6664.757     1.106459E-7
         6674.677     8.787809E-8
         6684.603     6.636964E-8
         6694.552     1.033999E-7
         6704.515     1.263026E-7
          6714.49     1.610333E-7
         6724.479     2.172418E-7
         6734.483     3.676159E-7
         6744.506     7.802625E-7
         6754.541     1.168154E-6
         6764.593     1.664798E-6
         6774.657     2.493144E-6
         6784.736     3.672885E-6
          6794.83     5.653942E-6
         6804.943     8.788735E-6
          6815.07     1.358067E-5
         6825.209     2.081409E-5
         6835.364     3.227015E-5
         6845.533     4.850144E-5
         6855.721     7.369498E-5
          6865.92     1.087852E-4
         6876.139     1.619620E-4
         6886.369     2.297063E-4
         6896.614     3.083594E-4
         6906.875     3.911451E-4
         6917.154     4.735253E-4
         6927.449     6.449765E-4
         6937.751     9.127114E-4
         6948.076     0.001286048
         6958.414     0.001797564
          6968.77     0.002509726
         6979.141     0.003477946
         6989.521     0.004812148
         6999.923     0.006618737
         7010.337     0.009113237
         7020.771      0.01248405
         7031.211      0.01704696
         7041.676      0.02309743
         7052.156      0.03079828
         7062.648      0.04028285
         7073.155      0.05122269
         7083.682      0.06310529
         7094.217      0.07478366
         7104.775      0.08511171
         7115.349      0.09316126
         7125.935      0.09896587
         7136.537       0.1026723
         7147.154       0.1046856
         7157.791       0.1057174
         7168.444       0.1060985
         7179.108       0.1062771
         7189.789       0.1062663
         7200.486       0.1063572
         7211.202       0.1064596
         7221.931       0.1065649
         7232.679       0.1067408
         7243.439       0.1068528
         7254.216       0.1068498
         7265.008       0.1067788
          7275.82       0.1065266
         7286.649       0.1061445
         7297.485       0.1055444
         7308.346       0.1048568
         7319.219       0.1039791
         7330.112       0.1030356
         7341.022       0.1019468
         7351.939       0.1009507
         7362.881      0.09984475
         7373.835      0.09876689
         7384.806      0.09776733
         7395.796      0.09677703
         7406.799      0.09590813
         7417.819      0.09503961
         7428.858      0.09434063
         7439.911      0.09371933
         7450.983      0.09315608
         7462.064      0.09267861
          7473.17      0.09229431
         7484.292      0.09198592
         7495.427      0.09171673
         7506.583      0.09147411
         7517.746      0.09130194
         7528.935      0.09115934
          7540.14      0.09091819
         7551.358      0.09078194
         7562.592      0.09065363
         7573.844      0.09053954
         7585.116      0.09025941
           7596.4      0.09004141
         7607.706       0.0897916
         7619.024      0.08956164
         7630.359      0.08927374
         7641.711      0.08896188
         7653.084       0.0885561
         7664.475      0.08822851
         7675.877      0.08782233
         7687.297      0.08741385
         7698.734      0.08700202
         7710.191      0.08650884
         7721.667      0.08605714
         7733.154       0.0855763
         7744.659      0.08508883
         7756.182      0.08457761
         7767.721      0.08403406
         7779.281      0.08356916
         7790.859      0.08298103
         7802.446      0.08243287
         7814.058      0.08187538
         7825.683      0.08131281
          7837.33      0.08076537
         7848.994      0.08013452
         7860.667      0.07962654
         7872.366      0.07902054
         7884.078      0.07838752
         7895.812       0.0778686
         7907.559      0.07728273
         7919.323      0.07669228
          7931.11      0.07611532
         7942.909      0.07549764
         7954.726      0.07495137
         7966.565      0.07443227
         7978.413      0.07385506
         7990.287      0.07330617
         8002.179      0.07263588
         8014.084      0.07188592
         8026.011      0.07116849
         8037.948      0.07058811
          8049.91      0.07002817
         8061.891      0.06935529
         8073.885      0.06884618
         8085.901       0.0681568
         8097.927      0.06765751
         8109.979      0.06709889
         8122.049      0.06643155
         8134.132      0.06595148
         8146.233      0.06537977
         8158.353      0.06485578
         8170.491      0.06436609
         8182.651      0.06373864
         8194.829      0.06318823
         8207.021      0.06265599
          8219.23      0.06208018
         8231.459       0.0615209
         8243.709      0.06091059
         8255.979      0.06044421
         8268.261      0.05983163
         8280.563      0.05917956
         8292.882      0.05857267
         8305.224      0.05808241
          8317.58      0.05744394
         8329.959      0.05675253
         8342.352      0.05628078
         8354.763      0.05572524
         8367.192      0.05540525
         8379.646       0.0552223
         8392.117      0.05487721
         8404.598      0.05454101
         8417.105      0.05426146
         8429.628      0.05399996
         8442.174      0.05362703
         8454.738      0.05324382
         8467.313      0.05291902
         8479.914      0.05259636
          8492.53      0.05222819
         8505.165      0.05181652
         8517.823      0.05142464
         8530.495      0.05101781
         8543.187      0.05055267
         8555.901      0.05006838
          8568.63       0.0496859
         8581.383       0.0491458
         8594.145      0.04864408
         8606.936      0.04819205
         8619.745      0.04762719
         8632.569       0.0471271
         8645.417      0.04656601
         8658.274      0.04603247
          8671.16      0.04548677
         8684.065       0.0448442
         8696.985      0.04430133
         8709.924      0.04370926
         8722.882      0.04317724
         8735.864      0.04253746
         8748.861      0.04207168
         8761.882      0.04151242
         8774.917       0.0409583
         8787.972       0.0404072
         8801.046      0.03987122
         8814.145      0.03936561
         8827.263      0.03888052
         8840.396      0.03841351
         8853.548      0.03797361
          8866.72      0.03763239
         8879.916      0.03715643
         8893.127      0.03673139
         8906.362      0.03645783
         8919.612      0.03599783
         8932.883      0.03576255
         8946.173      0.03540411
         8959.487      0.03508778
         8972.821       0.0348254
         8986.166      0.03453507
          8999.54      0.03427407
         9012.929      0.03402296
         9026.343      0.03384262
         9039.776      0.03368697
          9053.22      0.03344107
         9066.694      0.03320955
         9080.183      0.03302596
         9093.697      0.03279124
         9107.226         0.03257
         9120.775      0.03232007
         9134.345      0.03203731
         9147.939      0.03179755
         9161.549      0.03144423
         9175.184      0.03120662
         9188.829      0.03081007
         9202.505      0.03041296
         9216.201      0.03001242
         9229.912      0.02958865
         9243.648       0.0291909
         9257.396      0.02865256
         9271.174      0.02824709
         9284.972      0.02769869
         9298.785      0.02712785
         9312.625      0.02663772
         9326.475      0.02613691
         9340.354      0.02558172
         9354.251      0.02508288
         9368.173       0.0245572
          9382.11      0.02401811
         9396.068      0.02353712
         9410.047      0.02300942
         9424.052       0.0225108
         9438.078      0.02198394
         9452.114       0.0214081
         9466.182      0.02078788
         9480.265      0.02016327
         9494.374      0.01943531
         9508.499      0.01867444
          9522.65      0.01790121
         9536.818      0.01698614
         9551.006      0.01591498
         9565.221      0.01475308
         9579.451       0.0134556
         9593.703      0.01207783
         9607.977      0.01070308
         9622.275     0.009282054
         9636.591     0.007910701
         9650.934     0.006710875
         9665.286     0.005629504
         9679.671     0.004679809
         9694.077     0.003869019
         9708.499     0.003190759
         9722.948      0.00264055
         9737.408     0.002163367
           9751.9     0.001775903
         9766.408     0.001460436
         9780.943     0.001202584
         9795.495     9.854835E-4
         9810.068     8.100471E-4
         9824.669     6.669868E-4
         9839.285     5.493124E-4
         9853.929     4.563594E-4
         9868.589     3.771485E-4
         9883.271     3.123899E-4
         9897.975     2.609540E-4
         9912.706     2.274123E-4
         9927.459     1.959516E-4
         9942.229     1.651902E-4
          9957.02     1.379530E-4
         9971.833     1.154496E-4
         9986.674     9.672931E-5
         10001.54     8.161684E-5
         10016.42     7.039153E-5
         10031.32     6.061426E-5
         10046.24     5.271876E-5
         10061.19     4.586935E-5
         10076.17     3.975426E-5
         10091.16     3.459367E-5
         10106.17     3.026318E-5
         10121.21     2.647181E-5
         10136.27     2.314803E-5
         10151.36     2.018515E-5
         10166.46     1.779574E-5
         10181.58     1.564936E-5
         10196.73     1.373679E-5
          10211.9     1.204388E-5
         10227.09     1.058036E-5
         10242.32     9.337130E-6
         10257.55     8.235111E-6
         10272.82     7.186710E-6
          10288.1     6.337539E-6
         10303.41     5.580710E-6
         10318.75     4.885384E-6
         10334.09     4.286301E-6
         10349.48     3.727307E-6
         10364.87     3.264233E-6
         10380.29     2.856545E-6
         10395.74     2.468033E-6
          10411.2     2.118546E-6
         10426.69     1.826934E-6
         10442.21     1.550854E-6
         10457.75     1.313552E-6
         10473.31     1.097323E-6
         10488.89     8.991897E-7
          10504.5     7.517928E-7
         10520.13     6.978229E-7
         10535.79     6.452227E-7
         10551.46     6.012110E-7
         10567.16     5.550376E-7
         10582.88     5.151573E-7
         10598.64     4.773356E-7
          10614.4     4.440391E-7
          10630.2     4.132986E-7
         10646.01     3.853318E-7
         10661.85     3.578502E-7
         10677.71     3.365390E-7
         10693.61     3.123016E-7
         10709.52     2.938328E-7
         10725.45     2.699031E-7
         10741.41     2.525999E-7
         10757.39     2.340259E-7
          10773.4     2.213598E-7
         10789.43     2.026604E-7
         10805.48     1.922032E-7
         10821.56     1.771132E-7
         10837.67     1.655486E-7
         10853.78     1.534661E-7
         10869.93     1.426834E-7
         10886.11     1.300823E-7
         10902.31     1.188227E-7
         10918.54     1.082563E-7
         10934.77     9.800917E-8
         10951.05     8.805308E-8
         10967.35     7.841209E-8
         10983.66     6.907982E-8
