         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 3.000E-01 1.000E+05 2.800E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.750E-01 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 3.802E+03  1.629E-29  1.642E-41
 3.767E+03  1.691E-29  1.690E-41
 3.733E+03  1.756E-29  1.739E-41
 3.698E+03  1.824E-29  1.789E-41
 3.664E+03  1.894E-29  1.841E-41
 3.631E+03  1.967E-29  1.895E-41
 3.597E+03  2.043E-29  1.950E-41
 3.565E+03  2.122E-29  2.006E-41
 3.532E+03  2.204E-29  2.065E-41
 3.499E+03  2.289E-29  2.125E-41
 3.467E+03  2.377E-29  2.186E-41
 3.436E+03  2.469E-29  2.250E-41
 3.404E+03  2.564E-29  2.315E-41
 3.373E+03  2.663E-29  2.383E-41
 3.342E+03  2.766E-29  2.452E-41
 3.311E+03  2.873E-29  2.523E-41
 3.281E+03  2.984E-29  2.597E-41
 3.251E+03  3.099E-29  2.672E-41
 3.221E+03  3.219E-29  2.750E-41
 3.192E+03  3.343E-29  2.830E-41
 3.162E+03  3.472E-29  2.913E-41
 3.133E+03  3.607E-29  2.998E-41
 3.105E+03  3.746E-29  3.085E-41
 3.076E+03  3.891E-29  3.175E-41
 3.048E+03  4.041E-29  3.267E-41
 3.020E+03  4.198E-29  3.363E-41
 2.992E+03  4.360E-29  3.461E-41
 2.965E+03  4.528E-29  3.561E-41
 2.938E+03  4.703E-29  3.665E-41
 2.911E+03  4.885E-29  3.771E-41
 2.884E+03  5.073E-29  3.881E-41
 2.858E+03  5.269E-29  3.994E-41
 2.831E+03  5.472E-29  4.110E-41
 2.805E+03  5.684E-29  4.230E-41
 2.780E+03  5.903E-29  4.353E-41
 2.754E+03  6.131E-29  4.479E-41
 2.729E+03  6.368E-29  4.610E-41
 2.704E+03  6.614E-29  4.744E-41
 2.679E+03  6.870E-29  4.882E-41
 2.655E+03  7.135E-29  5.024E-41
 2.630E+03  7.411E-29  5.170E-41
 2.606E+03  7.697E-29  5.321E-41
 2.582E+03  7.994E-29  5.476E-41
 2.559E+03  8.303E-29  5.635E-41
 2.535E+03  8.624E-29  5.799E-41
 2.512E+03  8.957E-29  5.968E-41
 2.489E+03  9.302E-29  6.141E-41
 2.466E+03  9.662E-29  6.320E-41
 2.443E+03  1.003E-28  6.504E-41
 2.421E+03  1.042E-28  6.693E-41
 2.399E+03  1.082E-28  6.887E-41
 2.377E+03  1.124E-28  7.088E-41
 2.355E+03  1.168E-28  7.294E-41
 2.333E+03  1.213E-28  7.506E-41
 2.312E+03  1.259E-28  7.724E-41
 2.291E+03  1.308E-28  7.948E-41
 2.270E+03  1.358E-28  8.179E-41
 2.249E+03  1.411E-28  8.416E-41
 2.228E+03  1.465E-28  8.660E-41
 2.208E+03  1.521E-28  8.911E-41
 2.188E+03  1.580E-28  9.169E-41
 2.168E+03  1.641E-28  9.435E-41
 2.148E+03  1.704E-28  9.708E-41
 2.128E+03  1.770E-28  9.989E-41
 2.109E+03  1.838E-28  1.028E-40
 2.089E+03  1.908E-28  1.058E-40
 2.070E+03  1.981E-28  1.088E-40
 2.051E+03  2.058E-28  1.119E-40
 2.032E+03  2.137E-28  1.152E-40
 2.014E+03  2.218E-28  1.185E-40
 1.995E+03  2.304E-28  1.219E-40
 1.977E+03  2.393E-28  1.255E-40
 1.959E+03  2.485E-28  1.291E-40
 1.941E+03  2.581E-28  1.329E-40
 1.923E+03  2.681E-28  1.368E-40
 1.905E+03  2.785E-28  1.408E-40
 1.888E+03  2.892E-28  1.449E-40
 1.871E+03  3.004E-28  1.491E-40
 1.854E+03  3.120E-28  1.534E-40
 1.837E+03  3.241E-28  1.579E-40
 1.820E+03  3.366E-28  1.625E-40
 1.803E+03  3.496E-28  1.672E-40
 1.786E+03  3.631E-28  1.721E-40
 1.770E+03  3.771E-28  1.771E-40
 1.754E+03  3.917E-28  1.822E-40
 1.738E+03  4.068E-28  1.875E-40
 1.722E+03  4.225E-28  1.930E-40
 1.706E+03  4.388E-28  1.986E-40
 1.690E+03  4.557E-28  2.043E-40
 1.675E+03  4.732E-28  2.103E-40
 1.660E+03  4.915E-28  2.164E-40
 1.644E+03  5.104E-28  2.226E-40
 1.629E+03  5.301E-28  2.291E-40
 1.614E+03  5.505E-28  2.357E-40
 1.600E+03  5.716E-28  2.425E-40
 1.585E+03  5.936E-28  2.496E-40
 1.570E+03  6.164E-28  2.568E-40
 1.556E+03  6.401E-28  2.642E-40
 1.542E+03  6.647E-28  2.718E-40
 1.528E+03  6.902E-28  2.797E-40
 1.514E+03  7.167E-28  2.877E-40
 1.500E+03  7.442E-28  2.960E-40
 1.486E+03  7.727E-28  3.046E-40
 1.472E+03  8.023E-28  3.133E-40
 1.459E+03  8.330E-28  3.223E-40
 1.445E+03  8.649E-28  3.316E-40
 1.432E+03  8.980E-28  3.411E-40
 1.419E+03  9.323E-28  3.509E-40
 1.406E+03  9.679E-28  3.610E-40
 1.393E+03  1.005E-27  3.714E-40
 1.380E+03  1.043E-27  3.820E-40
 1.368E+03  1.083E-27  3.929E-40
 1.355E+03  1.124E-27  4.041E-40
 1.343E+03  1.167E-27  4.157E-40
 1.330E+03  1.211E-27  4.275E-40
 1.318E+03  1.258E-27  4.397E-40
 1.306E+03  1.305E-27  4.522E-40
 1.294E+03  1.355E-27  4.651E-40
 1.282E+03  1.406E-27  4.783E-40
 1.271E+03  1.459E-27  4.919E-40
 1.259E+03  1.515E-27  5.058E-40
 1.247E+03  1.572E-27  5.201E-40
 1.236E+03  1.631E-27  5.348E-40
 1.225E+03  1.693E-27  5.499E-40
 1.213E+03  1.757E-27  5.654E-40
 1.202E+03  1.823E-27  5.813E-40
 1.191E+03  1.891E-27  5.977E-40
 1.180E+03  1.963E-27  6.145E-40
 1.169E+03  2.036E-27  6.317E-40
 1.159E+03  2.113E-27  6.494E-40
 1.148E+03  2.192E-27  6.675E-40
 1.138E+03  2.274E-27  6.862E-40
 1.127E+03  2.359E-27  7.053E-40
 1.117E+03  2.447E-27  7.249E-40
 1.107E+03  2.538E-27  7.450E-40
 1.096E+03  2.633E-27  7.657E-40
 1.086E+03  2.730E-27  7.869E-40
 1.076E+03  2.832E-27  8.086E-40
 1.067E+03  2.937E-27  8.309E-40
 1.057E+03  3.046E-27  8.538E-40
 1.047E+03  3.158E-27  8.772E-40
 1.038E+03  3.275E-27  9.013E-40
 1.028E+03  3.396E-27  9.260E-40
 1.019E+03  3.521E-27  9.512E-40
 1.009E+03  3.650E-27  9.772E-40
 1.000E+03  3.784E-27  1.004E-39
 9.908E+02  3.923E-27  1.031E-39
 9.817E+02  4.066E-27  1.059E-39
 9.727E+02  4.215E-27  1.088E-39
 9.638E+02  4.369E-27  1.117E-39
 9.550E+02  4.528E-27  1.147E-39
 9.462E+02  4.692E-27  1.178E-39
 9.376E+02  4.863E-27  1.209E-39
 9.290E+02  5.039E-27  1.242E-39
 9.204E+02  5.221E-27  1.275E-39
 9.120E+02  5.409E-27  1.309E-39
 9.036E+02  5.604E-27  1.343E-39
 8.954E+02  5.806E-27  1.379E-39
 8.872E+02  6.014E-27  1.415E-39
 8.790E+02  6.229E-27  1.452E-39
 8.710E+02  6.452E-27  1.491E-39
 8.630E+02  6.682E-27  1.530E-39
 8.551E+02  6.920E-27  1.570E-39
 8.472E+02  7.166E-27  1.610E-39
 8.395E+02  7.421E-27  1.652E-39
 8.318E+02  7.684E-27  1.695E-39
 8.241E+02  7.956E-27  1.739E-39
 8.166E+02  8.237E-27  1.784E-39
 8.091E+02  8.527E-27  1.830E-39
 8.017E+02  8.827E-27  1.877E-39
 7.943E+02  9.138E-27  1.925E-39
 7.870E+02  9.458E-27  1.975E-39
 7.798E+02  9.790E-27  2.025E-39
 7.727E+02  1.013E-26  2.077E-39
 7.656E+02  1.049E-26  2.129E-39
 7.586E+02  1.085E-26  2.183E-39
 7.516E+02  1.123E-26  2.239E-39
 7.447E+02  1.162E-26  2.295E-39
 7.379E+02  1.202E-26  2.353E-39
 7.311E+02  1.244E-26  2.412E-39
 7.244E+02  1.286E-26  2.472E-39
 7.178E+02  1.331E-26  2.534E-39
 7.112E+02  1.376E-26  2.597E-39
 7.047E+02  1.423E-26  2.661E-39
 6.982E+02  1.472E-26  2.727E-39
 6.918E+02  1.522E-26  2.794E-39
 6.855E+02  1.574E-26  2.863E-39
 6.792E+02  1.628E-26  2.933E-39
 6.730E+02  1.683E-26  3.004E-39
 6.668E+02  1.740E-26  3.077E-39
 6.607E+02  1.798E-26  3.152E-39
 6.546E+02  1.859E-26  3.228E-39
 6.486E+02  1.921E-26  3.306E-39
 6.427E+02  1.986E-26  3.386E-39
 6.368E+02  2.052E-26  3.467E-39
 6.310E+02  2.121E-26  3.550E-39
 6.252E+02  2.191E-26  3.634E-39
 6.194E+02  2.264E-26  3.720E-39
 6.138E+02  2.339E-26  3.808E-39
 6.081E+02  2.416E-26  3.898E-39
 6.026E+02  2.496E-26  3.989E-39
 5.970E+02  2.578E-26  4.083E-39
 5.916E+02  2.662E-26  4.178E-39
 5.861E+02  2.749E-26  4.275E-39
 5.808E+02  2.839E-26  4.373E-39
 5.754E+02  2.931E-26  4.474E-39
 5.702E+02  3.026E-26  4.576E-39
 5.649E+02  3.123E-26  4.681E-39
 5.598E+02  3.224E-26  4.787E-39
 5.546E+02  3.327E-26  4.895E-39
 5.495E+02  3.434E-26  5.005E-39
 5.445E+02  3.543E-26  5.117E-39
 5.395E+02  3.655E-26  5.231E-39
 5.346E+02  3.771E-26  5.347E-39
 5.297E+02  3.890E-26  5.465E-39
 5.248E+02  4.012E-26  5.585E-39
 5.200E+02  4.137E-26  5.707E-39
 5.152E+02  4.266E-26  5.831E-39
 5.105E+02  4.399E-26  5.957E-39
 5.058E+02  4.535E-26  6.085E-39
 5.012E+02  4.675E-26  6.215E-39
 4.966E+02  4.819E-26  6.348E-39
 4.920E+02  4.966E-26  6.482E-39
 4.875E+02  5.118E-26  6.619E-39
 4.831E+02  5.274E-26  6.757E-39
 4.786E+02  5.433E-26  6.898E-39
 4.742E+02  5.597E-26  7.041E-39
 4.699E+02  5.765E-26  7.185E-39
 4.656E+02  5.937E-26  7.332E-39
 4.613E+02  6.114E-26  7.481E-39
 4.571E+02  6.295E-26  7.633E-39
 4.529E+02  6.481E-26  7.786E-39
 4.487E+02  6.671E-26  7.941E-39
 4.446E+02  6.866E-26  8.098E-39
 4.406E+02  7.066E-26  8.258E-39
 4.365E+02  7.271E-26  8.419E-39
 4.325E+02  7.480E-26  8.582E-39
 4.285E+02  7.695E-26  8.747E-39
 4.246E+02  7.915E-26  8.915E-39
 4.207E+02  8.139E-26  9.084E-39
 4.169E+02  8.369E-26  9.255E-39
 4.130E+02  8.604E-26  9.427E-39
 4.093E+02  8.845E-26  9.602E-39
 4.055E+02  9.091E-26  9.779E-39
 4.018E+02  9.343E-26  9.957E-39
 3.981E+02  9.600E-26  1.014E-38
 3.945E+02  9.863E-26  1.032E-38
 3.908E+02  1.013E-25  1.050E-38
 3.873E+02  1.041E-25  1.069E-38
 3.837E+02  1.069E-25  1.088E-38
 3.802E+02  1.097E-25  1.107E-38
 3.767E+02  1.126E-25  1.125E-38
 3.733E+02  1.156E-25  1.145E-38
 3.698E+02  1.186E-25  1.164E-38
 3.664E+02  1.217E-25  1.183E-38
 3.631E+02  1.249E-25  1.203E-38
 3.597E+02  1.281E-25  1.223E-38
 3.565E+02  1.314E-25  1.242E-38
 3.532E+02  1.347E-25  1.262E-38
 3.499E+02  1.381E-25  1.282E-38
 3.467E+02  1.416E-25  1.302E-38
 3.436E+02  1.451E-25  1.323E-38
 3.404E+02  1.487E-25  1.343E-38
 3.373E+02  1.524E-25  1.363E-38
 3.342E+02  1.561E-25  1.384E-38
 3.311E+02  1.599E-25  1.404E-38
 3.281E+02  1.637E-25  1.425E-38
 3.251E+02  1.676E-25  1.445E-38
 3.221E+02  1.716E-25  1.466E-38
 3.192E+02  1.756E-25  1.487E-38
 3.162E+02  1.797E-25  1.507E-38
 3.133E+02  1.838E-25  1.528E-38
 3.105E+02  1.880E-25  1.548E-38
 3.076E+02  1.923E-25  1.569E-38
 3.048E+02  1.966E-25  1.590E-38
 3.020E+02  2.010E-25  1.610E-38
 2.992E+02  2.055E-25  1.631E-38
 2.965E+02  2.100E-25  1.651E-38
 2.938E+02  2.146E-25  1.672E-38
 2.911E+02  2.192E-25  1.692E-38
 2.884E+02  2.239E-25  1.713E-38
 2.858E+02  2.286E-25  1.733E-38
 2.831E+02  2.334E-25  1.753E-38
 2.805E+02  2.382E-25  1.773E-38
 2.780E+02  2.431E-25  1.793E-38
 2.754E+02  2.481E-25  1.812E-38
 2.729E+02  2.532E-25  1.833E-38
 2.704E+02  2.583E-25  1.853E-38
 2.679E+02  2.635E-25  1.872E-38
 2.655E+02  2.686E-25  1.892E-38
 2.630E+02  2.738E-25  1.911E-38
 2.606E+02  2.791E-25  1.929E-38
 2.582E+02  2.843E-25  1.947E-38
 2.559E+02  2.895E-25  1.965E-38
 2.535E+02  2.948E-25  1.982E-38
 2.512E+02  3.000E-25  1.999E-38
 2.489E+02  3.052E-25  2.015E-38
 2.466E+02  3.103E-25  2.030E-38
