         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 5.000E-01 1.000E+05 2.500E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.497E+00 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 3.802E+03  2.598E-29  2.620E-41
 3.767E+03  2.699E-29  2.697E-41
 3.733E+03  2.805E-29  2.777E-41
 3.698E+03  2.915E-29  2.859E-41
 3.664E+03  3.028E-29  2.944E-41
 3.631E+03  3.147E-29  3.031E-41
 3.597E+03  3.270E-29  3.120E-41
 3.565E+03  3.398E-29  3.213E-41
 3.532E+03  3.531E-29  3.308E-41
 3.499E+03  3.669E-29  3.406E-41
 3.467E+03  3.813E-29  3.507E-41
 3.436E+03  3.963E-29  3.611E-41
 3.404E+03  4.118E-29  3.719E-41
 3.373E+03  4.280E-29  3.829E-41
 3.342E+03  4.448E-29  3.943E-41
 3.311E+03  4.622E-29  4.060E-41
 3.281E+03  4.804E-29  4.181E-41
 3.251E+03  4.993E-29  4.305E-41
 3.221E+03  5.189E-29  4.433E-41
 3.192E+03  5.393E-29  4.565E-41
 3.162E+03  5.605E-29  4.701E-41
 3.133E+03  5.825E-29  4.842E-41
 3.105E+03  6.054E-29  4.986E-41
 3.076E+03  6.293E-29  5.135E-41
 3.048E+03  6.541E-29  5.288E-41
 3.020E+03  6.798E-29  5.446E-41
 2.992E+03  7.066E-29  5.608E-41
 2.965E+03  7.343E-29  5.775E-41
 2.938E+03  7.632E-29  5.947E-41
 2.911E+03  7.932E-29  6.125E-41
 2.884E+03  8.244E-29  6.307E-41
 2.858E+03  8.569E-29  6.495E-41
 2.831E+03  8.906E-29  6.689E-41
 2.805E+03  9.257E-29  6.889E-41
 2.780E+03  9.622E-29  7.094E-41
 2.754E+03  1.000E-28  7.306E-41
 2.729E+03  1.039E-28  7.525E-41
 2.704E+03  1.080E-28  7.750E-41
 2.679E+03  1.123E-28  7.981E-41
 2.655E+03  1.167E-28  8.220E-41
 2.630E+03  1.213E-28  8.466E-41
 2.606E+03  1.261E-28  8.719E-41
 2.582E+03  1.311E-28  8.980E-41
 2.559E+03  1.363E-28  9.249E-41
 2.535E+03  1.417E-28  9.526E-41
 2.512E+03  1.473E-28  9.812E-41
 2.489E+03  1.531E-28  1.011E-40
 2.466E+03  1.591E-28  1.041E-40
 2.443E+03  1.654E-28  1.072E-40
 2.421E+03  1.719E-28  1.104E-40
 2.399E+03  1.787E-28  1.137E-40
 2.377E+03  1.858E-28  1.171E-40
 2.355E+03  1.931E-28  1.206E-40
 2.333E+03  2.008E-28  1.243E-40
 2.312E+03  2.087E-28  1.280E-40
 2.291E+03  2.169E-28  1.318E-40
 2.270E+03  2.255E-28  1.358E-40
 2.249E+03  2.344E-28  1.399E-40
 2.228E+03  2.437E-28  1.440E-40
 2.208E+03  2.533E-28  1.484E-40
 2.188E+03  2.633E-28  1.528E-40
 2.168E+03  2.737E-28  1.574E-40
 2.148E+03  2.845E-28  1.621E-40
 2.128E+03  2.958E-28  1.670E-40
 2.109E+03  3.075E-28  1.720E-40
 2.089E+03  3.196E-28  1.771E-40
 2.070E+03  3.322E-28  1.824E-40
 2.051E+03  3.453E-28  1.879E-40
 2.032E+03  3.590E-28  1.935E-40
 2.014E+03  3.731E-28  1.993E-40
 1.995E+03  3.879E-28  2.053E-40
 1.977E+03  4.033E-28  2.115E-40
 1.959E+03  4.194E-28  2.179E-40
 1.941E+03  4.361E-28  2.245E-40
 1.923E+03  4.535E-28  2.313E-40
 1.905E+03  4.715E-28  2.383E-40
 1.888E+03  4.903E-28  2.456E-40
 1.871E+03  5.099E-28  2.530E-40
 1.854E+03  5.302E-28  2.607E-40
 1.837E+03  5.514E-28  2.686E-40
 1.820E+03  5.734E-28  2.768E-40
 1.803E+03  5.962E-28  2.852E-40
 1.786E+03  6.200E-28  2.938E-40
 1.770E+03  6.448E-28  3.027E-40
 1.754E+03  6.705E-28  3.119E-40
 1.738E+03  6.973E-28  3.214E-40
 1.722E+03  7.251E-28  3.312E-40
 1.706E+03  7.541E-28  3.413E-40
 1.690E+03  7.842E-28  3.516E-40
 1.675E+03  8.155E-28  3.623E-40
 1.660E+03  8.481E-28  3.734E-40
 1.644E+03  8.820E-28  3.847E-40
 1.629E+03  9.172E-28  3.964E-40
 1.614E+03  9.538E-28  4.085E-40
 1.600E+03  9.919E-28  4.209E-40
 1.585E+03  1.032E-27  4.337E-40
 1.570E+03  1.073E-27  4.469E-40
 1.556E+03  1.116E-27  4.604E-40
 1.542E+03  1.160E-27  4.744E-40
 1.528E+03  1.206E-27  4.889E-40
 1.514E+03  1.255E-27  5.037E-40
 1.500E+03  1.305E-27  5.190E-40
 1.486E+03  1.357E-27  5.348E-40
 1.472E+03  1.411E-27  5.511E-40
 1.459E+03  1.467E-27  5.678E-40
 1.445E+03  1.526E-27  5.851E-40
 1.432E+03  1.587E-27  6.028E-40
 1.419E+03  1.650E-27  6.212E-40
 1.406E+03  1.716E-27  6.400E-40
 1.393E+03  1.785E-27  6.595E-40
 1.380E+03  1.856E-27  6.795E-40
 1.368E+03  1.930E-27  7.001E-40
 1.355E+03  2.007E-27  7.214E-40
 1.343E+03  2.087E-27  7.432E-40
 1.330E+03  2.170E-27  7.658E-40
 1.318E+03  2.256E-27  7.890E-40
 1.306E+03  2.346E-27  8.129E-40
 1.294E+03  2.440E-27  8.375E-40
 1.282E+03  2.537E-27  8.629E-40
 1.271E+03  2.638E-27  8.890E-40
 1.259E+03  2.743E-27  9.159E-40
 1.247E+03  2.852E-27  9.435E-40
 1.236E+03  2.965E-27  9.720E-40
 1.225E+03  3.083E-27  1.001E-39
 1.213E+03  3.205E-27  1.032E-39
 1.202E+03  3.332E-27  1.063E-39
 1.191E+03  3.465E-27  1.095E-39
 1.180E+03  3.602E-27  1.128E-39
 1.169E+03  3.745E-27  1.162E-39
 1.159E+03  3.893E-27  1.197E-39
 1.148E+03  4.047E-27  1.233E-39
 1.138E+03  4.207E-27  1.270E-39
 1.127E+03  4.374E-27  1.308E-39
 1.117E+03  4.547E-27  1.347E-39
 1.107E+03  4.726E-27  1.387E-39
 1.096E+03  4.913E-27  1.429E-39
 1.086E+03  5.107E-27  1.472E-39
 1.076E+03  5.308E-27  1.516E-39
 1.067E+03  5.517E-27  1.561E-39
 1.057E+03  5.734E-27  1.607E-39
 1.047E+03  5.960E-27  1.655E-39
 1.038E+03  6.194E-27  1.705E-39
 1.028E+03  6.437E-27  1.755E-39
 1.019E+03  6.690E-27  1.808E-39
 1.009E+03  6.952E-27  1.861E-39
 1.000E+03  7.224E-27  1.916E-39
 9.908E+02  7.507E-27  1.973E-39
 9.817E+02  7.801E-27  2.031E-39
 9.727E+02  8.106E-27  2.092E-39
 9.638E+02  8.422E-27  2.153E-39
 9.550E+02  8.751E-27  2.217E-39
 9.462E+02  9.092E-27  2.282E-39
 9.376E+02  9.446E-27  2.349E-39
 9.290E+02  9.814E-27  2.418E-39
 9.204E+02  1.020E-26  2.489E-39
 9.120E+02  1.059E-26  2.562E-39
 9.036E+02  1.100E-26  2.637E-39
 8.954E+02  1.143E-26  2.714E-39
 8.872E+02  1.187E-26  2.793E-39
