         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 5.000E-01 1.000E+05 2.200E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.739E+00 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
1.270E+00  4.687E-26  1.579E-18 COBE-DIRBE
2.220E+00  1.071E-25  6.308E-18 COBE-DIRBE
3.530E+00  3.441E-25  3.222E-17 COBE-DIRBE
4.880E+00  2.034E-25  2.632E-17 COBE-DIRBE
1.229E+01  1.216E-24  3.964E-16 COBE-DIRBE
2.079E+01  1.466E-24  8.085E-16 COBE-DIRBE
5.599E+01  4.219E-24  6.266E-15 COBE-DIRBE
9.770E+01  5.394E-24  1.398E-14 COBE-DIRBE
1.479E+02  4.337E-24  1.701E-14 COBE-DIRBE
2.479E+02  1.611E-24  1.059E-14 COBE-DIRBE
1.200E+01  1.571E-24  4.999E-16 IRAS
2.500E+01  1.689E-24  1.120E-15 IRAS
6.000E+01  4.381E-24  6.972E-15 IRAS
1.000E+02  5.394E-24  1.431E-14 IRAS
3.548E+00  3.897E-25  3.667E-17 SST-IRAC
4.492E+00  1.661E-25  1.979E-17 SST-IRAC
5.661E+00  1.783E-24  2.678E-16 SST-IRAC
7.870E+00  3.814E-24  7.962E-16 SST-IRAC
2.400E+01  1.775E-24  1.130E-15 SST-MIPS
7.000E+01  4.846E-24  8.999E-15 SST-MIPS
1.600E+02  3.599E-24  1.528E-14 SST-MIPS

lambda     nu*dP/dnu      j_nu
  (um)   (erg s-1 H-1)  (Jy sr-1)
 1.000E+04  5.407E-31  1.434E-42
 9.908E+03  5.605E-31  1.473E-42
 9.817E+03  5.811E-31  1.513E-42
 9.727E+03  6.024E-31  1.554E-42
 9.638E+03  6.245E-31  1.597E-42
 9.550E+03  6.474E-31  1.640E-42
 9.462E+03  6.712E-31  1.685E-42
 9.376E+03  6.959E-31  1.731E-42
 9.290E+03  7.215E-31  1.778E-42
 9.204E+03  7.481E-31  1.827E-42
 9.120E+03  7.757E-31  1.877E-42
 9.036E+03  8.043E-31  1.928E-42
 8.954E+03  8.340E-31  1.981E-42
 8.872E+03  8.648E-31  2.035E-42
 8.790E+03  8.968E-31  2.091E-42
 8.710E+03  9.300E-31  2.148E-42
 8.630E+03  9.644E-31  2.208E-42
 8.551E+03  1.000E-30  2.268E-42
 8.472E+03  1.037E-30  2.331E-42
 8.395E+03  1.076E-30  2.395E-42
 8.318E+03  1.116E-30  2.461E-42
 8.241E+03  1.157E-30  2.529E-42
 8.166E+03  1.200E-30  2.599E-42
 8.091E+03  1.245E-30  2.671E-42
 8.017E+03  1.291E-30  2.745E-42
 7.943E+03  1.339E-30  2.822E-42
 7.870E+03  1.389E-30  2.900E-42
 7.798E+03  1.441E-30  2.980E-42
 7.727E+03  1.495E-30  3.063E-42
 7.656E+03  1.550E-30  3.149E-42
 7.586E+03  1.608E-30  3.236E-42
 7.516E+03  1.669E-30  3.327E-42
 7.447E+03  1.731E-30  3.420E-42
 7.379E+03  1.796E-30  3.515E-42
 7.311E+03  1.863E-30  3.613E-42
 7.244E+03  1.933E-30  3.715E-42
 7.178E+03  2.006E-30  3.819E-42
 7.112E+03  2.081E-30  3.926E-42
 7.047E+03  2.159E-30  4.036E-42
 6.982E+03  2.240E-30  4.149E-42
 6.918E+03  2.325E-30  4.266E-42
 6.855E+03  2.412E-30  4.386E-42
 6.792E+03  2.503E-30  4.510E-42
 6.730E+03  2.597E-30  4.637E-42
 6.668E+03  2.695E-30  4.768E-42
 6.607E+03  2.797E-30  4.902E-42
 6.546E+03  2.903E-30  5.041E-42
 6.486E+03  3.013E-30  5.183E-42
 6.427E+03  3.127E-30  5.330E-42
 6.368E+03  3.245E-30  5.481E-42
 6.310E+03  3.368E-30  5.637E-42
 6.252E+03  3.495E-30  5.797E-42
 6.194E+03  3.628E-30  5.961E-42
 6.138E+03  3.766E-30  6.131E-42
 6.081E+03  3.909E-30  6.305E-42
 6.026E+03  4.057E-30  6.485E-42
 5.970E+03  4.211E-30  6.670E-42
 5.916E+03  4.372E-30  6.860E-42
 5.861E+03  4.538E-30  7.056E-42
 5.808E+03  4.711E-30  7.257E-42
 5.754E+03  4.890E-30  7.465E-42
 5.702E+03  5.077E-30  7.679E-42
 5.649E+03  5.271E-30  7.898E-42
 5.598E+03  5.472E-30  8.125E-42
 5.546E+03  5.681E-30  8.358E-42
 5.495E+03  5.898E-30  8.598E-42
 5.445E+03  6.124E-30  8.845E-42
 5.395E+03  6.358E-30  9.100E-42
 5.346E+03  6.602E-30  9.361E-42
 5.297E+03  6.855E-30  9.631E-42
 5.248E+03  7.118E-30  9.909E-42
 5.200E+03  7.391E-30  1.019E-41
 5.152E+03  7.675E-30  1.049E-41
 5.105E+03  7.970E-30  1.079E-41
 5.058E+03  8.276E-30  1.110E-41
 5.012E+03  8.594E-30  1.143E-41
 4.966E+03  8.925E-30  1.176E-41
 4.920E+03  9.269E-30  1.210E-41
 4.875E+03  9.626E-30  1.245E-41
 4.831E+03  9.997E-30  1.281E-41
 4.786E+03  1.038E-29  1.318E-41
 4.742E+03  1.078E-29  1.356E-41
 4.699E+03  1.120E-29  1.396E-41
 4.656E+03  1.163E-29  1.437E-41
 4.613E+03  1.208E-29  1.478E-41
