# manual trim-down of MIPSfiltsumm.txt
#lambda      response
   157.7278    0.957757
   158.0396    0.955337
   158.3525    0.952607
   158.6667    0.950778
   158.9821     0.95971
   159.2988    0.957048
   159.6168    0.954059
    159.936    0.950879
   160.2565    0.949385
   160.5783    0.947378
   160.9014    0.946668
   161.2258    0.946953
   161.5515    0.947891
   161.8786    0.955765
   162.2069      0.9535
   162.5366    0.954159
   162.8676    0.956026
      163.2    0.956026
   163.5338    0.964962
   163.8689    0.965461
   164.2054    0.965031
   164.5432    0.963797
   164.8825    0.953418
   165.2232    0.951826
   165.5652    0.949067
   165.9087    0.944964
   166.2537    0.931234
      166.6    0.926587
   166.9478    0.920868
   167.2971     0.91358
   167.6478    0.898548
        168    0.880514
   168.3537    0.861504
   168.7089    0.852693
   169.0656    0.833905
   169.4238     0.82043
   169.7835    0.797571
   170.1447    0.784459
   170.5075    0.759877
   170.8718    0.740617
   171.2377    0.711354
   171.6052    0.684708
   171.9742    0.657276
   172.3449    0.629894
   172.7171    0.610668
   173.0909    0.583345
   173.4664    0.555174
   173.8435    0.527646
   174.2223      0.4969
   174.6026    0.471499
   174.9847    0.445906
   175.3684    0.419362
   175.7539      0.3933
    176.141    0.368825
   176.5298    0.344754
   176.9204    0.325955
   177.3127      0.3036
   177.7067    0.282585
   178.1025    0.265238
      178.5    0.250196
   178.8994    0.234194
   179.3005    0.219211
   179.7034    0.203229
   180.1081    0.189903
   180.5147    0.177366
   180.9231     0.16602
   181.3334     0.15316
   181.7455    0.143091
   182.1595    0.133721
   182.5754    0.125481
   182.9932    0.116889
   183.4129    0.109056
   183.8345    0.102276
   184.2581    0.095799
   184.6836    0.088747
   185.1111    0.083556
   185.5406    0.078206
   185.9721    0.072986
   186.4056    0.068567
   186.8412    0.064252
   187.2787    0.059304
   187.7183    0.054956
     188.16    0.051705
   188.6038    0.047743
   189.0497    0.044662
   189.4977    0.041159
   189.9478    0.038585
      190.4    0.035677
   190.8544    0.033044
    191.311    0.030634
   191.7698    0.028746
   192.2308    0.026742
    192.694     0.02463
   193.1595    0.022829
   193.6271    0.020896
   194.0971    0.019406
   194.5694    0.018199
   195.0439    0.016901
   195.5208    0.016001
        196    0.014935
   196.4816    0.013881
   196.9655    0.013061
   197.4519    0.012065
   197.9406     0.01121
   198.4318     0.01045
   198.9254    0.009667
   199.4215    0.009083
     199.92    0.008501
