# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): W4
# 
# Instrument: WISE
# 
# Determined by: WISE team
# 
# Date of determination: sometime before 2009-Aug-04
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
#  Obtained from the web site
#   http://www.astro.ucla.edu/~wright/WISE/passbands.html
# 
# Mike Blanton, NYU 2011-Apr-11
|    lambda |      pass |    unc |
|   37600.0 | 7.014e-15 |  296.0 |
|   37700.0 | 3.612e-14 |  295.0 |
|   37800.0 |  1.26e-14 |  296.0 |
|   37900.0 | 4.077e-14 |  294.0 |
|   38000.0 | 2.721e-13 |  294.0 |
|   38100.0 | 9.825e-14 |  294.0 |
|   38200.0 | 8.635e-14 |  292.0 |
|   38300.0 | 4.495e-15 |  293.0 |
|   38400.0 | 1.041e-13 |  292.0 |
|   38500.0 |  2.35e-13 |  292.0 |
|   38600.0 | 4.299e-14 |  291.0 |
|   38700.0 | 9.742e-14 |  290.0 |
|   38800.0 | 2.212e-13 |  290.0 |
|   38900.0 | 7.684e-14 |  290.0 |
|   39000.0 | 1.506e-13 |  290.0 |
|   39100.0 | 6.299e-14 |  289.0 |
|   39200.0 | 8.508e-14 |  288.0 |
|   39300.0 |  8.04e-14 |  288.0 |
|   39400.0 | 2.333e-13 |  287.0 |
|   39500.0 | 6.671e-14 |  287.0 |
|   39600.0 | 1.143e-13 |  286.0 |
|   39700.0 | 8.496e-14 |  286.0 |
|   39800.0 | 4.521e-14 |  286.0 |
|   39900.0 |  1.23e-13 |  286.0 |
|   40000.0 | 2.355e-26 |  707.0 |
| 40100.004 | 4.851e-33 |  707.0 |
|   40200.0 | 6.732e-31 |  707.0 |
| 40300.004 | 1.567e-36 |  707.0 |
|   40400.0 | 1.869e-25 | 1000.0 |
|   40500.0 | 1.062e-36 |  707.0 |
|   40600.0 | 3.267e-25 |  707.0 |
|   40700.0 |  1.18e-30 | 1000.0 |
|   40800.0 | 1.675e-33 |  707.0 |
|   40900.0 | 6.418e-30 |  707.0 |
|   41000.0 | 9.451e-30 |  707.0 |
|   41100.0 | 8.343e-32 |  707.0 |
|   41200.0 | 3.188e-13 |  294.0 |
|   41300.0 | 2.321e-14 |  281.0 |
|   41400.0 | 5.444e-13 |  292.0 |
|   41500.0 | 1.374e-14 |  280.0 |
|   41600.0 | 3.263e-13 |  280.0 |
|   41700.0 | 7.631e-13 |  291.0 |
|   41800.0 | 1.428e-12 |  290.0 |
|   41900.0 |  1.39e-12 |  290.0 |
|   42000.0 | 3.024e-14 |  278.0 |
|   42100.0 | 3.258e-14 |  278.0 |
| 42199.996 | 5.389e-13 |  289.0 |
|   42300.0 | 1.207e-30 |  707.0 |
| 42399.996 | 1.867e-33 |  707.0 |
|   42500.0 | 1.622e-28 | 1000.0 |
| 42600.004 | 6.215e-28 |  707.0 |
|   42700.0 | 2.794e-26 |  707.0 |
| 42800.004 | 1.467e-30 |  707.0 |
|   42900.0 | 1.387e-27 |  707.0 |
|   43000.0 | 2.035e-28 | 1000.0 |
|   43100.0 | 5.902e-25 |  707.0 |
|   43200.0 |   1.2e-27 |  707.0 |
|   43300.0 | 2.152e-36 |  707.0 |
|   43400.0 | 1.414e-36 | 1000.0 |
|   43500.0 | 8.046e-14 |  285.0 |
|   43600.0 | 1.822e-13 |  284.0 |
|   43700.0 | 5.063e-13 |  283.0 |
|   43800.0 | 3.473e-14 |  272.0 |
|   43900.0 | 3.065e-13 |  282.0 |
|   44000.0 | 3.936e-13 |  282.0 |
|   44100.0 | 1.187e-13 |  270.0 |
|   44200.0 | 1.034e-12 |  282.0 |
|   44300.0 | 5.295e-14 |  271.0 |
|   44400.0 | 2.867e-13 |  270.0 |
|   44500.0 | 3.803e-13 |  271.0 |
|   44600.0 | 1.657e-13 |  270.0 |
| 44699.996 | 1.105e-13 |  269.0 |
|   44800.0 | 3.283e-14 |  268.0 |
| 44899.996 | 6.248e-14 |  268.0 |
|   45000.0 | 5.167e-14 |  268.0 |
| 45100.004 | 2.985e-14 |  267.0 |
|   45200.0 |  6.42e-15 |  267.0 |
| 45300.004 | 4.063e-29 |  707.0 |
|   45400.0 | 1.163e-32 |  707.0 |
|   45500.0 | 1.723e-15 |  267.0 |
|   45600.0 | 5.467e-14 |  266.0 |
|   45700.0 | 1.951e-13 |  266.0 |
|   45800.0 | 2.222e-13 |  266.0 |
|   45900.0 | 2.167e-13 |  266.0 |
|   46000.0 | 4.682e-13 |  265.0 |
|   46100.0 | 4.249e-13 |  265.0 |
|   46200.0 | 1.316e-12 |  264.0 |
|   46300.0 | 4.466e-13 |  265.0 |
|   46400.0 | 1.212e-12 |  264.0 |
|   46500.0 |  9.13e-14 |  263.0 |
|   46600.0 |  9.38e-15 |  263.0 |
|   46700.0 | 9.552e-14 |  262.0 |
|   46800.0 | 5.174e-13 |  262.0 |
|   46900.0 | 4.066e-13 |  261.0 |
|   47000.0 |  5.19e-13 |  261.0 |
|   47100.0 | 4.064e-13 |  261.0 |
| 47199.996 | 1.709e-13 |  262.0 |
|   47300.0 | 1.877e-13 |  261.0 |
| 47399.996 | 5.081e-14 |  261.0 |
|   47500.0 | 6.988e-14 |  260.0 |
| 47600.004 | 3.161e-12 |  268.0 |
|   47700.0 | 4.618e-14 |  260.0 |
| 47800.004 | 6.916e-14 |  258.0 |
|   47900.0 | 8.404e-14 |  258.0 |
|   48000.0 | 7.265e-14 |  258.0 |
|   48100.0 | 5.175e-14 |  258.0 |
|   48200.0 | 1.714e-13 |  258.0 |
|   48300.0 | 5.213e-13 |  266.0 |
|   48400.0 | 2.211e-14 |  257.0 |
|   48500.0 |  3.92e-12 |  266.0 |
|   48600.0 | 3.511e-12 |  266.0 |
|   48700.0 | 3.284e-12 |  265.0 |
|   48800.0 | 5.006e-12 |  265.0 |
|   48900.0 | 3.836e-13 |  255.0 |
|   49000.0 | 6.567e-14 |  255.0 |
|   49100.0 |  1.05e-13 |  254.0 |
|   49200.0 | 9.771e-14 |  255.0 |
|   49300.0 | 4.556e-13 |  254.0 |
|   49400.0 | 2.782e-13 |  253.0 |
|   49500.0 |  7.55e-12 |  261.0 |
|   49600.0 | 7.499e-13 |  253.0 |
| 49699.996 | 2.017e-11 |  261.0 |
|   49800.0 | 1.224e-11 |  260.0 |
| 49899.996 | 6.818e-12 |  261.0 |
|   50000.0 | 1.348e-11 |  259.0 |
| 50100.004 |  4.33e-09 |   76.0 |
|   50200.0 |  3.09e-09 |   73.0 |
| 50300.004 | 5.489e-09 |   71.0 |
|   50400.0 | 5.372e-09 |   71.0 |
|   50500.0 | 8.352e-09 |   71.0 |
|   50600.0 | 1.034e-08 |   71.0 |
|   50700.0 | 9.649e-09 |   71.0 |
|   50800.0 | 1.205e-08 |   72.0 |
|   50900.0 | 1.278e-08 |   72.0 |
|   51000.0 | 1.772e-08 |   72.0 |
|   51100.0 |  1.84e-08 |   71.0 |
|   51200.0 | 1.859e-08 |   71.0 |
|   51300.0 | 2.042e-08 |   71.0 |
|   51400.0 | 1.622e-08 |   71.0 |
|   51500.0 | 2.051e-08 |   71.0 |
|   51600.0 |  1.95e-08 |   71.0 |
|   51700.0 | 1.429e-08 |   70.0 |
|   51800.0 | 1.404e-08 |   70.0 |
|   51900.0 | 1.895e-08 |   70.0 |
|   52000.0 | 1.777e-08 |   70.0 |
|   52100.0 | 1.774e-08 |   70.0 |
| 52199.996 | 1.199e-08 |   70.0 |
|   52300.0 |  1.49e-08 |   70.0 |
| 52399.996 | 1.082e-08 |   70.0 |
|   52500.0 | 1.025e-08 |   69.0 |
| 52600.004 | 1.041e-08 |   69.0 |
|   52700.0 | 9.064e-09 |   70.0 |
| 52800.004 | 9.638e-09 |   70.0 |
|   52900.0 | 5.348e-09 |   70.0 |
|   53000.0 | 5.432e-09 |   70.0 |
|   53100.0 | 2.636e-09 |   70.0 |
|   53200.0 | 3.687e-09 |   70.0 |
|   53300.0 | 5.263e-09 |   69.0 |
|   53400.0 | 7.018e-09 |   69.0 |
|   53500.0 | 8.591e-09 |   69.0 |
|   53600.0 | 7.167e-09 |   69.0 |
|   53700.0 | 1.202e-08 |   69.0 |
|   53800.0 | 1.064e-08 |   69.0 |
|   53900.0 | 1.286e-08 |   69.0 |
|   54000.0 | 1.775e-08 |   70.0 |
|   54100.0 | 1.987e-08 |   69.0 |
|   54200.0 | 2.158e-08 |   69.0 |
|   54300.0 | 2.241e-08 |   69.0 |
|   54400.0 | 2.758e-08 |   70.0 |
|   54500.0 | 2.736e-08 |   70.0 |
|   54600.0 | 3.102e-08 |   70.0 |
| 54699.996 | 3.642e-08 |   70.0 |
|   54800.0 | 3.922e-08 |   70.0 |
| 54899.996 | 3.887e-08 |   70.0 |
|   55000.0 | 4.014e-08 |   71.0 |
| 55100.004 | 3.958e-08 |   70.0 |
|   55200.0 | 4.112e-08 |   71.0 |
| 55300.004 | 4.177e-08 |   71.0 |
|   55400.0 | 4.199e-08 |   71.0 |
|   55500.0 | 4.122e-08 |   71.0 |
|   55600.0 |  3.95e-08 |   71.0 |
|   55700.0 | 3.917e-08 |   71.0 |
|   55800.0 | 3.767e-08 |   72.0 |
|   55900.0 |  3.56e-08 |   72.0 |
|   56000.0 | 3.187e-08 |   73.0 |
|   56100.0 | 2.817e-08 |   74.0 |
|   56200.0 | 2.427e-08 |   75.0 |
|   56300.0 | 2.093e-08 |   77.0 |
|   56400.0 | 1.972e-08 |   79.0 |
|   56500.0 | 2.134e-08 |   78.0 |
|   56600.0 | 2.226e-08 |   78.0 |
|   56700.0 | 2.315e-08 |   77.0 |
|   56800.0 | 2.367e-08 |   76.0 |
|   56900.0 | 3.266e-08 |   75.0 |
|   57000.0 | 4.691e-08 |   74.0 |
|   57100.0 | 6.091e-08 |   74.0 |
| 57199.996 | 7.606e-08 |   73.0 |
|   57300.0 | 9.471e-08 |   72.0 |
| 57399.996 | 1.113e-07 |   71.0 |
|   57500.0 | 1.409e-07 |   72.0 |
| 57600.004 | 1.594e-07 |   71.0 |
|   57700.0 |  1.88e-07 |   71.0 |
| 57800.004 | 2.118e-07 |   71.0 |
|   57900.0 | 2.248e-07 |   71.0 |
|   58000.0 | 2.449e-07 |   71.0 |
|   58100.0 | 2.743e-07 |   71.0 |
|   58200.0 | 2.954e-07 |   71.0 |
|   58300.0 | 3.119e-07 |   71.0 |
|   58400.0 |  3.14e-07 |   71.0 |
|   58500.0 | 3.299e-07 |   71.0 |
|   58600.0 | 3.289e-07 |   71.0 |
|   58700.0 |  3.26e-07 |   71.0 |
|   58800.0 | 3.331e-07 |   71.0 |
|   58900.0 | 3.572e-07 |   71.0 |
|   59000.0 | 3.427e-07 |   71.0 |
|   59100.0 | 3.295e-07 |   72.0 |
|   59200.0 | 3.129e-07 |   72.0 |
|   59300.0 | 3.047e-07 |   72.0 |
|   59400.0 | 2.916e-07 |   72.0 |
|   59500.0 | 2.823e-07 |   72.0 |
|   59600.0 |  2.66e-07 |   72.0 |
| 59699.996 | 2.439e-07 |   72.0 |
|   59800.0 | 2.227e-07 |   72.0 |
| 59899.996 |  2.03e-07 |   72.0 |
|   60000.0 |  1.93e-07 |   71.0 |
| 60100.004 | 1.748e-07 |   72.0 |
|   60200.0 | 1.568e-07 |   71.0 |
| 60300.004 | 1.396e-07 |   71.0 |
|   60400.0 | 1.205e-07 |   71.0 |
|   60500.0 |  1.03e-07 |   71.0 |
|   60600.0 | 8.367e-08 |   71.0 |
|   60700.0 | 7.468e-08 |   71.0 |
|   60800.0 | 6.432e-08 |   71.0 |
|   60900.0 | 5.261e-08 |   72.0 |
|   61000.0 | 4.281e-08 |   72.0 |
|   61100.0 | 3.336e-08 |   72.0 |
|   61200.0 | 3.159e-08 |   72.0 |
|   61300.0 | 3.527e-08 |   73.0 |
|   61400.0 | 4.128e-08 |   74.0 |
|   61500.0 | 4.977e-08 |   76.0 |
|   61600.0 | 5.969e-08 |   80.0 |
|   61700.0 | 7.211e-08 |   86.0 |
|   61800.0 | 1.068e-07 |  102.0 |
|   61900.0 | 1.557e-07 |  127.0 |
|   62000.0 | 2.283e-07 |  159.0 |
|   62100.0 | 3.423e-07 |  214.0 |
| 62199.996 | 7.282e-07 |  261.0 |
|   62300.0 | 6.293e-07 |  310.0 |
| 62399.996 | 8.193e-07 |  291.0 |
|   62500.0 | 1.099e-06 |  279.0 |
| 62600.004 | 9.497e-07 |  304.0 |
|   62700.0 | 2.039e-06 |  321.0 |
| 62800.004 | 1.783e-06 |  357.0 |
|   62900.0 | 9.839e-07 |  443.0 |
|   63000.0 | 7.465e-07 |  544.0 |
|   63100.0 | 2.597e-07 |   75.0 |
|   63200.0 | 2.561e-07 |   75.0 |
|   63300.0 | 2.336e-07 |   75.0 |
|   63400.0 | 2.242e-07 |   75.0 |
|   63500.0 | 1.989e-07 |   75.0 |
|   63600.0 | 1.741e-07 |   75.0 |
|   63700.0 | 1.449e-07 |   75.0 |
|   63800.0 | 1.187e-07 |   75.0 |
|   63900.0 | 1.022e-07 |   76.0 |
|   64000.0 | 8.034e-08 |   76.0 |
|   64100.0 | 6.634e-08 |   76.0 |
|   64200.0 |   5.7e-08 |   77.0 |
|   64300.0 | 5.779e-08 |   77.0 |
|   64400.0 |  7.14e-08 |   77.0 |
|   64500.0 | 9.287e-08 |   76.0 |
|   64600.0 | 1.178e-07 |   76.0 |
| 64699.996 | 1.354e-07 |   77.0 |
|   64800.0 | 1.606e-07 |   77.0 |
| 64899.996 | 1.868e-07 |   77.0 |
|   65000.0 | 2.239e-07 |   77.0 |
| 65100.004 | 2.513e-07 |   77.0 |
|   65200.0 | 2.861e-07 |   77.0 |
| 65300.004 | 3.199e-07 |   78.0 |
|   65400.0 | 3.572e-07 |   78.0 |
|   65500.0 | 3.985e-07 |   78.0 |
|   65600.0 | 4.113e-07 |   79.0 |
|   65700.0 | 4.484e-07 |   80.0 |
|   65800.0 | 4.876e-07 |   80.0 |
|   65900.0 | 5.635e-07 |   80.0 |
|   66000.0 |   6.3e-07 |   81.0 |
|   66100.0 | 6.942e-07 |   81.0 |
|   66200.0 | 7.282e-07 |   81.0 |
|   66300.0 | 8.376e-07 |   82.0 |
