# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): W3
# 
# Instrument: WISE
# 
# Determined by: WISE team
# 
# Date of determination: sometime before 2009-Aug-04
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
#  Obtained from the web site
#   http://www.astro.ucla.edu/~wright/WISE/passbands.html
# 
# Mike Blanton, NYU 2011-Apr-11
|    lambda |      pass |    unc |
|   25300.0 | 7.881e-16 |  342.0 |
|   25400.0 | 2.569e-15 |  343.0 |
|   25500.0 | 4.239e-14 |  344.0 |
|   25600.0 | 4.248e-15 |  342.0 |
|   25700.0 | 2.295e-15 |  343.0 |
|   25800.0 | 1.714e-14 |  342.0 |
|   25900.0 |  2.36e-18 |  343.0 |
|   26000.0 | 6.839e-15 |  341.0 |
| 26099.998 | 1.051e-14 |  340.0 |
| 26199.998 | 2.846e-14 |  340.0 |
| 26300.002 | 1.439e-14 |  339.0 |
| 26400.002 | 3.569e-15 |  339.0 |
|   26500.0 | 6.334e-15 |  340.0 |
|   26600.0 | 3.919e-16 |  339.0 |
|   26700.0 | 1.584e-14 |  337.0 |
|   26800.0 |  1.23e-14 |  337.0 |
|   26900.0 | 1.676e-14 |  337.0 |
|   27000.0 | 9.608e-15 |  336.0 |
|   27100.0 | 4.714e-15 |  336.0 |
|   27200.0 | 7.747e-15 |  336.0 |
|   27300.0 | 8.743e-14 |  336.0 |
|   27400.0 | 1.754e-14 |  335.0 |
|   27500.0 | 1.335e-14 |  334.0 |
|   27600.0 | 2.017e-13 |  334.0 |
|   27700.0 | 1.213e-14 |  334.0 |
|   27800.0 | 1.575e-14 |  333.0 |
|   27900.0 | 6.245e-16 |  333.0 |
|   28000.0 | 3.361e-16 |  333.0 |
|   28100.0 | 6.194e-17 |  332.0 |
|   28200.0 | 1.819e-15 |  332.0 |
|   28300.0 | 2.308e-15 |  331.0 |
|   28400.0 |  2.08e-14 |  331.0 |
|   28500.0 | 8.315e-15 |  330.0 |
| 28599.998 | 3.115e-15 |  330.0 |
| 28699.998 | 2.756e-15 |  329.0 |
| 28800.002 | 2.809e-15 |  329.0 |
| 28900.002 | 3.048e-14 |  328.0 |
|   29000.0 |  3.32e-14 |  329.0 |
|   29100.0 | 1.475e-13 |  327.0 |
|   29200.0 | 9.895e-16 |  327.0 |
|   29300.0 |  2.82e-14 |  327.0 |
|   29400.0 | 2.226e-14 |  326.0 |
|   29500.0 | 2.071e-14 |  325.0 |
|   29600.0 | 3.718e-15 |  326.0 |
|   29700.0 | 2.146e-15 |  325.0 |
|   29800.0 | 3.079e-16 |  324.0 |
|   29900.0 | 1.568e-13 |  342.0 |
|   30000.0 | 3.864e-13 |  341.0 |
|   30100.0 | 1.768e-15 |  322.0 |
|   30200.0 | 3.508e-14 |  322.0 |
|   30300.0 | 1.697e-14 |  322.0 |
|   30400.0 | 2.113e-15 |  321.0 |
|   30500.0 | 2.988e-14 |  321.0 |
|   30600.0 | 3.922e-16 |  320.0 |
|   30700.0 | 1.305e-14 |  320.0 |
|   30800.0 | 1.667e-12 |  337.0 |
|   30900.0 | 1.655e-12 |  337.0 |
|   31000.0 |  1.02e-14 |  319.0 |
| 31099.998 | 4.239e-14 |  318.0 |
| 31199.998 | 2.522e-14 |  318.0 |
| 31300.002 |  6.59e-16 |  317.0 |
| 31400.002 | 1.006e-14 |  317.0 |
|   31500.0 | 4.248e-15 |  317.0 |
|   31600.0 | 6.499e-15 |  316.0 |
|   31700.0 | 4.209e-14 |  316.0 |
|   31800.0 | 8.015e-14 |  316.0 |
|   31900.0 | 9.559e-15 |  315.0 |
|   32000.0 | 2.432e-14 |  315.0 |
|   32100.0 | 4.385e-15 |  315.0 |
|   32200.0 | 3.762e-14 |  313.0 |
|   32300.0 | 7.531e-14 |  313.0 |
|   32400.0 | 1.204e-14 |  312.0 |
|   32500.0 | 7.082e-15 |  312.0 |
|   32600.0 |   2.6e-14 |  312.0 |
|   32700.0 |  1.12e-13 |  312.0 |
|   32800.0 |  2.38e-14 |  311.0 |
|   32900.0 | 4.367e-14 |  311.0 |
|   33000.0 | 2.468e-14 |  309.0 |
|   33100.0 | 6.965e-14 |  309.0 |
|   33200.0 | 2.205e-13 |  309.0 |
|   33300.0 | 2.034e-13 |  309.0 |
|   33400.0 | 2.752e-14 |  309.0 |
|   33500.0 | 5.893e-14 |  308.0 |
|   33600.0 | 7.243e-15 |  308.0 |
|   33700.0 | 1.854e-13 |  306.0 |
|   33800.0 | 3.233e-14 |  306.0 |
|   33900.0 | 1.662e-14 |  307.0 |
|   34000.0 | 4.203e-14 |  306.0 |
|   34100.0 | 3.925e-14 |  306.0 |
|   34200.0 |   1.9e-14 |  306.0 |
|   34300.0 | 3.699e-17 |  305.0 |
|   34400.0 |  1.96e-14 |  305.0 |
|   34500.0 | 3.648e-14 |  304.0 |
|   34600.0 | 1.093e-14 |  304.0 |
|   34700.0 | 1.496e-14 |  302.0 |
|   34800.0 | 2.542e-13 |  302.0 |
|   34900.0 | 1.543e-14 |  302.0 |
|   35000.0 | 1.305e-13 |  301.0 |
|   35100.0 | 1.778e-13 |  300.0 |
|   35200.0 |  4.18e-14 |  301.0 |
|   35300.0 | 4.653e-13 |  302.0 |
|   35400.0 | 2.543e-14 |  301.0 |
|   35500.0 | 1.553e-13 |  299.0 |
|   35600.0 | 6.269e-13 |  313.0 |
|   35700.0 | 5.781e-15 |  298.0 |
|   35800.0 | 5.123e-14 |  298.0 |
|   35900.0 | 3.433e-15 |  297.0 |
|   36000.0 | 7.908e-14 |  298.0 |
|   36100.0 | 1.911e-14 |  297.0 |
|   36200.0 | 8.563e-14 |  296.0 |
|   36300.0 | 1.502e-12 |  309.0 |
|   36400.0 | 3.744e-14 |  294.0 |
|   36500.0 | 2.618e-12 |  307.0 |
|   36600.0 | 1.334e-12 |  309.0 |
|   36700.0 | 2.019e-12 |  306.0 |
|   36800.0 | 4.074e-12 |  306.0 |
|   36900.0 |  1.37e-12 |  306.0 |
|   37000.0 | 2.669e-15 |  293.0 |
|   37100.0 | 1.756e-14 |  292.0 |
|   37200.0 | 9.076e-15 |  291.0 |
|   37300.0 | 7.329e-14 |  290.0 |
|   37400.0 | 1.165e-12 |  303.0 |
|   37500.0 | 2.875e-14 |  290.0 |
|   37600.0 |  1.55e-14 |  290.0 |
|   37700.0 | 7.578e-14 |  289.0 |
|   37800.0 | 8.766e-13 |  301.0 |
|   37900.0 | 7.586e-14 |  288.0 |
|   38000.0 | 2.743e-13 |  287.0 |
|   38100.0 | 2.055e-12 |  299.0 |
|   38200.0 | 5.524e-14 |  287.0 |
|   38300.0 | 3.387e-15 |  287.0 |
|   38400.0 | 1.749e-12 |  297.0 |
|   38500.0 | 1.163e-13 |  285.0 |
|   38600.0 | 9.348e-13 |  297.0 |
|   38700.0 | 4.598e-14 |  284.0 |
|   38800.0 | 1.163e-12 |  296.0 |
|   38900.0 | 2.358e-14 |  284.0 |
|   39000.0 | 3.281e-14 |  283.0 |
|   39100.0 | 1.635e-14 |  283.0 |
|   39200.0 | 2.442e-14 |  282.0 |
|   39300.0 | 9.823e-13 |  294.0 |
|   39400.0 | 1.558e-13 |  282.0 |
|   39500.0 |  1.34e-12 |  293.0 |
|   39600.0 | 1.856e-12 |  293.0 |
|   39700.0 | 1.027e-13 |  281.0 |
|   39800.0 | 8.941e-14 |  280.0 |
|   39900.0 | 4.391e-13 |  280.0 |
|   40000.0 | 1.324e-13 |  280.0 |
| 40100.004 |  5.65e-13 |  291.0 |
|   40200.0 | 2.837e-14 |  280.0 |
