# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): W1
# 
# Instrument: WISE
# 
# Determined by: WISE team
# 
# Date of determination: sometime before 2009-Aug-04
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
#  Obtained from the web site
#   http://www.astro.ucla.edu/~wright/WISE/passbands.html
# 
# Mike Blanton, NYU 2011-Apr-11
|    lambda |      pass |    unc |
|   25300.0 |  6.92e-06 |  707.0 |
|   25400.0 | 4.564e-07 | 1000.0 |
|   25500.0 | 2.495e-07 | 1000.0 |
|   25600.0 |  2.72e-07 | 1000.0 |
|   25700.0 |  9.04e-06 |  707.0 |
|   25800.0 | 6.348e-06 |  707.0 |
|   25900.0 | 4.136e-06 |  707.0 |
|   26000.0 | 2.793e-06 | 1000.0 |
| 26099.998 | 0.0004198 |  533.0 |
| 26199.998 |  0.001379 |  632.0 |
| 26300.002 |  0.001082 |  534.0 |
| 26400.002 | 0.0008709 |  534.0 |
|   26500.0 | 0.0009467 |  534.0 |
|   26600.0 |  0.001015 |  533.0 |
|   26700.0 |  0.001206 |  534.0 |
|   26800.0 | 0.0003869 |  707.0 |
|   26900.0 | 0.0005885 |  707.0 |
|   27000.0 | 0.0009281 |  707.0 |
|   27100.0 |  0.009862 |  107.0 |
|   27200.0 |  0.008701 |   83.0 |
|   27300.0 |  0.005164 |   64.0 |
|   27400.0 |  0.003839 |  119.0 |
|   27500.0 |  0.008238 |   64.0 |
|   27600.0 |   0.01525 |   59.0 |
|   27700.0 |   0.02603 |   90.0 |
|   27800.0 |   0.04979 |  108.0 |
|   27900.0 |   0.09753 |  102.0 |
|   28000.0 |    0.1701 |   82.0 |
|   28100.0 |    0.2507 |   59.0 |
|   28200.0 |     0.308 |   38.0 |
|   28300.0 |     0.332 |   27.0 |
|   28400.0 |     0.328 |   23.0 |
|   28500.0 |     0.316 |   20.0 |
| 28599.998 |     0.302 |   19.0 |
| 28699.998 |     0.286 |   19.0 |
| 28800.002 |    0.2711 |   18.0 |
| 28900.002 |    0.2691 |   17.0 |
|   29000.0 |    0.2811 |   20.0 |
|   29100.0 |    0.3041 |   23.0 |
|   29200.0 |    0.3303 |   24.0 |
|   29300.0 |     0.353 |   21.0 |
|   29400.0 |    0.3718 |   19.0 |
|   29500.0 |    0.3877 |   18.0 |
|   29600.0 |     0.402 |   17.0 |
|   29700.0 |     0.418 |   16.0 |
|   29800.0 |     0.433 |   16.0 |
|   29900.0 |     0.443 |   15.0 |
|   30000.0 |     0.446 |   14.0 |
|   30100.0 |     0.449 |   13.0 |
|   30200.0 |     0.452 |   12.0 |
|   30300.0 |      0.45 |   10.0 |
|   30400.0 |     0.441 |    9.0 |
|   30500.0 |      0.43 |    9.0 |
|   30600.0 |     0.415 |    9.0 |
|   30700.0 |     0.399 |    9.0 |
|   30800.0 |      0.38 |   10.0 |
|   30900.0 |     0.364 |   11.0 |
|   31000.0 |     0.355 |   10.0 |
| 31099.998 |     0.362 |    9.0 |
| 31199.998 |     0.388 |   11.0 |
| 31300.002 |     0.428 |   14.0 |
| 31400.002 |     0.465 |   12.0 |
|   31500.0 |     0.493 |   10.0 |
|   31600.0 |     0.512 |    9.0 |
|   31700.0 |     0.526 |   10.0 |
|   31800.0 |     0.538 |   10.0 |
|   31900.0 |     0.549 |    9.0 |
|   32000.0 |     0.558 |    9.0 |
|   32100.0 |     0.563 |    9.0 |
|   32200.0 |     0.568 |    9.0 |
|   32300.0 |     0.571 |    8.0 |
|   32400.0 |     0.573 |    6.0 |
|   32500.0 |     0.568 |    6.0 |
|   32600.0 |     0.562 |    8.0 |
|   32700.0 |     0.558 |    9.0 |
|   32800.0 |      0.56 |    8.0 |
|   32900.0 |     0.575 |    6.0 |
|   33000.0 |     0.606 |    7.0 |
|   33100.0 |     0.647 |    9.0 |
|   33200.0 |      0.69 |   10.0 |
|   33300.0 |     0.728 |   11.0 |
|   33400.0 |     0.754 |   12.0 |
|   33500.0 |    0.7679 |   13.0 |
|   33600.0 |    0.7659 |   13.0 |
|   33700.0 |    0.7509 |   14.0 |
|   33800.0 |    0.7339 |   16.0 |
|   33900.0 |     0.714 |   18.0 |
|   34000.0 |     0.693 |   20.0 |
|   34100.0 |     0.681 |   20.0 |
|   34200.0 |     0.694 |   19.0 |
|   34300.0 |     0.733 |   19.0 |
|   34400.0 |    0.7859 |   19.0 |
|   34500.0 |    0.8339 |   18.0 |
|   34600.0 |    0.8639 |   17.0 |
|   34700.0 |    0.8779 |   17.0 |
|   34800.0 |    0.8798 |   17.0 |
|   34900.0 |    0.8758 |   16.0 |
|   35000.0 |    0.8728 |   16.0 |
|   35100.0 |    0.8699 |   15.0 |
|   35200.0 |    0.8669 |   15.0 |
|   35300.0 |     0.864 |   14.0 |
|   35400.0 |     0.855 |   14.0 |
|   35500.0 |     0.841 |   14.0 |
|   35600.0 |     0.823 |   14.0 |
|   35700.0 |     0.803 |   16.0 |
|   35800.0 |     0.783 |   17.0 |
|   35900.0 |      0.77 |   16.0 |
|   36000.0 |     0.766 |   14.0 |
|   36100.0 |     0.775 |   14.0 |
|   36200.0 |     0.792 |   14.0 |
|   36300.0 |     0.808 |   14.0 |
|   36400.0 |     0.816 |   14.0 |
|   36500.0 |     0.818 |   14.0 |
|   36600.0 |     0.816 |   14.0 |
|   36700.0 |     0.814 |   15.0 |
|   36800.0 |     0.811 |   15.0 |
|   36900.0 |     0.808 |   15.0 |
|   37000.0 |    0.8051 |   16.0 |
|   37100.0 |    0.8041 |   16.0 |
|   37200.0 |    0.8021 |   17.0 |
|   37300.0 |    0.7941 |   18.0 |
|   37400.0 |    0.7691 |   19.0 |
|   37500.0 |    0.7222 |   22.0 |
|   37600.0 |    0.6503 |   28.0 |
|   37700.0 |    0.5546 |   36.0 |
|   37800.0 |    0.4439 |   48.0 |
|   37900.0 |     0.329 |   61.0 |
|   38000.0 |    0.2271 |   76.0 |
|   38100.0 |    0.1489 |   92.0 |
|   38200.0 |   0.09272 |  106.0 |
|   38300.0 |    0.0566 |  115.0 |
|   38400.0 |    0.0348 |  114.0 |
|   38500.0 |   0.02195 |  104.0 |
|   38600.0 |   0.01396 |   88.0 |
|   38700.0 |  0.008715 |   70.0 |
|   38800.0 |  0.005335 |   67.0 |
|   38900.0 |  0.003771 |  174.0 |
|   39000.0 |  0.003128 |  278.0 |
|   39100.0 |  0.002458 |  534.0 |
|   39200.0 |   0.00186 |  534.0 |
|   39300.0 |  0.001757 |  534.0 |
|   39400.0 |  0.001408 |  534.0 |
|   39500.0 |  0.001172 |  534.0 |
|   39600.0 | 0.0008769 |  534.0 |
|   39700.0 | 0.0005055 |  534.0 |
|   39800.0 | 0.0002727 |  534.0 |
|   39900.0 | 3.285e-05 |  534.0 |
|   40000.0 | 7.679e-05 | 1000.0 |
| 40100.004 | 3.357e-05 |  631.0 |
|   40200.0 | 2.224e-05 |  707.0 |
| 40300.004 | 1.027e-05 | 1000.0 |
|   40400.0 | 5.686e-06 | 1000.0 |
|   40500.0 | 3.845e-06 | 1000.0 |
|   40600.0 | 9.412e-06 |  707.0 |
|   40700.0 | 8.818e-07 |  707.0 |
|   40800.0 | 6.263e-06 |  707.0 |
|   40900.0 | 5.745e-06 |  707.0 |
|   41000.0 | 1.101e-06 | 1000.0 |
|   41100.0 | 2.516e-06 |  707.0 |
|   41200.0 | 6.364e-07 | 1000.0 |
|   41300.0 | 5.059e-07 | 1000.0 |
|   41400.0 | 2.689e-06 |  707.0 |
|   41500.0 | 2.208e-05 |  631.0 |
|   41600.0 | 3.894e-05 |  632.0 |
|   41700.0 | 4.666e-05 |  631.0 |
|   41800.0 | 3.668e-05 |  534.0 |
|   41900.0 | 2.686e-05 |  632.0 |
|   42000.0 |  2.57e-07 | 1000.0 |
|   42100.0 | 2.347e-07 | 1000.0 |
| 42199.996 | 2.089e-07 | 1000.0 |
|   42300.0 | 1.796e-07 | 1000.0 |
| 42399.996 | 1.491e-07 | 1000.0 |
|   42500.0 | 1.106e-06 |  707.0 |
| 42600.004 | 9.136e-08 | 1000.0 |
|   42700.0 | 7.271e-07 |  707.0 |
| 42800.004 | 4.862e-07 |  707.0 |
|   42900.0 | 3.782e-07 |  707.0 |
|   43000.0 | 2.335e-08 | 1000.0 |
|   43100.0 |  1.58e-08 | 1000.0 |
|   43200.0 | 1.054e-08 | 1000.0 |
|   43300.0 | 1.532e-07 |  707.0 |
|   43400.0 | 4.493e-09 | 1000.0 |
|   43500.0 | 2.845e-09 | 1000.0 |
|   43600.0 | 1.827e-09 | 1000.0 |
|   43700.0 | 2.841e-08 |  707.0 |
|   43800.0 | 8.003e-10 | 1000.0 |
|   43900.0 | 5.905e-10 | 1000.0 |
|   44000.0 | 4.375e-10 | 1000.0 |
|   44100.0 | 9.246e-09 |  707.0 |
|   44200.0 | 2.497e-10 | 1000.0 |
|   44300.0 | 1.826e-10 | 1000.0 |
|   44400.0 | 1.345e-10 | 1000.0 |
|   44500.0 | 1.408e-09 |  707.0 |
|   44600.0 | 1.343e-09 |  707.0 |
| 44699.996 | 5.071e-11 | 1000.0 |
|   44800.0 | 3.382e-11 | 1000.0 |
| 44899.996 | 2.661e-11 | 1000.0 |
|   45000.0 | 1.767e-11 | 1000.0 |
| 45100.004 | 1.008e-11 | 1000.0 |
|   45200.0 | 3.007e-10 |  707.0 |
| 45300.004 | 5.644e-12 | 1000.0 |
|   45400.0 | 4.777e-12 | 1000.0 |
|   45500.0 | 3.013e-12 | 1000.0 |
|   45600.0 | 1.279e-07 |  632.0 |
|   45700.0 | 9.889e-08 |  534.0 |
|   45800.0 | 2.856e-07 |  633.0 |
|   45900.0 | 1.377e-07 |  534.0 |
|   46000.0 | 1.115e-07 |  534.0 |
|   46100.0 | 9.872e-08 |  534.0 |
|   46200.0 | 3.303e-07 |  633.0 |
|   46300.0 | 1.088e-07 |  534.0 |
|   46400.0 | 3.423e-07 |  630.0 |
|   46500.0 | 1.574e-07 |  533.0 |
|   46600.0 |  1.95e-07 |  534.0 |
|   46700.0 | 3.844e-07 |  632.0 |
|   46800.0 | 1.013e-07 |  535.0 |
|   46900.0 |  1.75e-07 |  534.0 |
|   47000.0 | 4.023e-07 |  632.0 |
|   47100.0 | 1.126e-09 |  613.0 |
| 47199.996 | 1.578e-09 |  593.0 |
|   47300.0 | 1.097e-09 |  574.0 |
| 47399.996 | 3.736e-10 |  661.0 |
|   47500.0 | 4.384e-09 |  610.0 |
| 47600.004 | 2.511e-09 |  644.0 |
|   47700.0 | 7.463e-10 |  711.0 |
| 47800.004 | 1.364e-10 |  650.0 |
|   47900.0 | 3.789e-10 |  735.0 |
|   48000.0 | 4.876e-09 |  603.0 |
|   48100.0 | 1.203e-10 |  696.0 |
|   48200.0 |  1.43e-10 |  692.0 |
|   48300.0 | 9.217e-13 |  963.0 |
|   48400.0 | 4.525e-11 |  702.0 |
|   48500.0 | 1.102e-09 |  675.0 |
|   48600.0 | 3.404e-09 |  604.0 |
|   48700.0 | 8.822e-10 |  674.0 |
|   48800.0 | 9.626e-12 |  868.0 |
|   48900.0 |  1.21e-09 |  579.0 |
|   49000.0 |  2.85e-09 |  529.0 |
|   49100.0 | 3.143e-13 |  977.0 |
|   49200.0 | 1.041e-10 |  676.0 |
|   49300.0 | 2.513e-09 |  590.0 |
|   49400.0 | 4.288e-09 |  558.0 |
|   49500.0 | 1.856e-09 |  475.0 |
|   49600.0 | 9.366e-09 |  491.0 |
| 49699.996 | 9.993e-09 |  466.0 |
|   49800.0 | 8.869e-09 |  460.0 |
| 49899.996 | 2.193e-08 |  333.0 |
|   50000.0 |  4.13e-08 |  230.0 |
| 50100.004 | 3.003e-08 |  226.0 |
|   50200.0 | 2.357e-08 |  220.0 |
| 50300.004 | 1.863e-08 |  225.0 |
|   50400.0 |  1.61e-08 |  221.0 |
|   50500.0 | 1.674e-08 |  228.0 |
|   50600.0 | 1.693e-08 |  227.0 |
|   50700.0 | 1.751e-08 |  224.0 |
|   50800.0 | 1.812e-08 |  222.0 |
|   50900.0 | 1.822e-08 |  220.0 |
|   51000.0 | 1.733e-08 |  214.0 |
|   51100.0 | 1.781e-08 |  217.0 |
|   51200.0 | 1.737e-08 |  210.0 |
|   51300.0 |   1.8e-08 |  213.0 |
|   51400.0 | 1.804e-08 |  211.0 |
|   51500.0 | 1.742e-08 |  208.0 |
|   51600.0 | 1.676e-08 |  207.0 |
|   51700.0 | 1.643e-08 |  207.0 |
|   51800.0 | 1.619e-08 |  207.0 |
|   51900.0 | 1.603e-08 |  204.0 |
|   52000.0 | 1.594e-08 |  211.0 |
|   52100.0 | 1.547e-08 |  208.0 |
| 52199.996 |  1.62e-08 |  213.0 |
|   52300.0 | 1.656e-08 |  214.0 |
