# Units:
#  "lambda" is in Angstroms
#  "pass" is the contribution to the detector signal per photon
# 
# Bandpass Name(s): W2
# 
# Instrument: WISE
# 
# Determined by: WISE team
# 
# Date of determination: sometime before 2009-Aug-04
# 
# Meaning of/Reason for default column: Only column available
# 
# Notes:
#  Obtained from the web site
#   http://www.astro.ucla.edu/~wright/WISE/passbands.html
# 
# Mike Blanton, NYU 2011-Apr-11
|    lambda |      pass |    unc |
|   25300.0 | 3.815e-09 |  707.0 |
|   25400.0 | 1.454e-06 |  534.0 |
|   25500.0 | 1.952e-07 |  534.0 |
|   25600.0 | 4.021e-07 |  534.0 |
|   25700.0 | 5.978e-07 |  535.0 |
|   25800.0 | 4.581e-07 |  535.0 |
|   25900.0 | 1.595e-06 |  634.0 |
|   26000.0 | 2.974e-07 |  534.0 |
| 26099.998 | 1.156e-07 |  534.0 |
| 26199.998 | 1.228e-07 |  534.0 |
| 26300.002 | 9.679e-08 |  534.0 |
| 26400.002 | 1.387e-11 |  707.0 |
|   26500.0 | 7.739e-12 |  707.0 |
|   26600.0 |  4.18e-08 |  534.0 |
|   26700.0 | 7.554e-08 |  533.0 |
|   26800.0 | 9.131e-08 |  534.0 |
|   26900.0 | 4.344e-08 |  535.0 |
|   27000.0 | 1.129e-07 |  534.0 |
|   27100.0 | 8.133e-08 |  535.0 |
|   27200.0 | 2.608e-07 |  633.0 |
|   27300.0 | 7.122e-08 |  535.0 |
|   27400.0 | 6.299e-08 |  535.0 |
|   27500.0 | 4.366e-08 |  534.0 |
|   27600.0 | 3.312e-08 |  534.0 |
|   27700.0 | 6.054e-08 |  632.0 |
|   27800.0 | 3.128e-08 |  535.0 |
|   27900.0 | 7.592e-08 |  633.0 |
|   28000.0 |  3.75e-08 |  533.0 |
|   28100.0 | 3.865e-08 |  534.0 |
|   28200.0 | 3.727e-08 |  534.0 |
|   28300.0 | 3.875e-08 |  535.0 |
|   28400.0 | 4.464e-08 |  535.0 |
|   28500.0 | 4.465e-08 |  533.0 |
| 28599.998 | 1.061e-07 |  633.0 |
| 28699.998 | 3.697e-08 |  534.0 |
| 28800.002 | 3.174e-08 |  534.0 |
| 28900.002 | 1.893e-08 |  535.0 |
|   29000.0 | 3.169e-08 |  534.0 |
|   29100.0 | 1.713e-08 |  534.0 |
|   29200.0 | 1.792e-08 |  535.0 |
|   29300.0 | 1.693e-08 |  534.0 |
|   29400.0 | 6.874e-08 |  633.0 |
|   29500.0 | 6.548e-09 |  534.0 |
|   29600.0 |  4.52e-08 |  630.0 |
|   29700.0 | 5.662e-09 |  534.0 |
|   29800.0 | 2.811e-09 |  534.0 |
|   29900.0 | 1.758e-09 |  535.0 |
|   30000.0 | 9.501e-10 |  534.0 |
|   30100.0 | 2.197e-17 | 1000.0 |
|   30200.0 | 1.072e-09 |  534.0 |
|   30300.0 | 1.623e-09 |  534.0 |
|   30400.0 |  1.26e-09 |  534.0 |
|   30500.0 | 1.756e-09 |  534.0 |
|   30600.0 | 1.077e-09 |  534.0 |
|   30700.0 | 1.211e-09 |  534.0 |
|   30800.0 | 1.138e-08 |  632.0 |
|   30900.0 | 3.877e-10 |  534.0 |
|   31000.0 | 1.037e-08 |  632.0 |
| 31099.998 | 8.532e-10 |  534.0 |
| 31199.998 | 1.045e-10 |  534.0 |
| 31300.002 | 6.195e-15 |  707.0 |
| 31400.002 | 7.014e-18 | 1000.0 |
|   31500.0 | 1.315e-14 |  707.0 |
|   31600.0 | 1.722e-14 |  707.0 |
|   31700.0 | 4.593e-10 |  534.0 |
|   31800.0 | 3.217e-14 |  707.0 |
|   31900.0 | 5.841e-17 | 1000.0 |
|   32000.0 | 1.592e-14 |  707.0 |
|   32100.0 | 3.204e-09 |  534.0 |
|   32200.0 | 4.091e-09 |  533.0 |
|   32300.0 | 5.903e-09 |  534.0 |
|   32400.0 | 2.095e-08 |  632.0 |
|   32500.0 | 6.134e-09 |  534.0 |
|   32600.0 | 6.733e-09 |  534.0 |
|   32700.0 | 5.476e-09 |  534.0 |
|   32800.0 | 4.994e-09 |  534.0 |
|   32900.0 | 5.973e-09 |  533.0 |
|   33000.0 | 2.544e-09 |  534.0 |
|   33100.0 | 1.268e-13 |  707.0 |
|   33200.0 | 1.428e-13 |  707.0 |
|   33300.0 |  3.04e-13 |  707.0 |
|   33400.0 | 4.681e-13 |  707.0 |
|   33500.0 | 4.736e-13 |  707.0 |
|   33600.0 | 6.344e-13 |  707.0 |
|   33700.0 |  5.57e-13 |  707.0 |
|   33800.0 | 9.504e-13 |  707.0 |
|   33900.0 | 6.956e-13 |  707.0 |
|   34000.0 | 1.019e-12 |  707.0 |
|   34100.0 | 8.627e-13 |  707.0 |
|   34200.0 | 1.199e-12 |  707.0 |
|   34300.0 | 1.353e-08 |  535.0 |
|   34400.0 |  1.35e-08 |  534.0 |
|   34500.0 | 4.552e-08 |  534.0 |
|   34600.0 | 6.343e-08 |  534.0 |
|   34700.0 | 8.753e-08 |  534.0 |
|   34800.0 | 7.258e-08 |  534.0 |
|   34900.0 | 4.312e-07 |  633.0 |
|   35000.0 |  1.07e-07 |  534.0 |
|   35100.0 | 1.388e-07 |  534.0 |
|   35200.0 | 1.248e-07 |  535.0 |
|   35300.0 | 1.356e-07 |  534.0 |
|   35400.0 | 1.176e-07 |  535.0 |
|   35500.0 | 2.025e-07 |  534.0 |
|   35600.0 | 3.213e-07 |  534.0 |
|   35700.0 |  2.01e-06 |  632.0 |
|   35800.0 | 5.583e-07 |  534.0 |
|   35900.0 | 8.224e-07 |  534.0 |
|   36000.0 | 6.562e-07 |  534.0 |
