#wave       R1        R2         R3         R4
#
5753.82 0.0860089 0.128744 0.10146 0.0787852
5760.93 0.0935111 0.135831 0.107381 0.0859943
5768.04 0.100961 0.142514 0.113178 0.0932123
5775.16 0.108322 0.149145 0.119001 0.100401
5782.27 0.115562 0.155536 0.124535 0.107526
5789.38 0.122672 0.161681 0.129925 0.114559
5796.49 0.129597 0.167574 0.135166 0.121474
5803.6 0.136351 0.173212 0.140441 0.128421
5810.71 0.142905 0.178594 0.145381 0.135046
5817.82 0.149244 0.183721 0.150162 0.141498
5824.94 0.155361 0.188594 0.154988 0.147762
5832.05 0.161248 0.193217 0.159455 0.15383
5839.16 0.166901 0.197594 0.16376 0.159693
5846.27 0.172341 0.201991 0.168126 0.165345
5853.38 0.177522 0.205897 0.172114 0.171009
5860.49 0.18249 0.209575 0.175943 0.176236
5867.6 0.187202 0.213031 0.179849 0.181245
5874.72 0.191709 0.216274 0.183367 0.186036
5881.83 0.195992 0.219311 0.186975 0.190611
5888.94 0.200055 0.222151 0.190189 0.195229
5896.05 0.203905 0.224802 0.193252 0.199384
5903.16 0.207548 0.227564 0.196426 0.203334
5910.27 0.210992 0.229865 0.199201 0.207081
5917.39 0.214243 0.232003 0.202099 0.210633
5924.5 0.21731 0.233985 0.204597 0.214274
5931.61 0.220229 0.236121 0.20696 0.217454
5938.72 0.222951 0.23782 0.209465 0.220456
5945.83 0.22554 0.239387 0.211571 0.223287
5952.94 0.227948 0.240831 0.213832 0.226247
5960.05 0.23024 0.242467 0.215695 0.228757
5967.17 0.232395 0.243688 0.217724 0.231116
5974.28 0.234389 0.244807 0.219359 0.233634
5981.39 0.236291 0.246142 0.220884 0.235712
5988.5 0.238077 0.247077 0.222591 0.237658
5995.61 0.239754 0.24793 0.22391 0.23948
6002.72 0.241328 0.249019 0.225421 0.241495
6009.84 0.242805 0.249722 0.226547 0.243087
6016.95 0.244191 0.250674 0.227877 0.244572
6024.06 0.245523 0.251248 0.228825 0.246275
6031.17 0.246743 0.251764 0.229987 0.247565
6038.28 0.247887 0.252544 0.230771 0.248765
6045.39 0.24896 0.252955 0.231477 0.250202
6052.5 0.249997 0.253639 0.23241 0.251237
6059.62 0.25094 0.25396 0.232973 0.252196
6066.73 0.251854 0.254561 0.233771 0.25341
6073.84 0.25268 0.254804 0.234203 0.25423
6080.95 0.253485 0.255332 0.234876 0.254987
6088.06 0.254239 0.255507 0.235189 0.256012
6095.17 0.254945 0.255972 0.235751 0.256652
6102.28 0.255572 0.256087 0.235957 0.257238
6109.4 0.256188 0.256495 0.236417 0.258104
6116.51 0.256761 0.256556 0.236527 0.258591
6123.62 0.257294 0.256914 0.236592 0.259364
6130.73 0.257788 0.257249 0.23692 0.259762
6137.84 0.258244 0.25724 0.236905 0.260119
6144.95 0.258664 0.257532 0.237156 0.260769
6152.07 0.259081 0.257481 0.237069 0.261049
6159.18 0.259431 0.257733 0.237252 0.261627
6166.29 0.259747 0.257966 0.237102 0.261837
6173.4 0.260063 0.257859 0.237227 0.262347
6180.51 0.260314 0.258056 0.237021 0.262492
6187.62 0.260567 0.258236 0.237094 0.262941
6194.73 0.260757 0.258078 0.236841 0.263026
6201.85 0.26095 0.258226 0.236868 0.263417
6208.96 0.261113 0.258358 0.236574 0.263446
6216.07 0.261248 0.258153 0.236563 0.263449
6223.18 0.261322 0.258256 0.236234 0.26376
6230.29 0.261402 0.258344 0.236189 0.264047
6237.4 0.261456 0.258097 0.235831 0.263975
6244.52 0.261484 0.258157 0.235758 0.264214
6251.63 0.261487 0.258205 0.235673 0.264096
6258.74 0.261499 0.258241 0.235278 0.26429
6265.85 0.261455 0.257944 0.235172 0.264129
6272.96 0.261388 0.257956 0.234758 0.264281
6280.07 0.261301 0.257957 0.234634 0.264079
6287.18 0.261226 0.257947 0.234205 0.264191
6294.3 0.2611 0.257928 0.234065 0.264285
6301.41 0.260988 0.257579 0.233624 0.264028
6308.52 0.260827 0.257542 0.233472 0.264086
6315.63 0.260682 0.257496 0.233315 0.263796
6322.74 0.260524 0.257443 0.232859 0.263822
6329.85 0.260352 0.257382 0.232692 0.263832
6336.97 0.260136 0.256997 0.232521 0.263497
6344.08 0.259943 0.256925 0.232054 0.26348
6351.19 0.25974 0.256847 0.231876 0.26345
6358.3 0.25953 0.256765 0.231402 0.263077
6365.41 0.259345 0.256678 0.231217 0.263024
6372.52 0.259124 0.256588 0.231029 0.262961
6379.63 0.258899 0.256178 0.230548 0.262887
6386.75 0.258671 0.256083 0.230353 0.262476
6393.86 0.258475 0.255985 0.230156 0.262386
6400.97 0.258247 0.255887 0.229666 0.262289
6408.08 0.258053 0.255787 0.229463 0.262186
6415.19 0.257829 0.255686 0.229255 0.261749
6422.3 0.257642 0.255584 0.229044 0.261635
6429.41 0.257459 0.255483 0.228542 0.261517
6436.53 0.257283 0.255381 0.228324 0.261396
6443.64 0.257081 0.25528 0.228101 0.261272
6450.75 0.256918 0.254864 0.227588 0.261147
6457.86 0.256765 0.254763 0.227356 0.260693
6464.97 0.25662 0.254663 0.227119 0.260566
6472.08 0.256516 0.254562 0.226877 0.260438
6479.2 0.256391 0.254462 0.22663 0.260311
6486.31 0.256275 0.254361 0.226093 0.260184
6493.42 0.256202 0.25426 0.225834 0.260059
6500.53 0.256107 0.254158 0.225568 0.259935
6507.64 0.256023 0.254054 0.225296 0.259812
6514.75 0.25598 0.253948 0.225017 0.259692
6521.86 0.255947 0.25384 0.224731 0.259574
6528.98 0.255892 0.253729 0.224157 0.259459
6536.09 0.255876 0.253613 0.223856 0.259345
6543.2 0.255869 0.253494 0.223548 0.259234
6550.31 0.255869 0.253368 0.223232 0.259125
6557.42 0.255875 0.253237 0.222909 0.259018
6564.53 0.255885 0.253098 0.222577 0.258913
6571.65 0.2559 0.252951 0.222238 0.258809
6578.76 0.255917 0.252795 0.22189 0.258707
6585.87 0.255966 0.25263 0.221535 0.258928
6592.98 0.255984 0.252453 0.221172 0.258826
6600.09 0.256 0.252264 0.220802 0.258724
6607.2 0.256044 0.252063 0.220425 0.258621
6614.31 0.256051 0.251847 0.219766 0.258517
6621.43 0.256083 0.251617 0.219376 0.25841
6628.54 0.256074 0.251371 0.218979 0.2583
6635.65 0.256087 0.251109 0.218577 0.25851
6642.76 0.256088 0.25083 0.218443 0.258392
6649.87 0.256076 0.250532 0.218031 0.258269
6656.98 0.256016 0.250216 0.217615 0.258139
6664.09 0.25597 0.249881 0.217196 0.258003
6671.21 0.255907 0.249526 0.216775 0.258183
6678.32 0.255823 0.249152 0.216352 0.258031
6685.43 0.255717 0.248757 0.215929 0.257869
6692.54 0.255589 0.248342 0.215507 0.257697
6699.65 0.255469 0.247907 0.215086 0.257838
6706.76 0.255292 0.247453 0.214668 0.257644
6713.88 0.255089 0.247283 0.214254 0.257437
6720.99 0.254861 0.246789 0.213844 0.257542
6728.1 0.254637 0.246277 0.213441 0.257309
6735.21 0.254355 0.245747 0.213311 0.257062
6742.32 0.254078 0.2452 0.212923 0.257125
6749.43 0.253742 0.244638 0.212545 0.256849
6756.54 0.253413 0.244061 0.212177 0.256559
6763.66 0.253057 0.243472 0.211822 0.256576
6770.77 0.252646 0.242871 0.21148 0.256255
6777.88 0.252244 0.242561 0.211417 0.255918
6784.99 0.25182 0.241943 0.211104 0.255889
6792.1 0.251346 0.241319 0.210807 0.255522
6799.21 0.250885 0.240691 0.210527 0.25514
6806.33 0.250409 0.240061 0.210265 0.255065
6813.44 0.249921 0.239432 0.210284 0.254653
6820.55 0.249423 0.239102 0.210058 0.254227
6827.66 0.248918 0.238479 0.20985 0.25411
6834.77 0.248409 0.237863 0.20966 0.253657
6841.88 0.247901 0.237255 0.20975 0.253512
6848.99 0.247395 0.236951 0.209594 0.253034
6856.11 0.246927 0.236364 0.209454 0.252543
6863.22 0.246439 0.235789 0.209327 0.252361
6870.33 0.245964 0.235227 0.209475 0.251846
6877.44 0.245505 0.234679 0.209368 0.25164
6884.55 0.245098 0.234434 0.209268 0.251102
6891.66 0.244682 0.233909 0.209433 0.25087
6898.77 0.244323 0.233395 0.209332 0.250306
6905.89 0.24396 0.233177 0.209223 0.249729
6913 0.243626 0.232672 0.2091 0.249453
6920.11 0.243352 0.232166 0.20922 0.248842
6927.22 0.243077 0.231653 0.209047 0.248528
6934.33 0.24286 0.231412 0.209101 0.247873
6941.44 0.242669 0.230858 0.208843 0.247192
6948.56 0.24247 0.23027 0.208525 0.246794
6955.67 0.242318 0.229919 0.208399 0.246042
6962.78 0.242177 0.229217 0.207924 0.245561
6969.89 0.242006 0.228433 0.207347 0.244713
6977 0.241856 0.227833 0.206914 0.244115
6984.11 0.241683 0.226822 0.20608 0.243133
6991.22 0.241471 0.225941 0.205348 0.242066
6998.34 0.24117 0.224596 0.204175 0.24121
