Transmission for IRAC band        1
 
Wavelength   Transmiss   Trans(P)    Trans(S)
   3.8910    0.613000    0.617700    0.608300
   3.8970    0.609600    0.611900    0.607200
   3.9040    0.588000    0.586200    0.589700
   3.9110    0.535400    0.526300    0.544300
   3.9180    0.447500    0.431800    0.462900
   3.9240    0.335600    0.316400    0.354500
   3.9310    0.225900    0.208400    0.243100
   3.9380    0.138000    0.125000    0.150700
   3.9450    0.079160    0.070920    0.087280
   3.9510    0.044340    0.039400    0.049210
   3.9580    0.024760    0.021730    0.027750
   3.9650    0.014050    0.012120    0.015950
   3.9720    0.008189    0.007046    0.009311
   3.9780    0.004826    0.004014    0.005623
   3.9850    0.002924    0.002432    0.003407
   3.9920    0.002135    0.001622    0.002639
   3.9990    0.001236    0.001135    0.001334
   4.0050    0.000902    0.000866    0.000937
   4.0120    0.000544    0.000407    0.000679
   4.0190    0.000650    0.000504    0.000793
   4.0260    0.000581    0.000461    0.000699
   4.0320    0.000701    0.000618    0.000782
   4.0390    0.000594    0.000580    0.000608
   4.0460    0.000614    0.000564    0.000662
   4.0530    0.000640    0.000617    0.000662
   4.0590    0.000687    0.000667    0.000708
   4.0660    0.000594    0.000365    0.000822
   4.0730    0.000579    0.000479    0.000679
   4.0800    0.000330    0.000336    0.000324
   4.0860    0.000316    0.000515    0.000115
   4.0930    0.000323    0.000360    0.000286
   4.1000    0.000263    0.000191    0.000337
   4.1070    0.000179    0.000103    0.000259
   4.1130    0.000377    0.000406    0.000344
   4.1200    0.000374    0.000312    0.000440
   4.1270    0.000252    0.000375    0.000106
   4.1340    0.000244    0.000394    0.000054
   4.1400    0.000478    0.000330    0.000652
   4.1470    0.000363    0.000070    0.000763
   4.1540    0.000312    0.000118    0.000583
   4.1610    0.000173    0.000033    0.000389
   4.1670    0.000280    0.000123    0.000500
   4.1740    0.000389    0.000143    0.000755
   4.1810    0.000556    0.000168    0.001169
   4.1880    0.000564    0.000108    0.001342
   4.1940    0.000458    0.000068    0.001130
   4.2010    0.000319    0.000108    0.000639
   4.2080    0.000292    0.000135    0.000507
   4.2150    0.000250    0.000098    0.000468
   4.2210    0.000223    0.000100    0.000391
   4.2280    0.000267    0.000154    0.000409
   4.2350    0.000336    0.000235    0.000456
