Wavelength     Transmission     Atm. Trans      Tot. Trans.
(micron)       (fractional)     (fractional)    (fractional)
      51.9400     0.576605     0.978283     0.564083
      52.0000     0.574092     0.981978     0.563746
      52.0600     0.578852     0.981953     0.568405
      52.1200     0.583950     0.984876     0.575118
      52.1800     0.579689     0.985100     0.571051
      52.2400     0.582422     0.984318     0.573288
      52.3000     0.586122     0.984185     0.576853
      52.3600     0.579466     0.982950     0.569586
      52.4200     0.578442     0.981140     0.567533
      52.4800     0.581798     0.978604     0.569350
      52.5400     0.576547     0.975060     0.562168
      52.6000     0.578469     0.970190     0.561224
      52.6600     0.581814     0.963187     0.560395
      52.7200     0.578528     0.952961     0.551314
      52.7800     0.582008     0.937163     0.545437
      52.8400     0.586397     0.910934     0.534169
      52.9000     0.584767     0.865135     0.505903
      52.9600     0.585987     0.772526     0.452690
      53.0200     0.588286     0.555128     0.326574
      53.0800     0.582830    0.0851731    0.0496415
      53.1400     0.582887      0.00000      0.00000
      53.2000     0.586358     0.130502    0.0765210
      53.2600     0.581899     0.443267     0.257937
      53.3200     0.580635     0.782071     0.454098
      53.3800     0.585974     0.868046     0.508653
      53.4400     0.582454     0.874362     0.509276
      53.5000     0.579871     0.935654     0.542558
      53.5600     0.585454     0.951525     0.557074
      53.6200     0.583979     0.960703     0.561030
      53.6800     0.582247     0.961025     0.559554
      53.7400     0.585471     0.918480     0.537744
      53.8000     0.583822     0.974288     0.568810
      53.8600     0.582791     0.977804     0.569855
      53.9200     0.588277     0.960437     0.565004
      53.9800     0.585834     0.979837     0.574022
      54.0400     0.582183     0.981652     0.571501
      54.1000     0.585518     0.973223     0.569840
      54.1600     0.583319     0.970950     0.566373
      54.2200     0.576955     0.976491     0.563391
      54.2800     0.578828     0.974564     0.564105
      54.3400     0.577820     0.965108     0.557659
      54.4000     0.573087     0.935313     0.536016
      54.4600     0.575237     0.751041     0.432027
      54.5200     0.576501    0.0531870    0.0306623
      54.5800     0.573562     0.879244     0.504301
      54.6400     0.576462     0.946157     0.545424
      54.7000     0.578589     0.958855     0.554783
      54.7600     0.575251     0.958626     0.551450
      54.8200     0.573480     0.952534     0.546259
      54.8800     0.574926     0.937606     0.539054
      54.9400     0.568956     0.905213     0.515027
      55.0000     0.564429     0.821817     0.463857
      55.0600     0.563636     0.527195     0.297146
      55.1200     0.559366      0.00000      0.00000
      55.1800     0.552885     0.287335     0.158863
      55.2400     0.552287     0.759934     0.419701
      55.3000     0.550005     0.876901     0.482300
      55.3600     0.545923     0.916782     0.500493
      55.4200     0.544190     0.936916     0.509860
      55.4800     0.543379     0.867632     0.471453
      55.5400     0.537892     0.946397     0.509059
      55.6000     0.535796     0.947206     0.507509
      55.6600     0.535568     0.943338     0.505222
      55.7200     0.532911     0.934290     0.497893
      55.7800     0.527083     0.909223     0.479236
      55.8400     0.524073      0.00000      0.00000
      55.9000     0.517612     0.872442     0.451586
      55.9600     0.509985     0.834613     0.425640
      56.0200     0.505632     0.688946     0.348353
      56.0800     0.500469     0.734397     0.367543
      56.1400     0.493137     0.589645     0.290776
      56.2000     0.487303     0.322828     0.157315
      56.2600     0.484414    0.0155534   0.00753426
      56.3200     0.478697      0.00000      0.00000
      56.3800     0.471763   0.00405176   0.00191147
      56.4400     0.463247     0.267092     0.123729
      56.5000     0.456238     0.545717     0.248977
      56.5600     0.448930     0.683470     0.306830
      56.6200     0.442593     0.733173     0.324497
      56.6800     0.436434     0.703312     0.306950
      56.7400     0.428764     0.296055     0.126938
      56.8000     0.421030  9.71227e-05  4.08915e-05
      56.8600     0.412748     0.292041     0.120539
      56.9200     0.406449     0.738693     0.300241
      56.9800     0.398421     0.841281     0.335184
      57.0400     0.389322     0.864945     0.336742
      57.1000     0.380837     0.890224     0.339030
      57.1600     0.373387     0.895462     0.334354
      57.2200     0.363793     0.888900     0.323376
      57.2800     0.354613     0.876666     0.310877
      57.3400     0.347980     0.850502     0.295958
      57.4000     0.342111     0.796171     0.272379
      57.4600     0.334275     0.702064     0.234682
      57.5200     0.328989     0.479184     0.157646
      57.5800     0.325257    0.0556403    0.0180974
      57.6400     0.318581      0.00000      0.00000
      57.7000     0.311190      0.00000      0.00000
      57.7600     0.306912     0.352339     0.108137
      57.8200     0.300517     0.623543     0.187385
      57.8800     0.290588     0.749018     0.217656
      57.9400     0.284279     0.798394     0.226966
      58.0000     0.280428     0.813563     0.228146
      58.0600     0.271809     0.811393     0.220544
      58.1200     0.262063     0.799064     0.209405
      58.1800     0.256967     0.772652     0.198546
      58.2400     0.251721     0.731807     0.184211
      58.3000     0.242616     0.671126     0.162826
      58.3600     0.235832     0.582413     0.137351
      58.4200     0.233209     0.456658     0.106496
      58.4800     0.226790     0.283397    0.0642715
      58.5400     0.217812    0.0921486    0.0200710
      58.6000     0.212889   0.00210697  0.000448550
      58.6600     0.210578      0.00000      0.00000
      58.7200     0.202726      0.00000      0.00000
      58.7800     0.193891  0.000137050  2.65727e-05
      58.8400     0.191255    0.0475272   0.00908983
      58.9000     0.187871     0.226416    0.0425370
      58.9600     0.179045     0.409667    0.0733486
      59.0200     0.172515     0.527288    0.0909652
      59.0800     0.171195     0.553079    0.0946847
      59.1400     0.166128     0.720514     0.119698
      59.2000     0.157532     0.772389     0.121676
      59.2600     0.152722     0.802784     0.122603
      59.3200     0.151187     0.738122     0.111594
      59.3800     0.146060     0.761025     0.111155
      59.4400     0.138514     0.867640     0.120180
      59.5000     0.135611     0.887184     0.120312
      59.5600     0.134746     0.896614     0.120815
      59.6200     0.128928     0.900259     0.116069
      59.6800     0.122733     0.897745     0.110183
      59.7400     0.121186     0.884823     0.107228
      59.8000     0.119489     0.851954     0.101800
      59.8600     0.113460     0.757216    0.0859135
      59.9200     0.108008     0.417693    0.0451143
      59.9800     0.107435      0.00000      0.00000
      60.0400     0.105894     0.275398    0.0291631
      60.1000    0.0994731     0.669099    0.0665574
      60.1600    0.0951091      0.00000      0.00000
      60.2200    0.0940698     0.811838    0.0763694
      60.2800    0.0923744     0.898904    0.0830357
      60.3400    0.0868643     0.929540    0.0807438
      60.4000    0.0828691     0.945739    0.0783725
      60.4600    0.0825925     0.868415    0.0717246
      60.5200    0.0809024     0.956704    0.0773997
      60.5800    0.0760047     0.966172    0.0734336
      60.6400    0.0724831     0.969803    0.0702943
      60.7000    0.0724510     0.972389    0.0704506
      60.7600    0.0709322     0.974369    0.0691141
      60.8200    0.0667654     0.975903    0.0651566
      60.8800    0.0641509     0.976983    0.0626743
      60.9400    0.0638539     0.976829    0.0623744
      61.0000    0.0620713     0.972710    0.0603774
      61.0600    0.0583292     0.979216    0.0571169
      61.1200    0.0560561     0.972135    0.0544941
      61.1800    0.0560090     0.892478    0.0499868
      61.2400    0.0547070     0.979702    0.0535966
      61.3000    0.0508122     0.967160    0.0491436
      61.3600    0.0484517     0.979314    0.0474495
      61.4200    0.0482232     0.980010    0.0472592
      61.4800    0.0472138     0.979091    0.0462266
      61.5400    0.0442284     0.975219    0.0431324
      61.6000    0.0422555     0.973013    0.0411152
      61.6600    0.0424648     0.963770    0.0409263
      61.7200    0.0420082     0.929576    0.0390498
      61.7800    0.0393277     0.586841    0.0230791
      61.8400    0.0373081     0.643233    0.0239978
      61.9000    0.0370471     0.927739    0.0343700
      61.9600    0.0364953     0.961426    0.0350875
      62.0200    0.0345238     0.958446    0.0330892
      62.0800    0.0330708     0.973152    0.0321829
      62.1400    0.0328089     0.973628    0.0319436
      62.2000    0.0320899     0.972505    0.0312076
      62.2600    0.0304736     0.968968    0.0295280
      62.3200    0.0289633     0.956869    0.0277141
      62.3800    0.0283358     0.890166    0.0252236
      62.4400    0.0282422     0.341824   0.00965386
      62.5000    0.0271408     0.941578    0.0255552
      62.5600    0.0252848     0.956877    0.0241944
      62.6200    0.0246843     0.954959    0.0235725
      62.6800    0.0246680     0.951217    0.0234646
      62.7400    0.0238386     0.944042    0.0225046
      62.8000    0.0223228     0.933966    0.0208487
      62.8600    0.0213806     0.897208    0.0191829
      62.9200    0.0213904    0.0719587   0.00153922
      62.9800    0.0211232     0.835781    0.0176544
      63.0400    0.0196768     0.848409    0.0166939
      63.1000    0.0186619     0.793458    0.0148074
      63.1600    0.0186579     0.676859    0.0126287
      63.2200    0.0186358     0.401789   0.00748764
      63.2800    0.0175556   0.00701163  0.000123093
      63.3400    0.0164667      0.00000      0.00000
      63.4000    0.0160462    0.0909240   0.00145899
      63.4600    0.0160489      0.00000      0.00000
      63.5200    0.0155359     0.362504   0.00563184
      63.5800    0.0144821     0.669670   0.00969823
      63.6400    0.0137240     0.793144    0.0108851
      63.7000    0.0137422     0.843218    0.0115876
      63.7600    0.0135694     0.867182    0.0117671
      63.8200    0.0126896     0.856898    0.0108737
      63.8800    0.0121099    0.0247876  0.000300176
      63.9400    0.0120661     0.238270   0.00287498
      64.0000    0.0120700     0.626159   0.00755774
      64.0600    0.0113944     0.896281    0.0102126
      64.1200    0.0108397     0.911016   0.00987514
      64.1800    0.0106842     0.897857   0.00959288
      64.2400    0.0105934     0.896430   0.00949624
